Year,UNIT_MEASURE,Аймақ,Жынысы,Өңірлер,Value
2016,пайыз,,,,85.3927648942144
2016,пайыз,,ерлер,,86.01883910688599
2016,пайыз,,әйелдер,,84.81702054951408
2016,пайыз,қала,,,88.46515284697419
2016,пайыз,қала,ерлер,,88.9582758150109
2016,пайыз,қала,әйелдер,,88.03823423621554
2016,пайыз,ауыл,,,81.2621850007659
2016,пайыз,ауыл,ерлер,,82.34612496929724
2016,пайыз,ауыл,әйелдер,,80.18135904222228
2016,пайыз,,,Ақмола,85.94736921294555
2016,пайыз,,ерлер,Ақмола,87.64054450419283
2016,пайыз,,әйелдер,Ақмола,84.3835560932408
2016,пайыз,қала,,Ақмола,90.17833600226378
2016,пайыз,қала,ерлер,Ақмола,91.56818686196183
2016,пайыз,қала,әйелдер,Ақмола,88.97682170821493
2016,пайыз,ауыл,,Ақмола,82.22591080295439
2016,пайыз,ауыл,ерлер,Ақмола,84.40236902883538
2016,пайыз,ауыл,әйелдер,Ақмола,80.09568039391226
2016,пайыз,,,Ақтөбе,85.0465751621079
2016,пайыз,,ерлер,Ақтөбе,85.27780963302753
2016,пайыз,,әйелдер,Ақтөбе,84.83451822560629
2016,пайыз,қала,,Ақтөбе,90.1578746909544
2016,пайыз,қала,ерлер,Ақтөбе,91.15139850078074
2016,пайыз,қала,әйелдер,Ақтөбе,89.28848598933307
2016,пайыз,ауыл,,Ақтөбе,76.60144840555355
2016,пайыз,ауыл,ерлер,Ақтөбе,76.17725090079884
2016,пайыз,ауыл,әйелдер,Ақтөбе,77.02172338884866
2016,пайыз,,,Алматы,87.91319666880206
2016,пайыз,,ерлер,Алматы,87.63731735458661
2016,пайыз,,әйелдер,Алматы,88.177638060187
2016,пайыз,қала,,Алматы,88.35053545327088
2016,пайыз,қала,ерлер,Алматы,89.00408701384312
2016,пайыз,қала,әйелдер,Алматы,87.76775091581982
2016,пайыз,ауыл,,Алматы,87.7760586598359
2016,пайыз,ауыл,ерлер,Алматы,87.22947231266258
2016,пайыз,ауыл,әйелдер,Алматы,88.31196683396772
2016,пайыз,,,Атырау,85.1310652097063
2016,пайыз,,ерлер,Атырау,86.1014931175663
2016,пайыз,,әйелдер,Атырау,84.2073410480383
2016,пайыз,қала,,Атырау,90.16725058391724
2016,пайыз,қала,ерлер,Атырау,92.89981556816475
2016,пайыз,қала,әйелдер,Атырау,87.7181882172431
2016,пайыз,ауыл,,Атырау,80.60174574535525
2016,пайыз,ауыл,ерлер,Атырау,80.334850163159
2016,пайыз,ауыл,әйелдер,Атырау,80.86991179058347
2016,пайыз,,,Батыс Қазақстан,90.0934552967148
2016,пайыз,,ерлер,Батыс Қазақстан,90.83037562851229
2016,пайыз,,әйелдер,Батыс Қазақстан,89.41638444371223
2016,пайыз,қала,,Батыс Қазақстан,94.99571264396444
2016,пайыз,қала,ерлер,Батыс Қазақстан,95.66846007069348
2016,пайыз,қала,әйелдер,Батыс Қазақстан,94.43410822349738
2016,пайыз,ауыл,,Батыс Қазақстан,85.23871604242275
2016,пайыз,ауыл,ерлер,Батыс Қазақстан,86.49196375978234
2016,пайыз,ауыл,әйелдер,Батыс Қазақстан,83.97306063481722
2016,пайыз,,,Жамбыл,75.8251437391554
2016,пайыз,,ерлер,Жамбыл,77.0074229886656
2016,пайыз,,әйелдер,Жамбыл,74.70195148234625
2016,пайыз,қала,,Жамбыл,81.37588815996311
2016,пайыз,қала,ерлер,Жамбыл,80.66243209454346
2016,пайыз,қала,әйелдер,Жамбыл,82.00181983621474
2016,пайыз,ауыл,,Жамбыл,72.06136026505361
2016,пайыз,ауыл,ерлер,Жамбыл,74.6940412108481
2016,пайыз,ауыл,әйелдер,Жамбыл,69.42181396440947
2016,пайыз,,,Қарағанды,82.75635732624599
2016,пайыз,,ерлер,Қарағанды,84.53645986398767
2016,пайыз,,әйелдер,Қарағанды,81.18292229049727
2016,пайыз,қала,,Қарағанды,85.30012955818016
2016,пайыз,қала,ерлер,Қарағанды,87.29712403563454
2016,пайыз,қала,әйелдер,Қарағанды,83.59875850327325
2016,пайыз,ауыл,,Қарағанды,73.0157864814137
