Year,UNIT_MEASURE,Аймақ,Өңірлер,Value
2010,пайыз,қала,,82.0
2010,пайыз,ауыл,,60.0
2011,пайыз,қала,,82.0
2011,пайыз,ауыл,,42.5
2012,пайыз,қала,,84.0
2012,пайыз,ауыл,,43.0
2013,пайыз,қала,,85.0
2013,пайыз,ауыл,,47.7
2014,пайыз,қала,,86.0
2014,пайыз,ауыл,,50.3
2014,пайыз,қала,Ақмола,81.3
2014,пайыз,ауыл,Ақмола,57.5
2014,пайыз,қала,Ақтөбе,96.9
2014,пайыз,ауыл,Ақтөбе,39.5
2014,пайыз,қала,Алматы,79.8
2014,пайыз,ауыл,Алматы,70.4
2014,пайыз,қала,Атырау,96.2
2014,пайыз,ауыл,Атырау,64.3
2014,пайыз,қала,Батыс Қазақстан,87.0
2014,пайыз,ауыл,Батыс Қазақстан,36.5
2014,пайыз,қала,Жамбыл,74.7
2014,пайыз,ауыл,Жамбыл,56.9
2014,пайыз,қала,Қарағанды,79.5
2014,пайыз,ауыл,Қарағанды,51.5
2014,пайыз,қала,Қостанай,89.1
2014,пайыз,ауыл,Қостанай,27.5
2014,пайыз,қала,Қызылорда,77.1
2014,пайыз,ауыл,Қызылорда,70.9
2014,пайыз,қала,Маңғыстау,88.9
2014,пайыз,ауыл,Маңғыстау,47.1
2014,пайыз,қала,Оңтүстік Қазақстан,81.2
2014,пайыз,ауыл,Оңтүстік Қазақстан,72.9
2014,пайыз,қала,Павлодар,83.3
2014,пайыз,ауыл,Павлодар,20.4
2014,пайыз,қала,Солтүстік Қазақстан,93.1
2014,пайыз,ауыл,Солтүстік Қазақстан,48.1
2014,пайыз,қала,Шығыс Қазақстан,88.6
2014,пайыз,ауыл,Шығыс Қазақстан,40.3
2014,пайыз,,Нұр-Сұлтан қаласы,88.1
2014,пайыз,,Алматы қаласы,91.2
2015,пайыз,қала,,87.0
2015,пайыз,ауыл,,51.5
2015,пайыз,қала,Ақмола,82.2
2015,пайыз,ауыл,Ақмола,57.7
2015,пайыз,қала,Ақтөбе,97.1
2015,пайыз,ауыл,Ақтөбе,42.0
2015,пайыз,қала,Алматы,80.9
2015,пайыз,ауыл,Алматы,71.2
2015,пайыз,қала,Атырау,94.0
2015,пайыз,ауыл,Атырау,75.0
2015,пайыз,қала,Батыс Қазақстан,88.1
2015,пайыз,ауыл,Батыс Қазақстан,36.1
2015,пайыз,қала,Жамбыл,76.2
2015,пайыз,ауыл,Жамбыл,59.1
2015,пайыз,қала,Қарағанды,81.3
2015,пайыз,ауыл,Қарағанды,52.5
2015,пайыз,қала,Қостанай,91.5
2015,пайыз,ауыл,Қостанай,27.3
2015,пайыз,қала,Қызылорда,78.4
2015,пайыз,ауыл,Қызылорда,70.1
2015,пайыз,қала,Маңғыстау,91.1
2015,пайыз,ауыл,Маңғыстау,46.1
2015,пайыз,қала,Оңтүстік Қазақстан,82.0
2015,пайыз,ауыл,Оңтүстік Қазақстан,69.8
2015,пайыз,қала,Павлодар,84.1
2015,пайыз,ауыл,Павлодар,19.2
2015,пайыз,қала,Солтүстік Қазақстан,94.5
2015,пайыз,ауыл,Солтүстік Қазақстан,53.9
2015,пайыз,қала,Шығыс Қазақстан,89.3
2015,пайыз,ауыл,Шығыс Қазақстан,41.5
2015,пайыз,,Нұр-Сұлтан қаласы,89.3
2015,пайыз,,Алматы қаласы,92.7
2016,пайыз,қала,,88.0
2016,пайыз,ауыл,,52.3
2016,пайыз,қала,Ақмола,83.0
2016,пайыз,ауыл,Ақмола,57.7
2016,пайыз,қала,Ақтөбе,98.5
2016,пайыз,ауыл,Ақтөбе,45.9
2016,пайыз,қала,Алматы,95.3
2016,пайыз,ауыл,Алматы,83.7
2016,пайыз,қала,Атырау,100.0
2016,пайыз,ауыл,Атырау,77.4
2016,пайыз,қала,Батыс Қазақстан,89.0
2016,пайыз,ауыл,Батыс Қазақстан,37.4
2016,пайыз,қала,Жамбыл,78.8
2016,пайыз,ауыл,Жамбыл,61.7
2016,пайыз,қала,Қарағанды,85.3
2016,пайыз,ауыл,Қарағанды,53.4
2016,пайыз,қала,Қостанай,97.5
2016,пайыз,ауыл,Қостанай,29.2
2016,пайыз,қала,Қызылорда,85.0
2016,пайыз,ауыл,Қызылорда,74.6
2016,пайыз,қала,Маңғыстау,99.5
2016,пайыз,ауыл,Маңғыстау,57.4
2016,пайыз,қала,Оңтүстік Қазақстан,88.4
2016,пайыз,ауыл,Оңтүстік Қазақстан,71.8
2016,пайыз,қала,Павлодар,84.0
2016,пайыз,ауыл,Павлодар,19.8
2016,пайыз,қала,Солтүстік Қазақстан,99.9
2016,пайыз,ауыл,Солтүстік Қазақстан,56.3
2016,пайыз,қала,Шығыс Қазақстан,97.2
2016,пайыз,ауыл,Шығыс Қазақстан,43.1
2016,пайыз,,Нұр-Сұлтан қаласы,94.0
2016,пайыз,,Алматы қаласы,96.0
2017,пайыз,қала,,90.0
2017,пайыз,ауыл,,55.0
2017,пайыз,қала,Ақмола,86.0
2017,пайыз,ауыл,Ақмола,58.1
2017,пайыз,қала,Ақтөбе,100.0
2017,пайыз,ауыл,Ақтөбе,46.9
2017,пайыз,қала,Алматы,96.9
2017,пайыз,ауыл,Алматы,87.1
2017,пайыз,қала,Атырау,100.0
2017,пайыз,ауыл,Атырау,78.0
2017,пайыз,қала,Батыс Қазақстан,90.4
2017,пайыз,ауыл,Батыс Қазақстан,40.4
2017,пайыз,қала,Жамбыл,84.8
2017,пайыз,ауыл,Жамбыл,62.2
2017,пайыз,қала,Қарағанды,86.6
2017,пайыз,ауыл,Қарағанды,55.1
2017,пайыз,қала,Қостанай,97.6
2017,пайыз,ауыл,Қостанай,30.8
2017,пайыз,қала,Қызылорда,98.3
2017,пайыз,ауыл,Қызылорда,75.0
2017,пайыз,қала,Маңғыстау,99.8
2017,пайыз,ауыл,Маңғыстау,63.9
2017,пайыз,қала,Оңтүстік Қазақстан,93.4
2017,пайыз,ауыл,Оңтүстік Қазақстан,73.6
2017,пайыз,қала,Павлодар,90.0
2017,пайыз,ауыл,Павлодар,23.8
2017,пайыз,қала,Солтүстік Қазақстан,100.0
2017,пайыз,ауыл,Солтүстік Қазақстан,57.5
2017,пайыз,қала,Шығыс Қазақстан,97.3
2017,пайыз,ауыл,Шығыс Қазақстан,47.8
2017,пайыз,,Нұр-Сұлтан қаласы,94.5
2017,пайыз,,Алматы қаласы,95.0
2018,пайыз,қала,,94.5
2018,пайыз,ауыл,,56.9
2018,пайыз,қала,Ақмола,86.0
2018,пайыз,ауыл,Ақмола,59.4
2018,пайыз,қала,Ақтөбе,98.5
2018,пайыз,ауыл,Ақтөбе,54.8
2018,пайыз,қала,Алматы,96.8
2018,пайыз,ауыл,Алматы,89.5
2018,пайыз,қала,Атырау,100.0
2018,пайыз,ауыл,Атырау,79.32
2018,пайыз,қала,Батыс Қазақстан,94.8
2018,пайыз,ауыл,Батыс Қазақстан,46.3
2018,пайыз,қала,Жамбыл,88.0
2018,пайыз,ауыл,Жамбыл,53.4
2018,пайыз,қала,Қарағанды,92.0
2018,пайыз,ауыл,Қарағанды,55.3
2018,пайыз,қала,Қостанай,97.6
2018,пайыз,ауыл,Қостанай,31.4
2018,пайыз,қала,Қызылорда,93.0
2018,пайыз,ауыл,Қызылорда,76.5
2018,пайыз,қала,Маңғыстау,100.0
2018,пайыз,ауыл,Маңғыстау,69.0
2018,пайыз,қала,Павлодар,92.0
2018,пайыз,ауыл,Павлодар,29.7
2018,пайыз,қала,Солтүстік Қазақстан,100.0
2018,пайыз,ауыл,Солтүстік Қазақстан,59.6
2018,пайыз,қала,Түркістан,96.3
2018,пайыз,ауыл,Түркістан,75.5
2018,пайыз,қала,Шығыс Қазақстан,97.8
2018,пайыз,ауыл,Шығыс Қазақстан,53.7
2018,пайыз,,Нұр-Сұлтан қаласы,95.0
2018,пайыз,,Алматы қаласы,97.5
2018,пайыз,,Шымкент қаласы,93.0
2019,пайыз,қала,,97.2
2019,пайыз,ауыл,,86.4
2019,пайыз,қала,Ақмола,97.8
2019,пайыз,ауыл,Ақмола,78.1
2019,пайыз,қала,Ақтөбе,99.2
2019,пайыз,ауыл,Ақтөбе,85.7
2019,пайыз,қала,Алматы,96.8
2019,пайыз,ауыл,Алматы,98.8
2019,пайыз,қала,Атырау,100.0
2019,пайыз,ауыл,Атырау,98.4
2019,пайыз,қала,Батыс Қазақстан,95.9
2019,пайыз,ауыл,Батыс Қазақстан,86.5
2019,пайыз,қала,Жамбыл,88.0
