Year,UNIT_MEASURE,Экономикалық қызмет түрлері,Өңірлер,Value
2010,пайыз,үлкен ГЭС-ларды қоспағанда,,0.0
2011,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,9.104880831682053
2011,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы,34.51437542944687
2011,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Шығыс Қазақстан,74.77996517456992
2011,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Жамбыл,1.5471146227196866
2011,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Солтүстік Қазақстан,0.5594642216101879
2011,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Оңтүстік Қазақстан,37.002353872525326
2011,пайыз,үлкен ГЭС-ларды қоспағанда,,0.0
2012,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,8.376536157036131
2012,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы,33.87562905855201
2012,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Шығыс Қазақстан,74.196245532065
2012,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Жамбыл,1.1654489035584796
2012,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Солтүстік Қазақстан,0.6565455952920362
2012,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Оңтүстік Қазақстан,29.09221043661668
2012,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы қаласы,0.0603899491600893
2012,пайыз,үлкен ГЭС-ларды қоспағанда,,0.0
2013,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,8.11190474163471
2013,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы,26.913021259058368
2013,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Шығыс Қазақстан,73.49094972414917
2013,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Жамбыл,1.5038326784100975
2013,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Солтүстік Қазақстан,0.7042039690296581
2013,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Оңтүстік Қазақстан,27.470372101640912
2013,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы қаласы,0.0669056902222847
2013,пайыз,үлкен ГЭС-ларды қоспағанда,,0.0
2014,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,8.693493734842917
2014,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Ақмола,0.2093964510346464
2014,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы,55.57700621908855
2014,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Шығыс Қазақстан,75.26710775171071
2014,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Жамбыл,1.5870957110640762
2014,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Солтүстік Қазақстан,0.6866570833653451
2014,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Оңтүстік Қазақстан,29.59463560308556
2014,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы қаласы,5.008976207132633
2014,пайыз,үлкен ГЭС-ларды қоспағанда,,0.62
2015,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,10.3083328825092
2015,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Ақмола,9.661538830685435
2015,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы,58.70559496355752
2015,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Шығыс Қазақстан,75.88120353747678
2015,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Жамбыл,4.44367003522054
2015,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Қызылорда,0.0563355921666289
2015,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Солтүстік Қазақстан,0.745414869996707
2015,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Оңтүстік Қазақстан,51.67138798558237
2015,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы қаласы,5.841369233662536
2015,пайыз,үлкен ГЭС-ларды қоспағанда,,0.77
2016,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,12.7
2016,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Ақмола,17.317364266420984
2016,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы,72.17020323633585
