Year,UNIT_MEASURE,Value
2010,100 000 ересекке шаққандағы коммерциялық банктер саны,3.251092147469366
2010,100 000 ересекке шаққандағы банкоматтар саны,66.1084379184613
2011,100 000 ересекке шаққандағы коммерциялық банктер саны,3.129183139172521
2011,100 000 ересекке шаққандағы банкоматтар саны,69.52787742106614
2012,100 000 ересекке шаққандағы коммерциялық банктер саны,3.2006036778831173
2012,100 000 ересекке шаққандағы банкоматтар саны,73.2582619604358
2013,100 000 ересекке шаққандағы коммерциялық банктер саны,3.156029890198204
2013,100 000 ересекке шаққандағы банкоматтар саны,75.04988850298912
2014,100 000 ересекке шаққандағы коммерциялық банктер саны,3.348735721714094
2014,100 000 ересекке шаққандағы банкоматтар саны,76.30807191608898
2015,100 000 ересекке шаққандағы коммерциялық банктер саны,3.3705674161164425
2015,100 000 ересекке шаққандағы банкоматтар саны,75.18831606780726
2016,100 000 ересекке шаққандағы коммерциялық банктер саны,2.9465215721088307
2016,100 000 ересекке шаққандағы банкоматтар саны,78.03793005798485
2017,100 000 ересекке шаққандағы коммерциялық банктер саны,2.8297588303577013
2017,100 000 ересекке шаққандағы банкоматтар саны,78.63324107968191
2018,100 000 ересекке шаққандағы коммерциялық банктер саны,2.699051416365501
2018,100 000 ересекке шаққандағы банкоматтар саны,88.76253568387678
2019,100 000 ересекке шаққандағы коммерциялық банктер саны,2.3329917037729904
2019,100 000 ересекке шаққандағы банкоматтар саны,87.1
