Year,UNIT_MEASURE,Өңірлер,Жынысы,Аймақ,Жасы,Value
2013,пайыз,,,,,11.8
2013,пайыз,Ақмола,,,,9.7
2013,пайыз,Ақтөбе,,,,13.9
2013,пайыз,Алматы,,,,14.6
2013,пайыз,Атырау,,,,1.7
2013,пайыз,Батыс Қазақстан,,,,10.8
2013,пайыз,Жамбыл,,,,20.2
2013,пайыз,Қарағанды,,,,8.0
2013,пайыз,Қостанай,,,,19.8
2013,пайыз,Қызылорда,,,,12.7
2013,пайыз,Маңғыстау,,,,3.5
2013,пайыз,Оңтүстік Қазақстан,,,,14.2
2013,пайыз,Павлодар,,,,14.6
2013,пайыз,Солтүстік Қазақстан,,,,24.8
2013,пайыз,Шығыс Қазақстан,,,,12.5
2013,пайыз,Нұр-Сұлтан қаласы,,,,0.2
2013,пайыз,Алматы қаласы,,,,1.2
2013,пайыз,,ерлер,,,10.9
2013,пайыз,Ақмола,ерлер,,,9.1
2013,пайыз,Ақтөбе,ерлер,,,15.2
2013,пайыз,Алматы,ерлер,,,14.4
2013,пайыз,Атырау,ерлер,,,1.9
2013,пайыз,Батыс Қазақстан,ерлер,,,13.1
2013,пайыз,Жамбыл,ерлер,,,19.8
2013,пайыз,Қарағанды,ерлер,,,6.8
2013,пайыз,Қостанай,ерлер,,,17.0
2013,пайыз,Қызылорда,ерлер,,,11.3
2013,пайыз,Маңғыстау,ерлер,,,2.6
2013,пайыз,Оңтүстік Қазақстан,ерлер,,,12.2
2013,пайыз,Павлодар,ерлер,,,12.6
2013,пайыз,Солтүстік Қазақстан,ерлер,,,20.2
2013,пайыз,Шығыс Қазақстан,ерлер,,,11.7
2013,пайыз,Нұр-Сұлтан қаласы,ерлер,,,0.0
2013,пайыз,Алматы қаласы,ерлер,,,1.5
2013,пайыз,,әйелдер,,,12.7
2013,пайыз,Ақмола,әйелдер,,,10.2
2013,пайыз,Ақтөбе,әйелдер,,,12.6
2013,пайыз,Алматы,әйелдер,,,14.8
2013,пайыз,Атырау,әйелдер,,,1.5
2013,пайыз,Батыс Қазақстан,әйелдер,,,8.4
2013,пайыз,Жамбыл,әйелдер,,,20.6
2013,пайыз,Қарағанды,әйелдер,,,9.2
2013,пайыз,Қостанай,әйелдер,,,22.4
2013,пайыз,Қызылорда,әйелдер,,,14.4
2013,пайыз,Маңғыстау,әйелдер,,,4.7
2013,пайыз,Оңтүстік Қазақстан,әйелдер,,,16.7
2013,пайыз,Павлодар,әйелдер,,,16.6
2013,пайыз,Солтүстік Қазақстан,әйелдер,,,29.4
2013,пайыз,Шығыс Қазақстан,әйелдер,,,13.4
2013,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,0.3
2013,пайыз,Алматы қаласы,әйелдер,,,0.9
2013,пайыз,,,қала,,5.1
2013,пайыз,Ақмола,,қала,,2.4
2013,пайыз,Ақтөбе,,қала,,7.1
2013,пайыз,Алматы,,қала,,12.1
2013,пайыз,Атырау,,қала,,0.2
2013,пайыз,Батыс Қазақстан,,қала,,2.1
2013,пайыз,Жамбыл,,қала,,25.5
2013,пайыз,Қарағанды,,қала,,6.0
2013,пайыз,Қостанай,,қала,,6.4
2013,пайыз,Қызылорда,,қала,,8.4
2013,пайыз,Маңғыстау,,қала,,4.0
2013,пайыз,Оңтүстік Қазақстан,,қала,,7.1
2013,пайыз,Павлодар,,қала,,3.1
2013,пайыз,Солтүстік Қазақстан,,қала,,7.7
2013,пайыз,Шығыс Қазақстан,,қала,,1.7
2013,пайыз,Нұр-Сұлтан қаласы,,қала,,0.2
2013,пайыз,Алматы қаласы,,қала,,1.2
2013,пайыз,,,ауыл,,19.8
2013,пайыз,Ақмола,,ауыл,,15.9
2013,пайыз,Ақтөбе,,ауыл,,25.4
2013,пайыз,Алматы,,ауыл,,15.4
2013,пайыз,Атырау,,ауыл,,3.1
2013,пайыз,Батыс Қазақстан,,ауыл,,18.1
2013,пайыз,Жамбыл,,ауыл,,17.2
2013,пайыз,Қарағанды,,ауыл,,15.0
2013,пайыз,Қостанай,,ауыл,,32.3
2013,пайыз,Қызылорда,,ауыл,,16.2
2013,пайыз,Маңғыстау,,ауыл,,2.9
2013,пайыз,Оңтүстік Қазақстан,,ауыл,,18.6
2013,пайыз,Павлодар,,ауыл,,36.3
2013,пайыз,Солтүстік Қазақстан,,ауыл,,36.0
2013,пайыз,Шығыс Қазақстан,,ауыл,,27.8
2013,пайыз,,,,Y15,97.8
2013,пайыз,,,,16-24,16.1
2013,пайыз,,,,25-28,10.0
