Year,UNIT_MEASURE,Өңірлер,Жынысы,Аймақ,Жасы,Value
2012,пайыз,,,,,26.0
2012,пайыз,Ақмола,,,,20.5
2012,пайыз,Ақтөбе,,,,24.7
2012,пайыз,Алматы,,,,28.2
2012,пайыз,Атырау,,,,8.2
2012,пайыз,Батыс Қазақстан,,,,28.4
2012,пайыз,Жамбыл,,,,31.3
2012,пайыз,Қарағанды,,,,25.8
2012,пайыз,Қостанай,,,,38.3
2012,пайыз,Қызылорда,,,,17.1
2012,пайыз,Маңғыстау,,,,2.4
2012,пайыз,Оңтүстік Қазақстан,,,,37.2
2012,пайыз,Павлодар,,,,29.4
2012,пайыз,Солтүстік Қазақстан,,,,40.0
2012,пайыз,Шығыс Қазақстан,,,,29.8
2012,пайыз,Нұр-Сұлтан қаласы,,,,13.3
2012,пайыз,Алматы қаласы,,,,9.8
2012,пайыз,,ерлер,,,24.7
2012,пайыз,Ақмола,ерлер,,,21.6
2012,пайыз,Ақтөбе,ерлер,,,21.8
2012,пайыз,Алматы,ерлер,,,28.7
2012,пайыз,Атырау,ерлер,,,7.5
2012,пайыз,Батыс Қазақстан,ерлер,,,30.9
2012,пайыз,Жамбыл,ерлер,,,28.0
2012,пайыз,Қарағанды,ерлер,,,23.0
2012,пайыз,Қостанай,ерлер,,,35.9
2012,пайыз,Қызылорда,ерлер,,,15.8
2012,пайыз,Маңғыстау,ерлер,,,2.3
2012,пайыз,Оңтүстік Қазақстан,ерлер,,,35.4
2012,пайыз,Павлодар,ерлер,,,27.1
2012,пайыз,Солтүстік Қазақстан,ерлер,,,35.2
2012,пайыз,Шығыс Қазақстан,ерлер,,,27.3
2012,пайыз,Нұр-Сұлтан қаласы,ерлер,,,12.4
2012,пайыз,Алматы қаласы,ерлер,,,10.5
2012,пайыз,,әйелдер,,,27.5
2012,пайыз,Ақмола,әйелдер,,,19.3
2012,пайыз,Ақтөбе,әйелдер,,,27.7
2012,пайыз,Алматы,әйелдер,,,27.6
2012,пайыз,Атырау,әйелдер,,,8.9
2012,пайыз,Батыс Қазақстан,әйелдер,,,25.7
2012,пайыз,Жамбыл,әйелдер,,,34.7
2012,пайыз,Қарағанды,әйелдер,,,28.9
2012,пайыз,Қостанай,әйелдер,,,40.7
2012,пайыз,Қызылорда,әйелдер,,,18.6
2012,пайыз,Маңғыстау,әйелдер,,,2.6
2012,пайыз,Оңтүстік Қазақстан,әйелдер,,,39.2
2012,пайыз,Павлодар,әйелдер,,,31.8
2012,пайыз,Солтүстік Қазақстан,әйелдер,,,44.6
2012,пайыз,Шығыс Қазақстан,әйелдер,,,32.5
2012,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,14.3
2012,пайыз,Алматы қаласы,әйелдер,,,9.1
2012,пайыз,,,қала,,16.0
2012,пайыз,Ақмола,,қала,,14.9
2012,пайыз,Ақтөбе,,қала,,16.8
2012,пайыз,Алматы,,қала,,21.4
2012,пайыз,Атырау,,қала,,3.1
2012,пайыз,Батыс Қазақстан,,қала,,5.6
2012,пайыз,Жамбыл,,қала,,14.6
2012,пайыз,Қарағанды,,қала,,23.5
2012,пайыз,Қостанай,,қала,,18.2
2012,пайыз,Қызылорда,,қала,,11.5
2012,пайыз,Маңғыстау,,қала,,2.1
2012,пайыз,Оңтүстік Қазақстан,,қала,,23.9
2012,пайыз,Павлодар,,қала,,17.9
2012,пайыз,Солтүстік Қазақстан,,қала,,24.9
2012,пайыз,Шығыс Қазақстан,,қала,,18.0
2012,пайыз,Нұр-Сұлтан қаласы,,қала,,13.3
2012,пайыз,Алматы қаласы,,қала,,9.8
2012,пайыз,,,ауыл,,37.9
2012,пайыз,Ақмола,,ауыл,,25.2
2012,пайыз,Ақтөбе,,ауыл,,37.9
2012,пайыз,Алматы,,ауыл,,30.2
2012,пайыз,Атырау,,ауыл,,13.2
2012,пайыз,Батыс Қазақстан,,ауыл,,47.0
2012,пайыз,Жамбыл,,ауыл,,40.7
2012,пайыз,Қарағанды,,ауыл,,33.6
2012,пайыз,Қостанай,,ауыл,,56.8
2012,пайыз,Қызылорда,,ауыл,,21.5
2012,пайыз,Маңғыстау,,ауыл,,2.8
2012,пайыз,Оңтүстік Қазақстан,,ауыл,,45.3
2012,пайыз,Павлодар,,ауыл,,50.9
2012,пайыз,Солтүстік Қазақстан,,ауыл,,49.3
2012,пайыз,Шығыс Қазақстан,,ауыл,,46.2
2012,пайыз,,,,Y15,99.3
2012,пайыз,,,,16-24,33.1
2012,пайыз,,,,25-28,22.9
2012,пайыз,,,,29-34,24.4
2012,пайыз,,,,35-44,24.2
2012,пайыз,,,,45-54,23.5
2012,пайыз,,,,55-64,30.4
2012,пайыз,,,,65 және одан үлкен,62.6
2012,пайыз,Ақмола,,,Y15,73.9
2012,пайыз,Ақмола,,,16-24,18.5
2012,пайыз,Ақмола,,,25-28,14.8
2012,пайыз,Ақмола,,,29-34,17.7
2012,пайыз,Ақмола,,,35-44,22.5
2012,пайыз,Ақмола,,,45-54,22.6
2012,пайыз,Ақмола,,,55-64,18.2
2012,пайыз,Ақмола,,,65 және одан үлкен,77.0
2012,пайыз,Ақтөбе,,,16-24,38.8
2012,пайыз,Ақтөбе,,,25-28,25.8
2012,пайыз,Ақтөбе,,,29-34,22.4
2012,пайыз,Ақтөбе,,,35-44,19.4
2012,пайыз,Ақтөбе,,,45-54,22.3
2012,пайыз,Ақтөбе,,,55-64,37.6
2012,пайыз,Ақтөбе,,,65 және одан үлкен,100.0
2012,пайыз,Алматы,,,16-24,27.0
2012,пайыз,Алматы,,,25-28,25.7
2012,пайыз,Алматы,,,29-34,28.4
2012,пайыз,Алматы,,,35-44,29.2
2012,пайыз,Алматы,,,45-54,29.2
2012,пайыз,Алматы,,,55-64,28.3
2012,пайыз,Алматы,,,65 және одан үлкен,36.0
2012,пайыз,Атырау,,,16-24,11.3
2012,пайыз,Атырау,,,25-28,5.8
2012,пайыз,Атырау,,,29-34,8.2
2012,пайыз,Атырау,,,35-44,9.7
2012,пайыз,Атырау,,,45-54,5.9
2012,пайыз,Атырау,,,55-64,7.3
2012,пайыз,Батыс Қазақстан,,,16-24,28.2
2012,пайыз,Батыс Қазақстан,,,25-28,31.4
2012,пайыз,Батыс Қазақстан,,,29-34,24.2
2012,пайыз,Батыс Қазақстан,,,35-44,27.5
2012,пайыз,Батыс Қазақстан,,,45-54,25.6
2012,пайыз,Батыс Қазақстан,,,55-64,42.1
2012,пайыз,Батыс Қазақстан,,,65 және одан үлкен,81.5
2012,пайыз,Жамбыл,,,Y15,100.0
2012,пайыз,Жамбыл,,,16-24,39.4
2012,пайыз,Жамбыл,,,25-28,33.1
2012,пайыз,Жамбыл,,,29-34,30.0
2012,пайыз,Жамбыл,,,35-44,29.5
2012,пайыз,Жамбыл,,,45-54,25.1
2012,пайыз,Жамбыл,,,55-64,32.6
2012,пайыз,Жамбыл,,,65 және одан үлкен,36.3
2012,пайыз,Қарағанды,,,16-24,40.0
2012,пайыз,Қарағанды,,,25-28,22.3
2012,пайыз,Қарағанды,,,29-34,23.3
2012,пайыз,Қарағанды,,,35-44,20.6
2012,пайыз,Қарағанды,,,45-54,19.7
2012,пайыз,Қарағанды,,,55-64,33.0
2012,пайыз,Қарағанды,,,65 және одан үлкен,76.2
2012,пайыз,Қостанай,,,Y15,100.0
2012,пайыз,Қостанай,,,16-24,57.5
2012,пайыз,Қостанай,,,25-28,32.8
2012,пайыз,Қостанай,,,29-34,31.7
2012,пайыз,Қостанай,,,35-44,33.0
2012,пайыз,Қостанай,,,45-54,34.1
2012,пайыз,Қостанай,,,55-64,40.1
2012,пайыз,Қостанай,,,65 және одан үлкен,90.3
2012,пайыз,Қызылорда,,,16-24,20.8
2012,пайыз,Қызылорда,,,25-28,14.6
2012,пайыз,Қызылорда,,,29-34,19.4
2012,пайыз,Қызылорда,,,35-44,16.0
2012,пайыз,Қызылорда,,,45-54,15.5
2012,пайыз,Қызылорда,,,55-64,17.6
2012,пайыз,Маңғыстау,,,16-24,1.8
2012,пайыз,Маңғыстау,,,25-28,2.1
2012,пайыз,Маңғыстау,,,29-34,1.4
2012,пайыз,Маңғыстау,,,35-44,3.2
2012,пайыз,Маңғыстау,,,45-54,3.6
2012,пайыз,Маңғыстау,,,55-64,2.2
2012,пайыз,Оңтүстік Қазақстан,,,16-24,44.8
2012,пайыз,Оңтүстік Қазақстан,,,25-28,33.2
2012,пайыз,Оңтүстік Қазақстан,,,29-34,38.7
2012,пайыз,Оңтүстік Қазақстан,,,35-44,37.2
2012,пайыз,Оңтүстік Қазақстан,,,45-54,32.9
2012,пайыз,Оңтүстік Қазақстан,,,55-64,34.7
2012,пайыз,Оңтүстік Қазақстан,,,65 және одан үлкен,38.4
2012,пайыз,Павлодар,,,Y15,100.0
2012,пайыз,Павлодар,,,16-24,41.0
2012,пайыз,Павлодар,,,25-28,24.3
2012,пайыз,Павлодар,,,29-34,30.2
2012,пайыз,Павлодар,,,35-44,22.9
2012,пайыз,Павлодар,,,45-54,22.5
2012,пайыз,Павлодар,,,55-64,41.6
2012,пайыз,Павлодар,,,65 және одан үлкен,98.7
2012,пайыз,Солтүстік Қазақстан,,,16-24,49.1
2012,пайыз,Солтүстік Қазақстан,,,25-28,30.7
2012,пайыз,Солтүстік Қазақстан,,,29-34,37.2
2012,пайыз,Солтүстік Қазақстан,,,35-44,32.0
2012,пайыз,Солтүстік Қазақстан,,,45-54,32.1
2012,пайыз,Солтүстік Қазақстан,,,55-64,59.2
2012,пайыз,Солтүстік Қазақстан,,,65 және одан үлкен,96.5
2012,пайыз,Шығыс Қазақстан,,,16-24,35.7
2012,пайыз,Шығыс Қазақстан,,,25-28,24.2
2012,пайыз,Шығыс Қазақстан,,,29-34,29.2
2012,пайыз,Шығыс Қазақстан,,,35-44,29.9
2012,пайыз,Шығыс Қазақстан,,,45-54,29.5
2012,пайыз,Шығыс Қазақстан,,,55-64,29.6
2012,пайыз,Шығыс Қазақстан,,,65 және одан үлкен,38.0
2012,пайыз,Нұр-Сұлтан қаласы,,,16-24,24.9
2012,пайыз,Нұр-Сұлтан қаласы,,,25-28,13.7
2012,пайыз,Нұр-Сұлтан қаласы,,,29-34,11.2
2012,пайыз,Нұр-Сұлтан қаласы,,,35-44,12.6
2012,пайыз,Нұр-Сұлтан қаласы,,,45-54,9.7
2012,пайыз,Нұр-Сұлтан қаласы,,,55-64,5.0
2012,пайыз,Алматы қаласы,,,16-24,13.8
2012,пайыз,Алматы қаласы,,,25-28,9.9
2012,пайыз,Алматы қаласы,,,29-34,10.4
2012,пайыз,Алматы қаласы,,,35-44,9.0
2012,пайыз,Алматы қаласы,,,45-54,7.7
2012,пайыз,Алматы қаласы,,,55-64,9.4
2012,пайыз,Алматы қаласы,,,65 және одан үлкен,28.6
2013,пайыз,,,,,24.3
2013,пайыз,Ақмола,,,,21.3
2013,пайыз,Ақтөбе,,,,21.5
2013,пайыз,Алматы,,,,21.5
2013,пайыз,Атырау,,,,7.5
2013,пайыз,Батыс Қазақстан,,,,28.9
2013,пайыз,Жамбыл,,,,43.9
2013,пайыз,Қарағанды,,,,19.7
2013,пайыз,Қостанай,,,,37.3
2013,пайыз,Қызылорда,,,,14.9
2013,пайыз,Маңғыстау,,,,5.9
2013,пайыз,Оңтүстік Қазақстан,,,,32.4
2013,пайыз,Павлодар,,,,29.3
2013,пайыз,Солтүстік Қазақстан,,,,39.0
2013,пайыз,Шығыс Қазақстан,,,,29.5
2013,пайыз,Нұр-Сұлтан қаласы,,,,4.9
2013,пайыз,Алматы қаласы,,,,10.5
2013,пайыз,,ерлер,,,24.0
2013,пайыз,Ақмола,ерлер,,,21.7
2013,пайыз,Ақтөбе,ерлер,,,23.6
2013,пайыз,Алматы,ерлер,,,22.9
