Year,UNIT_MEASURE,Экономикалық қызмет түрлері,Өңірлер,Жынысы,Жасы,Value
2014,пайыз,,,,,837.0
2015,пайыз,,,,,880.0
2016,пайыз,,,,,950.0
2017,пайыз,,,,,927.0
2018,пайыз,,,,,959.0
2018,пайыз,,Ақмола,,,706.0
2018,пайыз,,Ақтөбе,,,750.0
2018,пайыз,,Алматы,,,713.0
2018,пайыз,,Атырау,,,1718.0
2018,пайыз,,Батыс Қазақстан,,,1202.0
2018,пайыз,,Жамбыл,,,613.0
2018,пайыз,,Қарағанды,,,808.0
2018,пайыз,,Қостанай,,,685.0
2018,пайыз,,Қызылорда,,,720.0
2018,пайыз,,Маңғыстау,,,1411.0
2018,пайыз,,Оңтүстік Қазақстан,,,630.0
2018,пайыз,,Павлодар,,,774.0
2018,пайыз,,Солтүстік Қазақстан,,,636.0
2018,пайыз,,Шығыс Қазақстан,,,741.0
2018,пайыз,,Нұр-Сұлтан қаласы,,,1422.0
2018,пайыз,,Алматы қаласы,,,1335.0
2018,пайыз,,,ерлер,,1122.0
2018,пайыз,,Ақмола,ерлер,,792.0
2018,пайыз,,Ақтөбе,ерлер,,850.0
2018,пайыз,,Алматы,ерлер,,813.0
2018,пайыз,,Атырау,ерлер,,2105.0
2018,пайыз,,Батыс Қазақстан,ерлер,,1588.0
2018,пайыз,,Жамбыл,ерлер,,690.0
2018,пайыз,,Қарағанды,ерлер,,913.0
2018,пайыз,,Қостанай,ерлер,,752.0
2018,пайыз,,Қызылорда,ерлер,,811.0
2018,пайыз,,Маңғыстау,ерлер,,1827.0
2018,пайыз,,Оңтүстік Қазақстан,ерлер,,686.0
2018,пайыз,,Павлодар,ерлер,,873.0
2018,пайыз,,Солтүстік Қазақстан,ерлер,,682.0
2018,пайыз,,Шығыс Қазақстан,ерлер,,828.0
2018,пайыз,,Нұр-Сұлтан қаласы,ерлер,,1637.0
2018,пайыз,,Алматы қаласы,ерлер,,1438.0
2018,пайыз,,,әйелдер,,785.0
2018,пайыз,,Ақмола,әйелдер,,602.0
2018,пайыз,,Ақтөбе,әйелдер,,639.0
2018,пайыз,,Алматы,әйелдер,,630.0
2018,пайыз,,Атырау,әйелдер,,1146.0
2018,пайыз,,Батыс Қазақстан,әйелдер,,743.0
2018,пайыз,,Жамбыл,әйелдер,,543.0
2018,пайыз,,Қарағанды,әйелдер,,682.0
2018,пайыз,,Қостанай,әйелдер,,604.0
2018,пайыз,,Қызылорда,әйелдер,,609.0
2018,пайыз,,Маңғыстау,әйелдер,,899.0
2018,пайыз,,Оңтүстік Қазақстан,әйелдер,,588.0
2018,пайыз,,Павлодар,әйелдер,,667.0
2018,пайыз,,Солтүстік Қазақстан,әйелдер,,590.0
2018,пайыз,,Шығыс Қазақстан,әйелдер,,644.0
2018,пайыз,,Нұр-Сұлтан қаласы,әйелдер,,1179.0
2018,пайыз,,Алматы қаласы,әйелдер,,1217.0
2018,пайыз,,,,16-24,577.0
2018,пайыз,,,,25-28,764.0
2018,пайыз,,,,29-34,961.0
2018,пайыз,,,,35-44,1102.0
2018,пайыз,,,,45-54,977.0
2018,пайыз,,,,55-64,951.0
2018,пайыз,,,,65 және одан үлкен,1159.0
2018,пайыз,,Ақмола,,16-24,485.0
2018,пайыз,,Ақмола,,25-28,598.0
2018,пайыз,,Ақмола,,29-34,739.0
2018,пайыз,,Ақмола,,35-44,792.0
2018,пайыз,,Ақмола,,45-54,716.0
2018,пайыз,,Ақмола,,55-64,670.0
2018,пайыз,,Ақмола,,65 және одан үлкен,674.0
2018,пайыз,,Ақтөбе,,16-24,478.0
2018,пайыз,,Ақтөбе,,25-28,622.0
2018,пайыз,,Ақтөбе,,29-34,747.0
2018,пайыз,,Ақтөбе,,35-44,819.0
2018,пайыз,,Ақтөбе,,45-54,773.0
2018,пайыз,,Ақтөбе,,55-64,796.0
2018,пайыз,,Ақтөбе,,65 және одан үлкен,798.0
2018,пайыз,,Алматы,,16-24,497.0
2018,пайыз,,Алматы,,25-28,608.0
2018,пайыз,,Алматы,,29-34,711.0
2018,пайыз,,Алматы,,35-44,791.0
2018,пайыз,,Алматы,,45-54,708.0
2018,пайыз,,Алматы,,55-64,732.0
