Year,UNIT_MEASURE,Өңірлер,Аймақ,Жынысы,Жасы,Value
2010,пайыз,,,,,5.8
2010,пайыз,Ақмола,,,,5.8
2010,пайыз,Ақтөбе,,,,5.3
2010,пайыз,Алматы,,,,5.6
2010,пайыз,Атырау,,,,5.4
2010,пайыз,Батыс Қазақстан,,,,5.6
2010,пайыз,Жамбыл,,,,5.7
2010,пайыз,Қарағанды,,,,5.5
2010,пайыз,Қостанай,,,,5.7
2010,пайыз,Қызылорда,,,,5.9
2010,пайыз,Маңғыстау,,,,6.4
2010,пайыз,Оңтүстік Қазақстан,,,,5.9
2010,пайыз,Павлодар,,,,5.6
2010,пайыз,Солтүстік Қазақстан,,,,5.8
2010,пайыз,Шығыс Қазақстан,,,,5.7
2010,пайыз,Нұр-Сұлтан қаласы,,,,6.2
2010,пайыз,Алматы қаласы,,,,6.3
2010,пайыз,,,ерлер,,4.9
2010,пайыз,Ақмола,,ерлер,,6.1
2010,пайыз,Ақтөбе,,ерлер,,2.9
2010,пайыз,Алматы,,ерлер,,5.3
2010,пайыз,Атырау,,ерлер,,3.9
2010,пайыз,Батыс Қазақстан,,ерлер,,4.7
2010,пайыз,Жамбыл,,ерлер,,5.5
2010,пайыз,Қарағанды,,ерлер,,4.5
2010,пайыз,Қостанай,,ерлер,,5.2
2010,пайыз,Қызылорда,,ерлер,,5.7
2010,пайыз,Маңғыстау,,ерлер,,5.9
2010,пайыз,Оңтүстік Қазақстан,,ерлер,,4.8
2010,пайыз,Павлодар,,ерлер,,4.6
2010,пайыз,Солтүстік Қазақстан,,ерлер,,6.1
2010,пайыз,Шығыс Қазақстан,,ерлер,,4.9
2010,пайыз,Нұр-Сұлтан қаласы,,ерлер,,2.9
2010,пайыз,Алматы қаласы,,ерлер,,5.5
2010,пайыз,,,әйелдер,,6.6
2010,пайыз,Ақмола,,әйелдер,,5.5
2010,пайыз,Ақтөбе,,әйелдер,,7.7
2010,пайыз,Алматы,,әйелдер,,6.0
2010,пайыз,Атырау,,әйелдер,,7.0
2010,пайыз,Батыс Қазақстан,,әйелдер,,6.6
2010,пайыз,Жамбыл,,әйелдер,,5.9
2010,пайыз,Қарағанды,,әйелдер,,6.4
2010,пайыз,Қостанай,,әйелдер,,6.1
2010,пайыз,Қызылорда,,әйелдер,,6.1
2010,пайыз,Маңғыстау,,әйелдер,,7.1
2010,пайыз,Оңтүстік Қазақстан,,әйелдер,,7.2
2010,пайыз,Павлодар,,әйелдер,,6.7
2010,пайыз,Солтүстік Қазақстан,,әйелдер,,5.5
2010,пайыз,Шығыс Қазақстан,,әйелдер,,6.5
2010,пайыз,Нұр-Сұлтан қаласы,,әйелдер,,9.7
2010,пайыз,Алматы қаласы,,әйелдер,,7.0
2010,пайыз,,қала,,,6.2
2010,пайыз,Ақмола,қала,,,5.7
2010,пайыз,Ақтөбе,қала,,,5.4
2010,пайыз,Алматы,қала,,,5.6
2010,пайыз,Атырау,қала,,,6.1
2010,пайыз,Батыс Қазақстан,қала,,,4.8
2010,пайыз,Жамбыл,қала,,,7.0
2010,пайыз,Қарағанды,қала,,,5.5
2010,пайыз,Қостанай,қала,,,7.6
2010,пайыз,Қызылорда,қала,,,5.4
2010,пайыз,Маңғыстау,қала,,,5.8
2010,пайыз,Оңтүстік Қазақстан,қала,,,7.2
2010,пайыз,Павлодар,қала,,,6.3
2010,пайыз,Солтүстік Қазақстан,қала,,,6.5
2010,пайыз,Шығыс Қазақстан,қала,,,6.6
2010,пайыз,Нұр-Сұлтан қаласы,қала,,,6.2
2010,пайыз,Алматы қаласы,қала,,,6.3
2010,пайыз,,ауыл,,,5.2
2010,пайыз,Ақмола,ауыл,,,5.9
2010,пайыз,Ақтөбе,ауыл,,,5.3
2010,пайыз,Алматы,ауыл,,,5.6
2010,пайыз,Атырау,ауыл,,,4.9
2010,пайыз,Батыс Қазақстан,ауыл,,,6.1
2010,пайыз,Жамбыл,ауыл,,,4.9
2010,пайыз,Қарағанды,ауыл,,,5.3
2010,пайыз,Қостанай,ауыл,,,3.9
2010,пайыз,Қызылорда,ауыл,,,6.2
2010,пайыз,Маңғыстау,ауыл,,,7.3
2010,пайыз,Оңтүстік Қазақстан,ауыл,,,5.1
2010,пайыз,Павлодар,ауыл,,,4.5
2010,пайыз,Солтүстік Қазақстан,ауыл,,,5.4
2010,пайыз,Шығыс Қазақстан,ауыл,,,4.7
2010,пайыз,,,,Y15,6.8
2010,пайыз,,,,16-24,5.2
2010,пайыз,,,,25-28,8.4
2010,пайыз,,,,29-34,5.8
2010,пайыз,,,,35-44,5.3
2010,пайыз,,,,45-54,5.2
2010,пайыз,,,,55-64,6.0
2010,пайыз,Ақмола,,,16-24,6.0
2010,пайыз,Ақмола,,,25-28,5.2
2010,пайыз,Ақмола,,,29-34,4.9
2010,пайыз,Ақмола,,,35-44,6.4
2010,пайыз,Ақмола,,,45-54,6.1
2010,пайыз,Ақмола,,,55-64,6.3
2010,пайыз,Ақтөбе,,,16-24,2.2
2010,пайыз,Ақтөбе,,,25-28,7.6
2010,пайыз,Ақтөбе,,,29-34,7.5
2010,пайыз,Ақтөбе,,,35-44,6.8
2010,пайыз,Ақтөбе,,,45-54,4.2
2010,пайыз,Ақтөбе,,,55-64,1.2
2010,пайыз,Алматы,,,Y15,53.1
2010,пайыз,Алматы,,,16-24,3.3
2010,пайыз,Алматы,,,25-28,5.0
2010,пайыз,Алматы,,,29-34,5.1
