Year,UNIT_MEASURE,Өңірлер,Аймақ,Жынысы,Value
2010,пайыз,,,,5.7
2010,пайыз,Ақмола,,,6.2
2010,пайыз,Ақтөбе,,,1.4
2010,пайыз,Алматы,,,6.4
2010,пайыз,Атырау,,,3.5
2010,пайыз,Батыс Қазақстан,,,8.3
2010,пайыз,Жамбыл,,,8.1
2010,пайыз,Қарағанды,,,6.9
2010,пайыз,Қостанай,,,4.2
2010,пайыз,Қызылорда,,,7.6
2010,пайыз,Маңғыстау,,,8.3
2010,пайыз,Оңтүстік Қазақстан,,,4.1
2010,пайыз,Павлодар,,,3.3
2010,пайыз,Солтүстік Қазақстан,,,4.6
2010,пайыз,Шығыс Қазақстан,,,8.9
2010,пайыз,Нұр-Сұлтан қаласы,,,7.8
2010,пайыз,Алматы қаласы,,,3.8
2010,пайыз,,,ерлер,4.4
2010,пайыз,Ақмола,,ерлер,6.5
2010,пайыз,Ақтөбе,,ерлер,1.7
2010,пайыз,Алматы,,ерлер,4.9
2010,пайыз,Атырау,,ерлер,2.3
2010,пайыз,Батыс Қазақстан,,ерлер,7.9
2010,пайыз,Жамбыл,,ерлер,5.1
2010,пайыз,Қарағанды,,ерлер,3.8
2010,пайыз,Қостанай,,ерлер,3.8
2010,пайыз,Қызылорда,,ерлер,7.0
2010,пайыз,Маңғыстау,,ерлер,6.9
2010,пайыз,Оңтүстік Қазақстан,,ерлер,1.9
2010,пайыз,Павлодар,,ерлер,2.7
2010,пайыз,Солтүстік Қазақстан,,ерлер,4.9
2010,пайыз,Шығыс Қазақстан,,ерлер,8.1
2010,пайыз,Нұр-Сұлтан қаласы,,ерлер,3.2
2010,пайыз,Алматы қаласы,,ерлер,3.0
2010,пайыз,,,әйелдер,7.1
2010,пайыз,Ақмола,,әйелдер,6.0
2010,пайыз,Ақтөбе,,әйелдер,1.1
2010,пайыз,Алматы,,әйелдер,7.8
2010,пайыз,Атырау,,әйелдер,4.8
2010,пайыз,Батыс Қазақстан,,әйелдер,8.6
2010,пайыз,Жамбыл,,әйелдер,11.4
2010,пайыз,Қарағанды,,әйелдер,10.1
2010,пайыз,Қостанай,,әйелдер,4.6
2010,пайыз,Қызылорда,,әйелдер,8.2
2010,пайыз,Маңғыстау,,әйелдер,9.7
2010,пайыз,Оңтүстік Қазақстан,,әйелдер,6.3
2010,пайыз,Павлодар,,әйелдер,4.0
2010,пайыз,Солтүстік Қазақстан,,әйелдер,4.3
2010,пайыз,Шығыс Қазақстан,,әйелдер,9.7
2010,пайыз,Нұр-Сұлтан қаласы,,әйелдер,11.9
2010,пайыз,Алматы қаласы,,әйелдер,4.5
2010,пайыз,,қала,,5.7
2010,пайыз,Ақмола,қала,,5.6
