Year,UNIT_MEASURE,SERIES,Өңірлер,GeoCode,Value
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,13186.5
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,16647.2
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,18484.6
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,20004.3
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,21281.2
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,21839.1
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,22332.8
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,22744.7
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,23021.6
2010,млн.адам,Темір жол көлігімен,,,19.6
2011,млн.адам,Темір жол көлігімен,,,20.5
2012,млн.адам,Темір жол көлігімен,,,24.4
2013,млн.адам,Темір жол көлігімен,,,28.6
2014,млн.адам,Темір жол көлігімен,,,23.2
2015,млн.адам,Темір жол көлігімен,,,22.5
2016,млн.адам,Темір жол көлігімен,,,23.1
2017,млн.адам,Темір жол көлігімен,,,22.9
2018,млн.адам,Темір жол көлігімен,,,23.1
2010,млн.адам,Автокөлік,,,13083.9
2011,млн.адам,Автокөлік,,,16544.7
2012,млн.адам,Автокөлік,,,18380.2
2013,млн.адам,Автокөлік,,,19905.3
2014,млн.адам,Автокөлік,,,21189.9
2015,млн.адам,Автокөлік,,,21744.7
2016,млн.адам,Автокөлік,,,22239.4
2017,млн.адам,Автокөлік,,,22643.6
2018,млн.адам,Автокөлік,,,22911.5
2010,млн.адам,Ішкі су көлігімен,,,0.1
2011,млн.адам,Ішкі су көлігімен,,,0.1
2012,млн.адам,Ішкі су көлігімен,,,0.1
2013,млн.адам,Ішкі су көлігімен,,,0.09
2014,млн.адам,Ішкі су көлігімен,,,0.0672
2015,млн.адам,Ішкі су көлігімен,,,0.04
2016,млн.адам,Ішкі су көлігімен,,,0.0904
2017,млн.адам,Ішкі су көлігімен,,,0.0587
2018,млн.адам,Ішкі су көлігімен,,,0.0814
2018,млн.адам,Теңіз көлігімен,,,0.05752
2010,млн.адам,Әуе көлігімен,,,3.4
2011,млн.адам,Әуе көлігімен,,,4.1
2012,млн.адам,Әуе көлігімен,,,4.5
2013,млн.адам,Әуе көлігімен,,,5.0
2014,млн.адам,Әуе көлігімен,,,5.4
2015,млн.адам,Әуе көлігімен,,,5.9
2016,млн.адам,Әуе көлігімен,,,6.0
2017,млн.адам,Әуе көлігімен,,,7.4
2018,млн.адам,Әуе көлігімен,,,7.6
2010,млн.адам,Қалалық электр көлігі,,,79.5
2011,млн.адам,Қалалық электр көлігі,,,77.0
2012,млн.адам,Қалалық электр көлігі,,,69.6
2013,млн.адам,Қалалық электр көлігі,,,58.7
2014,млн.адам,Қалалық электр көлігі,,,55.6
2015,млн.адам,Қалалық электр көлігі,,,55.9
2016,млн.адам,Қалалық электр көлігі,,,51.5
2017,млн.адам,Қалалық электр көлігі,,,56.8
2018,млн.адам,Қалалық электр көлігі,,,54.9
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1057.9
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1385.8
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1482.1
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1604.5
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1723.9
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1729.5
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1700.1
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1643.9
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1652.2
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,163.5
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,199.3
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,220.1
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,238.4
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,251.0
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,264.7
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,278.4
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,294.7
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,304.3
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,436.6
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,550.9
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,597.2
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,629.0
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,654.3
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,706.7
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,808.3
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,873.0
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,882.3
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,95.4
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,126.9
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,155.4
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,167.9
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,172.1
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,172.0
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,181.0
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,181.6
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,270.4
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,364.8
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,402.3
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,425.8
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,428.3
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,436.3
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,434.3
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,451.5
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,424.6
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,570.6
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,745.8
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,802.8
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,864.6
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,882.5
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,929.5
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,957.3
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,957.3
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,987.4
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,1440.7
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,1993.3
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,2111.4
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,2299.9
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,2428.7
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,2421.2
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,2418.1
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,2428.1
