Year,UNIT_MEASURE,SERIES,Value
2012,пайыз,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),42.1
2013,пайыз,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),85.9
2014,пайыз,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),91.6
2014,пайыз,UMTS стандарты (халықтың 3G ұялы байланыс жүйесімен қамту пайызы),85.0
2015,пайыз,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),96.6
2015,пайыз,UMTS стандарты (халықтың 3G ұялы байланыс жүйесімен қамту пайызы),72.7
2016,пайыз,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),96.1
2016,пайыз,UMTS стандарты (халықтың 3G ұялы байланыс жүйесімен қамту пайызы),86.8
2017,пайыз,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),96.6
2017,пайыз,UMTS стандарты (халықтың 3G ұялы байланыс жүйесімен қамту пайызы),87.5
2018,пайыз,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),96.6
2018,пайыз,UMTS стандарты (халықтың 3G ұялы байланыс жүйесімен қамту пайызы),87.9
2019,пайыз,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),98.0
2019,пайыз,UMTS стандарты (халықтың 3G ұялы байланыс жүйесімен қамту пайызы),88.8
