Year,Value,SERIES,UNIT_MEASURE
2010,12.879391290466549,,пайыз
2010,15.032089223853678,SD_XPD_ESED,пайыз
2010,10.660044936937348,SG_XPD_HLTH,пайыз
2010,17.38849914962006,SG_XPD_PROT,пайыз
2010,4.674086755666627,"Культура, спорт, туризм и информационное пространство",пайыз
2011,10.970942137064547,,пайыз
2011,16.23256845259948,SD_XPD_ESED,пайыз
2011,9.975881694668445,SG_XPD_HLTH,пайыз
2011,18.064847120379625,SG_XPD_PROT,пайыз
2011,3.8300772837431136,"Культура, спорт, туризм и информационное пространство",пайыз
2012,11.271790081687811,,пайыз
2012,17.07888868536047,SD_XPD_ESED,пайыз
2012,10.319878786139665,SG_XPD_HLTH,пайыз
2012,17.48680903801979,SG_XPD_PROT,пайыз
2012,3.3915565940129597,"Культура, спорт, туризм и информационное пространство",пайыз
2013,10.43330055387468,,пайыз
2013,16.568206430718003,SD_XPD_ESED,пайыз
2013,10.647535033998697,SG_XPD_HLTH,пайыз
2013,18.48133051393149,SG_XPD_PROT,пайыз
2013,3.463042162946373,"Культура, спорт, туризм и информационное пространство",пайыз
2014,10.152958581524668,,пайыз
2014,15.424364985315778,SD_XPD_ESED,пайыз
2014,9.748240132586089,SG_XPD_HLTH,пайыз
2014,17.79149989467833,SG_XPD_PROT,пайыз
2014,3.37623205254963,"Культура, спорт, туризм и информационное пространство",пайыз
2015,10.386638926724082,,пайыз
2015,15.258626583138971,SD_XPD_ESED,пайыз
2015,9.65698792538526,SG_XPD_HLTH,пайыз
2015,19.26925098648875,SG_XPD_PROT,пайыз
2015,3.283921876906349,"Культура, спорт, туризм и информационное пространство",пайыз
2016,10.747463290098189,,пайыз
2016,15.931042556063163,SD_XPD_ESED,пайыз
2016,9.895937099282245,SG_XPD_HLTH,пайыз
2016,19.113938565429027,SG_XPD_PROT,пайыз
2016,3.1091632412556818,"Культура, спорт, туризм и информационное пространство",пайыз
2017,10.697367054408646,,пайыз
2017,13.635310645432458,SD_XPD_ESED,пайыз
2017,8.343091441308449,SG_XPD_HLTH,пайыз
2017,17.07748057738184,SG_XPD_PROT,пайыз
2017,2.946921260688909,"Культура, спорт, туризм и информационное пространство",пайыз
2018,10.760017273646314,,пайыз
2018,15.860502347640647,SD_XPD_ESED,пайыз
2018,9.549610680038718,SG_XPD_HLTH,пайыз
2018,22.41523862222382,SG_XPD_PROT,пайыз
2018,3.656790741491672,"Культура, спорт, туризм и информационное пространство",пайыз
2019,11.155350942031436,,пайыз
2019,15.593223681390448,SD_XPD_ESED,пайыз
2019,8.637585927722132,SG_XPD_HLTH,пайыз
2019,23.19304499666612,SG_XPD_PROT,пайыз
2019,3.0504011577207844,"Культура, спорт, туризм и информационное пространство",пайыз
