Year,Value,SERIES,UNIT_MEASURE
2010,1036774219.0,мемлекеттік кәсіпорындар мен ұйымдар бойынша,мың теңге
2011,1068226069.0,мемлекеттік кәсіпорындар мен ұйымдар бойынша,мың теңге
2012,1178397242.0,мемлекеттік кәсіпорындар мен ұйымдар бойынша,мың теңге
2013,1079560956.0,мемлекеттік кәсіпорындар мен ұйымдар бойынша,мың теңге
2014,1266723255.0,мемлекеттік кәсіпорындар мен ұйымдар бойынша,мың теңге
2015,1062565765.0,мемлекеттік кәсіпорындар мен ұйымдар бойынша,мың теңге
2016,1098257401.0,мемлекеттік кәсіпорындар мен ұйымдар бойынша,мың теңге
2017,1319919996.0,мемлекеттік кәсіпорындар мен ұйымдар бойынша,мың теңге
2018,1345936512.0,мемлекеттік кәсіпорындар мен ұйымдар бойынша,мың теңге
2010,2239305596.0,жеке меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2011,2640408294.0,жеке меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2012,3162532809.0,жеке меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2013,3957235239.0,жеке меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2014,4202318716.0,жеке меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2015,4542902222.0,жеке меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2016,5022388674.0,жеке меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2017,6212525241.0,жеке меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2018,8270308594.0,жеке меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2010,1377448179.0,шетелдік меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2011,1301596792.0,шетелдік меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2012,1132230712.0,шетелдік меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2013,1035890541.0,шетелдік меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2014,1122439988.0,шетелдік меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2015,1419240796.0,шетелдік меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2016,1641656897.0,шетелдік меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2017,1238127054.0,шетелдік меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
2018,1562790936.0,шетелдік меншік кәсіпорындар мен ұйымдар бойынша,мың теңге
