Year,Value,SERIES,UNIT_MEASURE
2010,0.48,Өндірістік жарақаттану деңгейі,1000 қызметкерлерге
2010,0.08,Өлімге әкелетін өндірістік жарақаттың деңгейі,1000 қызметкерлерге
2011,0.47,Өндірістік жарақаттану деңгейі,1000 қызметкерлерге
2011,0.07,Өлімге әкелетін өндірістік жарақаттың деңгейі,1000 қызметкерлерге
2012,0.45,Өндірістік жарақаттану деңгейі,1000 қызметкерлерге
2012,0.06,Өлімге әкелетін өндірістік жарақаттың деңгейі,1000 қызметкерлерге
2013,0.42,Өндірістік жарақаттану деңгейі,1000 қызметкерлерге
2013,0.06,Өлімге әкелетін өндірістік жарақаттың деңгейі,1000 қызметкерлерге
2014,0.39,Өндірістік жарақаттану деңгейі,1000 қызметкерлерге
2014,0.06,Өлімге әкелетін өндірістік жарақаттың деңгейі,1000 қызметкерлерге
2015,0.33,Өндірістік жарақаттану деңгейі,1000 қызметкерлерге
2015,0.05,Өлімге әкелетін өндірістік жарақаттың деңгейі,1000 қызметкерлерге
2016,0.32,Өндірістік жарақаттану деңгейі,1000 қызметкерлерге
2016,0.05,Өлімге әкелетін өндірістік жарақаттың деңгейі,1000 қызметкерлерге
2017,0.29,Өндірістік жарақаттану деңгейі,1000 қызметкерлерге
2017,0.04,Өлімге әкелетін өндірістік жарақаттың деңгейі,1000 қызметкерлерге
2018,0.25,Өндірістік жарақаттану деңгейі,1000 қызметкерлерге
2018,0.03,Өлімге әкелетін өндірістік жарақаттың деңгейі,1000 қызметкерлерге
2019,0.21,Өндірістік жарақаттану деңгейі,1000 қызметкерлерге
2019,0.029,Өлімге әкелетін өндірістік жарақаттың деңгейі,1000 қызметкерлерге
