Year,Value,GeoCode,SERIES,UNIT_MEASURE
2010,13186.5,,Көліктің барлық түрлерімен жолаушыларды тасымалдау,млн.адам
2011,16647.2,,Көліктің барлық түрлерімен жолаушыларды тасымалдау,млн.адам
2012,18484.6,,Көліктің барлық түрлерімен жолаушыларды тасымалдау,млн.адам
2013,20004.3,,Көліктің барлық түрлерімен жолаушыларды тасымалдау,млн.адам
2014,21281.2,,Көліктің барлық түрлерімен жолаушыларды тасымалдау,млн.адам
2015,21839.1,,Көліктің барлық түрлерімен жолаушыларды тасымалдау,млн.адам
2016,22332.8,,Көліктің барлық түрлерімен жолаушыларды тасымалдау,млн.адам
2017,22744.7,,Көліктің барлық түрлерімен жолаушыларды тасымалдау,млн.адам
2018,23021.6,,Көліктің барлық түрлерімен жолаушыларды тасымалдау,млн.адам
2010,19.6,,Темір жол көлігімен,млн.адам
2011,20.5,,Темір жол көлігімен,млн.адам
2012,24.4,,Темір жол көлігімен,млн.адам
2013,28.6,,Темір жол көлігімен,млн.адам
2014,23.2,,Темір жол көлігімен,млн.адам
2015,22.5,,Темір жол көлігімен,млн.адам
2016,23.1,,Темір жол көлігімен,млн.адам
2017,22.9,,Темір жол көлігімен,млн.адам
2018,23.1,,Темір жол көлігімен,млн.адам
2010,13083.9,,Автокөлік,млн.адам
2011,16544.7,,Автокөлік,млн.адам
2012,18380.2,,Автокөлік,млн.адам
2013,19905.3,,Автокөлік,млн.адам
2014,21189.9,,Автокөлік,млн.адам
2015,21744.7,,Автокөлік,млн.адам
2016,22239.4,,Автокөлік,млн.адам
2017,22643.6,,Автокөлік,млн.адам
2018,22911.5,,Автокөлік,млн.адам
2010,0.1,,Ішкі су көлігімен,млн.адам
2011,0.1,,Ішкі су көлігімен,млн.адам
2012,0.1,,Ішкі су көлігімен,млн.адам
2013,0.09,,Ішкі су көлігімен,млн.адам
2014,0.0672,,Ішкі су көлігімен,млн.адам
2015,0.04,,Ішкі су көлігімен,млн.адам
2016,0.0904,,Ішкі су көлігімен,млн.адам
2017,0.0587,,Ішкі су көлігімен,млн.адам
2018,0.0814,,Ішкі су көлігімен,млн.адам
2018,0.05752,,Теңіз көлігімен,млн.адам
2010,3.4,,Әуе көлігімен,млн.адам
2011,4.1,,Әуе көлігімен,млн.адам
2012,4.5,,Әуе көлігімен,млн.адам
2013,5.0,,Әуе көлігімен,млн.адам
2014,5.4,,Әуе көлігімен,млн.адам
