Year,Value,UNIT_MEASURE
2010,11.3,2010 жылғы бағаларда пайызбен
2010,1027.0,"2010 жылғы бағаларда, АҚШ доллар"
2011,11.3,2010 жылғы бағаларда пайызбен
2011,1083.4,"2010 жылғы бағаларда, АҚШ доллар"
2012,11.1,2010 жылғы бағаларда пайызбен
2012,1100.9,"2010 жылғы бағаларда, АҚШ доллар"
2013,10.8,2010 жылғы бағаларда пайызбен
2013,1117.3,"2010 жылғы бағаларда, АҚШ доллар"
2014,10.5,2010 жылғы бағаларда пайызбен
2014,1118.4,"2010 жылғы бағаларда, АҚШ доллар"
2015,10.4,2010 жылғы бағаларда пайызбен
2015,1105.0,"2010 жылғы бағаларда, АҚШ доллар"
2016,10.5,2010 жылғы бағаларда пайызбен
2016,1109.1,"2010 жылғы бағаларда, АҚШ доллар"
2017,10.7,2010 жылғы бағаларда пайызбен
2017,1161.5,"2010 жылғы бағаларда, АҚШ доллар"
2018,10.7,2010 жылғы бағаларда пайызбен
2018,1182.0,"2010 жылғы бағаларда, АҚШ доллар"
2019,10.9,2010 жылғы бағаларда пайызбен
2019,1250.8,"2010 жылғы бағаларда, АҚШ доллар"
