Year,Value,SERIES,UNIT_MEASURE
2012,42.1,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),пайыз
2013,85.9,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),пайыз
2014,91.6,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),пайыз
2014,85.0,UMTS стандарты (халықтың 3G ұялы байланыс жүйесімен қамту пайызы),пайыз
2015,96.6,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),пайыз
2015,72.7,UMTS стандарты (халықтың 3G ұялы байланыс жүйесімен қамту пайызы),пайыз
2016,96.1,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),пайыз
2016,86.8,UMTS стандарты (халықтың 3G ұялы байланыс жүйесімен қамту пайызы),пайыз
2017,96.6,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),пайыз
2017,87.5,UMTS стандарты (халықтың 3G ұялы байланыс жүйесімен қамту пайызы),пайыз
2018,96.6,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),пайыз
2018,87.9,UMTS стандарты (халықтың 3G ұялы байланыс жүйесімен қамту пайызы),пайыз
2019,98.0,GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),пайыз
2019,88.8,UMTS стандарты (халықтың 3G ұялы байланыс жүйесімен қамту пайызы),пайыз
