Year,UNIT_MEASURE,Пол,Местность,SERIES,Регионы,Value
2011,процент,,,"1,9 долларов США по ППС в  день",,0.1
2011,процент,,,"3,2 долларов США по ППС в  день",,1.2
2011,процент,,,"5,5 долларов США по ППС в  день",,15.3
2011,процент,мужчины,,"1,9 долларов США по ППС в  день",,0.1
2011,процент,мужчины,,"3,2 долларов США по ППС в  день",,1.2
2011,процент,мужчины,,"5,5 долларов США по ППС в  день",,15.9
2011,процент,женщины,,"1,9 долларов США по ППС в  день",,0.1
2011,процент,женщины,,"3,2 долларов США по ППС в  день",,1.2
2011,процент,женщины,,"5,5 долларов США по ППС в  день",,14.7
2011,процент,,Город,"1,9 долларов США по ППС в  день",,0.0
2011,процент,,Город,"3,2 долларов США по ППС в  день",,0.4
2011,процент,,Город,"5,5 долларов США по ППС в  день",,9.0
2011,процент,,сельское население,"1,9 долларов США по ППС в  день",,0.2
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",,2.1
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",,22.7
2011,процент,,,"1,9 долларов США по ППС в  день",Акмолинская,0.2
2011,процент,,,"1,9 долларов США по ППС в  день",Карагандинская,0.0
2011,процент,,,"1,9 долларов США по ППС в  день",Костанайская,0.1
2011,процент,,,"1,9 долларов США по ППС в  день",Южно-Казахстанская,0.4
2011,процент,,,"1,9 долларов США по ППС в  день",Павлодарская,0.2
2011,процент,,,"1,9 долларов США по ППС в  день",Северо-Казахстанская,0.2
2011,процент,,,"1,9 долларов США по ППС в  день",Восточно-Казахстанская,0.2
2011,процент,,,"1,9 долларов США по ППС в  день",г_Нур-Султан,0.0
2011,процент,,,"3,2 долларов США по ППС в  день",Акмолинская,2.1
2011,процент,,,"3,2 долларов США по ППС в  день",Актюбинская,0.9
2011,процент,,,"3,2 долларов США по ППС в  день",Алматинская,0.2
2011,процент,,,"3,2 долларов США по ППС в  день",Атырауская,0.1
2011,процент,,,"3,2 долларов США по ППС в  день",Западно-Казахстанская,0.8
2011,процент,,,"3,2 долларов США по ППС в  день",Жымбылская,0.8
2011,процент,,,"3,2 долларов США по ППС в  день",Карагандинская,0.9
2011,процент,,,"3,2 долларов США по ППС в  день",Костанайская,1.3
2011,процент,,,"3,2 долларов США по ППС в  день",Кызылординская,0.7
2011,процент,,,"3,2 долларов США по ППС в  день",Мангистауская,0.1
2011,процент,,,"3,2 долларов США по ППС в  день",Южно-Казахстанская,2.6
2011,процент,,,"3,2 долларов США по ППС в  день",Павлодарская,1.5
2011,процент,,,"3,2 долларов США по ППС в  день",Северо-Казахстанская,3.3
2011,процент,,,"3,2 долларов США по ППС в  день",Восточно-Казахстанская,2.0
2011,процент,,,"3,2 долларов США по ППС в  день",г_Нур-Султан,0.1
2011,процент,,,"3,2 долларов США по ППС в  день",г_Алматы,0.1
2011,процент,,,"5,5 долларов США по ППС в  день",Акмолинская,13.6
2011,процент,,,"5,5 долларов США по ППС в  день",Актюбинская,13.1
2011,процент,,,"5,5 долларов США по ППС в  день",Алматинская,6.2
2011,процент,,,"5,5 долларов США по ППС в  день",Атырауская,6.2
2011,процент,,,"5,5 долларов США по ППС в  день",Западно-Казахстанская,20.5
2011,процент,,,"5,5 долларов США по ППС в  день",Жымбылская,24.5
2011,процент,,,"5,5 долларов США по ППС в  день",Карагандинская,10.8
2011,процент,,,"5,5 долларов США по ППС в  день",Костанайская,15.6
2011,процент,,,"5,5 долларов США по ППС в  день",Кызылординская,13.2
2011,процент,,,"5,5 долларов США по ППС в  день",Мангистауская,4.6
2011,процент,,,"5,5 долларов США по ППС в  день",Южно-Казахстанская,32.7
2011,процент,,,"5,5 долларов США по ППС в  день",Павлодарская,17.0
2011,процент,,,"5,5 долларов США по ППС в  день",Северо-Казахстанская,21.9
2011,процент,,,"5,5 долларов США по ППС в  день",Восточно-Казахстанская,17.8
2011,процент,,,"5,5 долларов США по ППС в  день",г_Нур-Султан,1.7
2011,процент,,,"5,5 долларов США по ППС в  день",г_Алматы,2.0
2011,процент,,Город,"1,9 долларов США по ППС в  день",Акмолинская,0.1
2011,процент,,Город,"1,9 долларов США по ППС в  день",Южно-Казахстанская,0.2
2011,процент,,Город,"1,9 долларов США по ППС в  день",г_Нур-Султан,0.0
2011,процент,,Город,"3,2 долларов США по ППС в  день",Акмолинская,0.7
2011,процент,,Город,"3,2 долларов США по ППС в  день",Актюбинская,0.2
2011,процент,,Город,"3,2 долларов США по ППС в  день",Алматинская,0.7
2011,процент,,Город,"3,2 долларов США по ППС в  день",Жымбылская,1.3
2011,процент,,Город,"3,2 долларов США по ППС в  день",Карагандинская,0.3
2011,процент,,Город,"3,2 долларов США по ППС в  день",Костанайская,0.4
2011,процент,,Город,"3,2 долларов США по ППС в  день",Кызылординская,0.2
2011,процент,,Город,"3,2 долларов США по ППС в  день",Южно-Казахстанская,1.1
2011,процент,,Город,"3,2 долларов США по ППС в  день",Павлодарская,0.5
2011,процент,,Город,"3,2 долларов США по ППС в  день",Северо-Казахстанская,0.9
2011,процент,,Город,"3,2 долларов США по ППС в  день",Восточно-Казахстанская,0.5
