Year,UNIT_MEASURE,Регионы,Пол,Value
2012,процент,,,6.081519545019793
2012,процент,Акмолинская,,7.327164715131723
2012,процент,Актюбинская,,3.204661325564458
2012,процент,Алматинская,,10.942698150662675
2012,процент,Атырауская,,3.114539730861037
2012,процент,Западно-Казахстанская,,9.255254311694362
2012,процент,Жымбылская,,3.90382474615336
2012,процент,Карагандинская,,6.722690734706329
2012,процент,Костанайская,,12.113027202634973
2012,процент,Кызылординская,,2.967726303864527
2012,процент,Мангистауская,,1.1824523069165476
2012,процент,Туркестанская,,6.260891138637669
2012,процент,Павлодарская,,10.56474309996316
2012,процент,Северо-Казахстанская,,7.999298169053529
2012,процент,Восточно-Казахстанская,,6.746526195576749
2012,процент,,мужчины,8.990241851199231
2012,процент,Акмолинская,мужчины,9.99069532716176
2012,процент,Актюбинская,мужчины,4.7232228603530935
2012,процент,Алматинская,мужчины,16.06645821742343
2012,процент,Атырауская,мужчины,4.83195769216304
2012,процент,Западно-Казахстанская,мужчины,12.48477826513602
2012,процент,Жымбылская,мужчины,6.077602367881192
2012,процент,Карагандинская,мужчины,9.560153764410035
2012,процент,Костанайская,мужчины,12.134239711940747
2012,процент,Кызылординская,мужчины,5.820339261128195
2012,процент,Мангистауская,мужчины,2.397186287472239
2012,процент,Туркестанская,мужчины,12.005116273090715
2012,процент,Павлодарская,мужчины,16.39191745221363
2012,процент,Северо-Казахстанская,мужчины,10.84001520827834
2012,процент,Восточно-Казахстанская,мужчины,9.204001402856282
2012,процент,,женщины,3.5065578554111165
2012,процент,Акмолинская,женщины,4.946407458376136
2012,процент,Актюбинская,женщины,1.8657933972667384
2012,процент,Алматинская,женщины,6.187236471032998
2012,процент,Атырауская,женщины,1.539979523524076
2012,процент,Западно-Казахстанская,женщины,6.377347835797938
2012,процент,Жымбылская,женщины,1.925666819695505
2012,процент,Карагандинская,женщины,4.316336769132537
2012,процент,Костанайская,женщины,12.094940365224588
2012,процент,Кызылординская,женщины,0.2020558103942668
2012,процент,Мангистауская,женщины,0.0327168925495456
2012,процент,Туркестанская,женщины,0.8531819147217448
2012,процент,Павлодарская,женщины,5.652412751552785
2012,процент,Северо-Казахстанская,женщины,5.535838041035764
2012,процент,Восточно-Казахстанская,женщины,4.6222234756215785
2013,процент,,,6.281780310601058
2013,процент,Акмолинская,,7.35667371702104
2013,процент,Актюбинская,,7.174042791456476
2013,процент,Алматинская,,11.23439805509888
2013,процент,Атырауская,,3.091297703281105
2013,процент,Западно-Казахстанская,,10.194493514303463
2013,процент,Жымбылская,,3.407917185742276
2013,процент,Карагандинская,,6.714364065858646
2013,процент,Костанайская,,12.084264556173178
2013,процент,Кызылординская,,2.9723991507431
2013,процент,Мангистауская,,1.2445986617306275
2013,процент,Туркестанская,,6.171673725371392
2013,процент,Павлодарская,,10.489654766743897
2013,процент,Северо-Казахстанская,,8.123911632180679
2013,процент,Восточно-Казахстанская,,6.767289759461239
2013,процент,,мужчины,9.213221605638546
2013,процент,Акмолинская,мужчины,10.067245980372508
2013,процент,Актюбинская,мужчины,8.571053716684784
2013,процент,Алматинская,мужчины,16.679219382314262
2013,процент,Атырауская,мужчины,4.679834441695239
2013,процент,Западно-Казахстанская,мужчины,14.699450987752805
2013,процент,Жымбылская,мужчины,5.36108349938081
