Year,UNIT_MEASURE,SERIES,Value
2010,человек,пострадало,148.0
2010,человек,пострадало на 100 000 человек,0.906
2010,человек,в т.ч. погибло,54.0
2010,человек,погибло на 100 000 человек,0.33
2011,человек,пострадало,12.0
2011,человек,пострадало на 100 000 человек,0.07
2011,человек,в т.ч. погибло,5.0
2011,человек,погибло на 100 000 человек,0.03
2012,человек,пострадало,20.0
2012,человек,пострадало на 100 000 человек,0.119
2012,человек,в т.ч. погибло,15.0
2012,человек,погибло на 100 000 человек,0.089
2013,человек,пострадало,12.0
2013,человек,пострадало на 100 000 человек,0.07
2013,человек,в т.ч. погибло,3.0
2013,человек,погибло на 100 000 человек,0.0176
2014,человек,пострадало,19.0
2014,человек,пострадало на 100 000 человек,0.109
2014,человек,в т.ч. погибло,9.0
2014,человек,погибло на 100 000 человек,0.52
2015,человек,пострадало,8.0
2015,человек,пострадало на 100 000 человек,0.045
2015,человек,в т.ч. погибло,0.0
2015,человек,погибло на 100 000 человек,0.0
2016,человек,пострадало,8.0
2016,человек,пострадало на 100 000 человек,0.045
2016,человек,в т.ч. погибло,1.0
2016,человек,погибло на 100 000 человек,0.005
2017,человек,пострадало,35.0
2017,человек,пострадало на 100 000 человек,0.194
2017,человек,в т.ч. погибло,11.0
2017,человек,погибло на 100 000 человек,0.061
2018,человек,пострадало,8.0
2018,человек,пострадало на 100 000 человек,0.044
2018,человек,в т.ч. погибло,1.0
2018,человек,погибло на 100 000 человек,0.005
2019,человек,пострадало,9.0
2019,человек,пострадало на 100 000 человек,0.048
2019,человек,в т.ч. погибло,2.0
2019,человек,погибло на 100 000 человек,0.011
