Year,UNIT_MEASURE,SERIES,Value
2010,процент,,12.879391290466549
2010,процент,Образование,15.032089223853678
2010,процент,Здравоохранение,10.660044936937348
2010,процент,Социальная помощь и социальное обеспечение,17.38849914962006
2010,процент,"Культура, спорт, туризм и информационное пространство",4.674086755666627
2011,процент,,10.970942137064547
2011,процент,Образование,16.23256845259948
2011,процент,Здравоохранение,9.975881694668445
2011,процент,Социальная помощь и социальное обеспечение,18.064847120379625
2011,процент,"Культура, спорт, туризм и информационное пространство",3.8300772837431136
2012,процент,,11.271790081687811
2012,процент,Образование,17.07888868536047
2012,процент,Здравоохранение,10.319878786139665
2012,процент,Социальная помощь и социальное обеспечение,17.48680903801979
2012,процент,"Культура, спорт, туризм и информационное пространство",3.3915565940129597
2013,процент,,10.43330055387468
2013,процент,Образование,16.568206430718003
2013,процент,Здравоохранение,10.647535033998697
2013,процент,Социальная помощь и социальное обеспечение,18.48133051393149
2013,процент,"Культура, спорт, туризм и информационное пространство",3.463042162946373
2014,процент,,10.152958581524668
2014,процент,Образование,15.424364985315778
2014,процент,Здравоохранение,9.748240132586089
2014,процент,Социальная помощь и социальное обеспечение,17.79149989467833
2014,процент,"Культура, спорт, туризм и информационное пространство",3.37623205254963
2015,процент,,10.386638926724082
2015,процент,Образование,15.258626583138971
2015,процент,Здравоохранение,9.65698792538526
2015,процент,Социальная помощь и социальное обеспечение,19.26925098648875
2015,процент,"Культура, спорт, туризм и информационное пространство",3.283921876906349
2016,процент,,10.747463290098189
2016,процент,Образование,15.931042556063163
2016,процент,Здравоохранение,9.895937099282245
2016,процент,Социальная помощь и социальное обеспечение,19.113938565429027
2016,процент,"Культура, спорт, туризм и информационное пространство",3.1091632412556818
2017,процент,,10.697367054408646
2017,процент,Образование,13.635310645432458
2017,процент,Здравоохранение,8.343091441308449
2017,процент,Социальная помощь и социальное обеспечение,17.07748057738184
2017,процент,"Культура, спорт, туризм и информационное пространство",2.946921260688909
2018,процент,,10.760017273646314
2018,процент,Образование,15.860502347640647
2018,процент,Здравоохранение,9.549610680038718
2018,процент,Социальная помощь и социальное обеспечение,22.41523862222382
2018,процент,"Культура, спорт, туризм и информационное пространство",3.656790741491672
2019,процент,,11.155350942031436
2019,процент,Образование,15.593223681390448
2019,процент,Здравоохранение,8.637585927722132
2019,процент,Социальная помощь и социальное обеспечение,23.19304499666612
2019,процент,"Культура, спорт, туризм и информационное пространство",3.0504011577207844
