Year,UNIT_MEASURE,Регионы,Value
2010,процент,Акмолинская,44.0
2010,процент,Алматинская,58.0
2010,процент,Атырауская,24.0
2010,процент,Карагандинская,73.0
2010,процент,Костанайская,50.0
2010,процент,Кызылординская,54.0
2010,процент,Мангистауская,59.0
2010,процент,Северо-Казахстанская,40.0
2010,процент,Туркестанская,49.0
2011,процент,Акмолинская,49.0
2011,процент,Алматинская,60.2
2011,процент,Атырауская,30.0
2011,процент,Карагандинская,73.0
2011,процент,Костанайская,52.0
2011,процент,Кызылординская,57.0
2011,процент,Мангистауская,59.0
2011,процент,Павлодарская,67.0
2011,процент,Северо-Казахстанская,42.0
2011,процент,Туркестанская,50.0
2011,процент,Восточно-Казахстанская,66.0
2011,процент,г_Алматы,28.0
2012,процент,Акмолинская,54.0
2012,процент,Алматинская,64.0
2012,процент,Атырауская,32.0
2012,процент,Карагандинская,73.0
2012,процент,Костанайская,54.0
2012,процент,Кызылординская,60.0
2012,процент,Мангистауская,64.0
2012,процент,Павлодарская,69.0
2012,процент,Северо-Казахстанская,46.0
2012,процент,Туркестанская,67.5
2012,процент,Восточно-Казахстанская,68.0
2012,процент,г_Алматы,34.0
2013,процент,Акмолинская,60.0
2013,процент,Актюбинская,48.9
2013,процент,Алматинская,69.6
2013,процент,Атырауская,37.0
2013,процент,Западно-Казахстанская,23.0
2013,процент,Карагандинская,73.5
2013,процент,Костанайская,58.0
2013,процент,Кызылординская,54.0
2013,процент,Мангистауская,67.0
2013,процент,Павлодарская,71.0
2013,процент,Северо-Казахстанская,50.0
2013,процент,Туркестанская,70.0
2013,процент,Восточно-Казахстанская,74.0
2013,процент,г_Алматы,37.0
2014,процент,Акмолинская,65.0
2014,процент,Актюбинская,44.5
2014,процент,Алматинская,74.6
2014,процент,Атырауская,42.0
2014,процент,Западно-Казахстанская,24.0
2014,процент,Жымбылская,70.0
2014,процент,Карагандинская,74.0
2014,процент,Костанайская,59.0
2014,процент,Кызылординская,57.0
2014,процент,Мангистауская,77.0
2014,процент,Павлодарская,74.0
2014,процент,Северо-Казахстанская,51.0
2014,процент,Туркестанская,74.5
2014,процент,Восточно-Казахстанская,75.0
2014,процент,г_Алматы,43.0
2014,процент,г_Шымкент,30.7
2015,процент,Акмолинская,66.0
2015,процент,Актюбинская,46.3
2015,процент,Алматинская,77.6
2015,процент,Атырауская,47.0
2015,процент,Западно-Казахстанская,26.0
2015,процент,Жымбылская,74.0
2015,процент,Карагандинская,74.5
2015,процент,Костанайская,62.0
2015,процент,Кызылординская,62.0
2015,процент,Мангистауская,84.0
2015,процент,Павлодарская,76.0
2015,процент,Северо-Казахстанская,53.0
2015,процент,Туркестанская,77.0
2015,процент,Восточно-Казахстанская,76.0
2015,процент,г_Нур-Султан,71.1
2015,процент,г_Алматы,65.0
2015,процент,г_Шымкент,40.4
2016,процент,Акмолинская,66.6
2016,процент,Актюбинская,48.0
2016,процент,Алматинская,77.8
2016,процент,Атырауская,49.0
2016,процент,Западно-Казахстанская,27.6
2016,процент,Жымбылская,75.5
2016,процент,Карагандинская,75.0
2016,процент,Костанайская,62.0
2016,процент,Кызылординская,62.6
2016,процент,Мангистауская,92.0
2016,процент,Павлодарская,77.0
2016,процент,Северо-Казахстанская,55.0
2016,процент,Туркестанская,64.0
2016,процент,Восточно-Казахстанская,76.5
2016,процент,г_Нур-Султан,74.5
2016,процент,г_Алматы,60.0
2016,процент,г_Шымкент,41.4
2017,процент,Акмолинская,67.1
2017,процент,Актюбинская,49.5
2017,процент,Алматинская,78.0
2017,процент,Атырауская,51.0
2017,процент,Западно-Казахстанская,28.0
2017,процент,Жымбылская,77.0
2017,процент,Карагандинская,75.5
2017,процент,Костанайская,64.0
2017,процент,Кызылординская,63.0
2017,процент,Мангистауская,92.0
2017,процент,Павлодарская,78.1
2017,процент,Северо-Казахстанская,58.0
2017,процент,Туркестанская,64.4
2017,процент,Восточно-Казахстанская,77.0
2017,процент,г_Нур-Султан,79.3
2017,процент,г_Алматы,65.0
2017,процент,г_Шымкент,46.5
2018,процент,Акмолинская,70.3
2018,процент,Актюбинская,53.0
2018,процент,Алматинская,78.1
2018,процент,Атырауская,54.0
2018,процент,Западно-Казахстанская,28.7
2018,процент,Жымбылская,80.1
2018,процент,Карагандинская,76.0
2018,процент,Костанайская,66.0
2018,процент,Кызылординская,63.5
2018,процент,Мангистауская,92.0
2018,процент,Павлодарская,80.0
2018,процент,Северо-Казахстанская,61.0
2018,процент,Туркестанская,71.2
2018,процент,Восточно-Казахстанская,78.1
2018,процент,г_Нур-Султан,76.0
2018,процент,г_Алматы,70.0
2018,процент,г_Шымкент,53.7
2019,процент,Акмолинская,70.3
2019,процент,Актюбинская,53.0
2019,процент,Алматинская,78.1
2019,процент,Атырауская,54.0
2019,процент,Западно-Казахстанская,28.7
2019,процент,Жымбылская,80.1
2019,процент,Карагандинская,76.0
2019,процент,Костанайская,66.0
2019,процент,Кызылординская,63.5
2019,процент,Мангистауская,92.0
2019,процент,Павлодарская,80.0
2019,процент,Северо-Казахстанская,61.0
2019,процент,Туркестанская,71.2
2019,процент,Восточно-Казахстанская,78.1
