Year,UNIT_MEASURE,Местность,Регионы,Value
2010,кв.м.,,,18.4
2010,кв.м.,Город,,20.2
2010,кв.м.,сельское население,,16.5
2010,кв.м.,,Акмолинская,19.5
2010,кв.м.,,Актюбинская,17.3
2010,кв.м.,,Алматинская,15.7
2010,кв.м.,,Атырауская,16.5
2010,кв.м.,,Западно-Казахстанская,17.0
2010,кв.м.,,Жымбылская,15.7
2010,кв.м.,,Карагандинская,21.3
2010,кв.м.,,Костанайская,19.8
2010,кв.м.,,Кызылординская,17.2
2010,кв.м.,,Мангистауская,16.0
2010,кв.м.,,Южно-Казахстанская,17.7
2010,кв.м.,,Павлодарская,20.9
2010,кв.м.,,Северо-Казахстанская,19.8
2010,кв.м.,,Восточно-Казахстанская,19.0
2010,кв.м.,,г_Нур-Султан,22.5
2010,кв.м.,,г_Алматы,20.3
2010,кв.м.,Город,Акмолинская,21.1
2010,кв.м.,Город,Актюбинская,18.9
2010,кв.м.,Город,Алматинская,18.0
2010,кв.м.,Город,Атырауская,17.8
2010,кв.м.,Город,Западно-Казахстанская,19.7
2010,кв.м.,Город,Жымбылская,17.5
2010,кв.м.,Город,Карагандинская,22.1
2010,кв.м.,Город,Костанайская,20.4
2010,кв.м.,Город,Кызылординская,18.0
2010,кв.м.,Город,Мангистауская,17.1
2010,кв.м.,Город,Южно-Казахстанская,19.6
2010,кв.м.,Город,Павлодарская,22.0
2010,кв.м.,Город,Северо-Казахстанская,20.9
2010,кв.м.,Город,Восточно-Казахстанская,20.7
2010,кв.м.,Город,г_Нур-Султан,22.5
2010,кв.м.,Город,г_Алматы,20.3
2010,кв.м.,сельское население,Акмолинская,18.3
2010,кв.м.,сельское население,Актюбинская,14.8
2010,кв.м.,сельское население,Алматинская,15.0
2010,кв.м.,сельское население,Атырауская,15.1
2010,кв.м.,сельское население,Западно-Казахстанская,14.7
2010,кв.м.,сельское население,Жымбылская,14.4
2010,кв.м.,сельское население,Карагандинская,18.8
2010,кв.м.,сельское население,Костанайская,19.2
2010,кв.м.,сельское население,Кызылординская,16.7
2010,кв.м.,сельское население,Мангистауская,14.0
2010,кв.м.,сельское население,Южно-Казахстанская,16.6
