Year,UNIT_MEASURE,Регионы,Value
2016,процент,Акмолинская,100.0
2016,процент,Актюбинская,100.0
2016,процент,Алматинская,100.0
2016,процент,Атырауская,100.0
2016,процент,Западно-Казахстанская,100.0
2016,процент,Жымбылская,100.0
2016,процент,Карагандинская,100.0
2016,процент,Костанайская,100.0
2016,процент,Кызылординская,100.0
2016,процент,Мангистауская,100.0
2016,процент,Южно-Казахстанская,100.0
2016,процент,Павлодарская,100.0
2016,процент,Северо-Казахстанская,100.0
2016,процент,Восточно-Казахстанская,100.0
2016,процент,г_Нур-Султан,100.0
2016,процент,г_Алматы,100.0
2017,процент,Акмолинская,100.0
2017,процент,Актюбинская,100.0
2017,процент,Алматинская,100.0
2017,процент,Атырауская,100.0
2017,процент,Западно-Казахстанская,100.0
2017,процент,Жымбылская,100.0
2017,процент,Карагандинская,100.0
2017,процент,Костанайская,100.0
2017,процент,Кызылординская,100.0
2017,процент,Мангистауская,100.0
2017,процент,Южно-Казахстанская,100.0
2017,процент,Павлодарская,100.0
2017,процент,Северо-Казахстанская,100.0
2017,процент,Восточно-Казахстанская,100.0
2017,процент,г_Нур-Султан,100.0
2017,процент,г_Алматы,100.0
2018,процент,Акмолинская,100.0
2018,процент,Актюбинская,100.0
2018,процент,Алматинская,100.0
2018,процент,Атырауская,100.0
2018,процент,Западно-Казахстанская,100.0
2018,процент,Жымбылская,100.0
2018,процент,Карагандинская,100.0
2018,процент,Костанайская,100.0
2018,процент,Кызылординская,100.0
2018,процент,Мангистауская,100.0
2018,процент,Павлодарская,100.0
2018,процент,Северо-Казахстанская,100.0
2018,процент,Туркестанская,100.0
2018,процент,Восточно-Казахстанская,100.0
2018,процент,г_Нур-Султан,100.0
2018,процент,г_Алматы,100.0
2018,процент,г_Шымкент,100.0
2019,процент,Акмолинская,100.0
2019,процент,Актюбинская,100.0
2019,процент,Алматинская,100.0
2019,процент,Атырауская,100.0
2019,процент,Западно-Казахстанская,100.0
2019,процент,Жымбылская,100.0
2019,процент,Карагандинская,100.0
2019,процент,Костанайская,100.0
2019,процент,Кызылординская,100.0
2019,процент,Мангистауская,100.0
2019,процент,Павлодарская,100.0
2019,процент,Северо-Казахстанская,100.0
2019,процент,Туркестанская,100.0
2019,процент,Восточно-Казахстанская,100.0
2019,процент,г_Нур-Султан,100.0
2019,процент,г_Алматы,100.0
2019,процент,г_Шымкент,100.0
