Year,UNIT_MEASURE,Регионы,Value
2010,тыс.гектар,,5640.9
2010,тыс.гектар,Акмолинская,86.6
2010,тыс.гектар,Алматинская,1701.6
2010,тыс.гектар,Жымбылская,182.6
2010,тыс.гектар,Карагандинская,175.7
2010,тыс.гектар,Павлодарская,68.5
2010,тыс.гектар,Северо-Казахстанская,11.1
2010,тыс.гектар,Туркестанская,379.6
2010,тыс.гектар,Восточно-Казахстанская,3035.2
2011,тыс.гектар,,5646.8
2011,тыс.гектар,Акмолинская,86.6
2011,тыс.гектар,Алматинская,1707.4
2011,тыс.гектар,Жымбылская,182.6
2011,тыс.гектар,Карагандинская,175.7
2011,тыс.гектар,Павлодарская,68.5
2011,тыс.гектар,Северо-Казахстанская,11.1
2011,тыс.гектар,Туркестанская,379.6
2011,тыс.гектар,Восточно-Казахстанская,3034.9
2012,тыс.гектар,,5663.6
2012,тыс.гектар,Акмолинская,74.5
2012,тыс.гектар,Алматинская,1707.5
2012,тыс.гектар,Жымбылская,182.6
2012,тыс.гектар,Карагандинская,153.8
2012,тыс.гектар,Павлодарская,68.5
2012,тыс.гектар,Северо-Казахстанская,11.1
2012,тыс.гектар,Туркестанская,431.8
2012,тыс.гектар,Восточно-Казахстанская,3033.7
2013,тыс.гектар,,5669.2
2013,тыс.гектар,Акмолинская,74.5
2013,тыс.гектар,Алматинская,1707.5
2013,тыс.гектар,Жымбылская,182.6
2013,тыс.гектар,Карагандинская,153.8
2013,тыс.гектар,Павлодарская,68.5
2013,тыс.гектар,Северо-Казахстанская,11.1
2013,тыс.гектар,Туркестанская,431.8
2013,тыс.гектар,Восточно-Казахстанская,3039.4
2014,тыс.гектар,,5674.5
2014,тыс.гектар,Акмолинская,74.5
2014,тыс.гектар,Алматинская,1706.5
2014,тыс.гектар,Жымбылская,182.6
2014,тыс.гектар,Карагандинская,153.8
2014,тыс.гектар,Павлодарская,68.5
2014,тыс.гектар,Северо-Казахстанская,11.1
2014,тыс.гектар,Туркестанская,431.8
2014,тыс.гектар,Восточно-Казахстанская,3045.6
2015,тыс.гектар,,5675.0
2015,тыс.гектар,Акмолинская,74.5
2015,тыс.гектар,Алматинская,1707.1
2015,тыс.гектар,Жымбылская,182.6
2015,тыс.гектар,Карагандинская,153.8
2015,тыс.гектар,Павлодарская,68.5
2015,тыс.гектар,Северо-Казахстанская,11.1
2015,тыс.гектар,Туркестанская,431.8
2015,тыс.гектар,Восточно-Казахстанская,3045.6
2016,тыс.гектар,,5675.2
2016,тыс.гектар,Акмолинская,74.5
2016,тыс.гектар,Алматинская,1707.3
2016,тыс.гектар,Жымбылская,182.6
2016,тыс.гектар,Карагандинская,153.8
2016,тыс.гектар,Павлодарская,68.5
2016,тыс.гектар,Северо-Казахстанская,11.1
2016,тыс.гектар,Туркестанская,431.8
2016,тыс.гектар,Восточно-Казахстанская,3045.6
2017,тыс.гектар,,5699.2
2017,тыс.гектар,Акмолинская,99.8
2017,тыс.гектар,Алматинская,1707.3
2017,тыс.гектар,Жымбылская,215.8
2017,тыс.гектар,Карагандинская,179.2
2017,тыс.гектар,Павлодарская,68.5
2017,тыс.гектар,Северо-Казахстанская,11.1
2017,тыс.гектар,Туркестанская,431.8
2017,тыс.гектар,Восточно-Казахстанская,2985.8
2018,тыс.гектар,,5841.6
2018,тыс.гектар,Акмолинская,99.8
2018,тыс.гектар,Алматинская,1706.1
2018,тыс.гектар,Жымбылская,215.8
2018,тыс.гектар,Карагандинская,179.2
2018,тыс.гектар,Павлодарская,68.5
2018,тыс.гектар,Северо-Казахстанская,11.1
2018,тыс.гектар,Туркестанская,431.8
2018,тыс.гектар,Восточно-Казахстанская,3129.3
2019,тыс.гектар,,5999.6
2019,тыс.гектар,Акмолинская,99.8
2019,тыс.гектар,Алматинская,1705.9
2019,тыс.гектар,Жымбылская,324.9
2019,тыс.гектар,Карагандинская,179.2
2019,тыс.гектар,Павлодарская,68.5
2019,тыс.гектар,Северо-Казахстанская,11.1
2019,тыс.гектар,Туркестанская,431.8
2019,тыс.гектар,Восточно-Казахстанская,3178.4
