Year,UNIT_MEASURE,Пол,Возраст,Value
2015,на 100 000 населения,,,4.9
2015,на 100 000 населения,мужчины,,7.2
2015,на 100 000 населения,женщины,,2.9
2015,на 100 000 населения,,0-17 лет,0.9
2015,на 100 000 населения,,18-24 лет,5.8
2015,на 100 000 населения,,25-54 лет,8.6
2015,на 100 000 населения,,55-59,9.2
2015,на 100 000 населения,,60+,4.9
2016,на 100 000 населения,,,4.8
2016,на 100 000 населения,мужчины,,7.2
2016,на 100 000 населения,женщины,,2.6
2016,на 100 000 населения,,0-17 лет,0.5
2016,на 100 000 населения,,18-24 лет,6.5
2016,на 100 000 населения,,25-54 лет,9.8
2016,на 100 000 населения,,55-59,8.4
2016,на 100 000 населения,,60+,5.0
2017,на 100 000 населения,,,5.1
2017,на 100 000 населения,мужчины,,8.0
2017,на 100 000 населения,женщины,,2.4
2017,на 100 000 населения,,0-17 лет,0.7
2017,на 100 000 населения,,18-24 лет,5.9
2017,на 100 000 населения,,25-54 лет,8.6
2017,на 100 000 населения,,55-59,7.0
2017,на 100 000 населения,,60+,5.3
2018,на 100 000 населения,,,4.4
2018,на 100 000 населения,мужчины,,6.5
2018,на 100 000 населения,женщины,,2.5
2018,на 100 000 населения,,0-17 лет,0.6
2018,на 100 000 населения,,18-24 лет,5.1
2018,на 100 000 населения,,25-54 лет,9.2
2018,на 100 000 населения,,55-59,6.3
2018,на 100 000 населения,,60+,4.9
2019,на 100 000 населения,,,3.9
2019,на 100 000 населения,мужчины,,6.0
2019,на 100 000 населения,женщины,,1.8
2019,на 100 000 населения,,0-17 лет,0.3
2019,на 100 000 населения,,18-24 лет,3.9
2019,на 100 000 населения,,25-54 лет,8.3
2019,на 100 000 населения,,55-59,5.6
2019,на 100 000 населения,,60+,3.2
