Year,UNIT_MEASURE,Местность,Пол,Возраст,Регионы,Value
2010,процент,,,,,49.4
2010,процент,Город,,,,48.9
2010,процент,сельское население,,,,49.9
2010,процент,,мужчины,,,53.7
2010,процент,,женщины,,,45.1
2010,процент,,,2-4,,47.6
2010,процент,,,5-9,,52.7
2010,процент,,,10-14,,47.4
2010,процент,,,,Акмолинская,59.7
2010,процент,,,,Актюбинская,58.3
2010,процент,,,,Алматинская,49.8
2010,процент,,,,Атырауская,44.7
2010,процент,,,,Западно-Казахстанская,54.7
2010,процент,,,,Жымбылская,56.1
2010,процент,,,,Карагандинская,51.8
2010,процент,,,,Костанайская,72.6
2010,процент,,,,Кызылординская,56.4
2010,процент,,,,Мангистауская,65.3
2010,процент,,,,Южно-Казахстанская,38.9
2010,процент,,,,Павлодарская,54.3
2010,процент,,,,Северо-Казахстанская,59.9
2010,процент,,,,Восточно-Казахстанская,42.7
2010,процент,,,,г_Нур-Султан,38.6
2010,процент,,,,г_Алматы,27.3
2015,процент,,,,,52.7
2015,процент,Город,,,,51.7
2015,процент,сельское население,,,,53.5
2015,процент,,мужчины,,,55.2
2015,процент,,женщины,,,49.9
2015,процент,,,1-2,,38.3
2015,процент,,,3-4,,53.2
2015,процент,,,5-9,,57.8
2015,процент,,,10-14,,53.9
2015,процент,,,,Акмолинская,38.6
2015,процент,,,,Актюбинская,30.2
2015,процент,,,,Алматинская,65.0
2015,процент,,,,Атырауская,59.9
2015,процент,,,,Западно-Казахстанская,42.7
2015,процент,,,,Жымбылская,67.0
2015,процент,,,,Карагандинская,47.1
2015,процент,,,,Костанайская,65.4
2015,процент,,,,Кызылординская,41.9
2015,процент,,,,Мангистауская,65.1
2015,процент,,,,Южно-Казахстанская,53.6
2015,процент,,,,Павлодарская,60.1
2015,процент,,,,Северо-Казахстанская,41.1
2015,процент,,,,Восточно-Казахстанская,47.1
2015,процент,,,,г_Нур-Султан,64.2
2015,процент,,,,г_Алматы,38.4
