Year,UNIT_MEASURE,SERIES,COMPOSITE_BREAKDOWN,Value
2016,процент,к органам прокуратуры,высокая,38.7
2016,процент,к органам прокуратуры,средняя,43.3
2016,процент,к органам прокуратуры,низкая,4.1
2016,процент,к органам прокуратуры,не доверяют,2.0
2016,процент,к органам прокуратуры,никогда не сталкивались с данной структурой,11.8
2016,процент,к органам внутренних дел,высокая,29.8
2016,процент,к органам внутренних дел,средняя,51.6
2016,процент,к органам внутренних дел,низкая,6.6
2016,процент,к органам внутренних дел,не доверяют,3.5
2016,процент,к органам внутренних дел,никогда не сталкивались с данной структурой,8.7
2016,процент,к антикоррупцционной службе,высокая,16.1
2016,процент,к антикоррупцционной службе,средняя,38.6
2016,процент,к антикоррупцционной службе,низкая,6.0
2016,процент,к антикоррупцционной службе,не доверяют,4.1
2016,процент,к антикоррупцционной службе,никогда не сталкивались с данной структурой,35.1
2016,процент,к службе экономических расследований,высокая,14.3
2016,процент,к службе экономических расследований,средняя,37.4
2016,процент,к службе экономических расследований,низкая,5.4
2016,процент,к службе экономических расследований,не доверяют,3.7
2016,процент,к службе экономических расследований,никогда не сталкивались с данной структурой,39.1
2016,процент,к органам гражданской защиты,высокая,20.1
2016,процент,к органам гражданской защиты,средняя,40.7
2016,процент,к органам гражданской защиты,низкая,4.7
2016,процент,к органам гражданской защиты,не доверяют,2.2
2016,процент,к органам гражданской защиты,никогда не сталкивались с данной структурой,32.3
2019,процент,органам прокуратуры можно доверять,полностью согласен/согласна,45.9
2019,процент,органам прокуратуры можно доверять,частично согласен/согласна,43.4
2019,процент,органам прокуратуры можно доверять,частично не согласен/согласна,1.6
2019,процент,органам прокуратуры можно доверять,полностью не согласен/согласна,1.0
2019,процент,органам прокуратуры можно доверять,никогда не сталкивались с данной структурой,8.1
2019,процент,органам полиции можно доверять,полностью согласен/согласна,38.3
2019,процент,органам полиции можно доверять,частично согласен/согласна,51.2
2019,процент,органам полиции можно доверять,частично не согласен/согласна,3.3
2019,процент,органам полиции можно доверять,полностью не согласен/согласна,2.3
2019,процент,органам полиции можно доверять,никогда не сталкивались с данной структурой,4.9
2019,процент,антикоррупционной службе можно доверять,полностью согласен/согласна,25.3
2019,процент,антикоррупционной службе можно доверять,частично согласен/согласна,39.9
2019,процент,антикоррупционной службе можно доверять,частично не согласен/согласна,2.2
2019,процент,антикоррупционной службе можно доверять,полностью не согласен/согласна,1.6
2019,процент,антикоррупционной службе можно доверять,никогда не сталкивались с данной структурой,31.0
2019,процент,службе экономических расследований можно доверять,полностью согласен/согласна,24.4
2019,процент,службе экономических расследований можно доверять,частично согласен/согласна,35.7
2019,процент,службе экономических расследований можно доверять,частично не согласен/согласна,1.6
2019,процент,службе экономических расследований можно доверять,полностью не согласен/согласна,1.2
2019,процент,службе экономических расследований можно доверять,никогда не сталкивались с данной структурой,37.1
