Year,UNIT_MEASURE,Пол,Местность,Возраст,Регионы,Value
2010,процент,,,,,99.7
2010,процент,,Город,,,99.9
2010,процент,,сельское население,,,99.6
2010,процент,мужчины,,,,99.8
2010,процент,женщины,,,,99.7
2010,процент,,,0-11 месяцев,,99.1
2010,процент,,,12-23 месяцев,,99.9
2010,процент,,,24-35 месяцев,,99.9
2010,процент,,,36-47 месяцев,,99.9
2010,процент,,,48-59 месяцев,,100.0
2010,процент,,,,Акмолинская,98.8
2010,процент,,,,Актюбинская,99.6
2010,процент,,,,Алматинская,100.0
2010,процент,,,,Атырауская,99.7
2010,процент,,,,Западно-Казахстанская,100.0
2010,процент,,,,Жымбылская,99.7
2010,процент,,,,Карагандинская,99.8
2010,процент,,,,Костанайская,98.7
2010,процент,,,,Кызылординская,100.0
2010,процент,,,,Мангистауская,99.7
2010,процент,,,,Южно-Казахстанская,100.0
2010,процент,,,,Павлодарская,99.6
2010,процент,,,,Северо-Казахстанская,98.8
2010,процент,,,,Восточно-Казахстанская,99.6
2010,процент,,,,г_Нур-Султан,100.0
2010,процент,,,,г_Алматы,100.0
2015,процент,,,,,99.7
2015,процент,,Город,,,99.9
2015,процент,,сельское население,,,99.5
2015,процент,мужчины,,,,99.7
2015,процент,женщины,,,,99.7
2015,процент,,,0-11 месяцев,,98.7
2015,процент,,,12-23 месяцев,,100.0
2015,процент,,,24-35 месяцев,,100.0
2015,процент,,,36-47 месяцев,,99.8
2015,процент,,,48-59 месяцев,,100.0
2015,процент,,,,Акмолинская,100.0
2015,процент,,,,Актюбинская,100.0
2015,процент,,,,Алматинская,99.1
2015,процент,,,,Атырауская,98.9
2015,процент,,,,Западно-Казахстанская,99.7
2015,процент,,,,Жымбылская,99.4
2015,процент,,,,Карагандинская,99.6
2015,процент,,,,Костанайская,100.0
2015,процент,,,,Кызылординская,99.5
2015,процент,,,,Мангистауская,99.8
2015,процент,,,,Южно-Казахстанская,99.8
2015,процент,,,,Павлодарская,100.0
2015,процент,,,,Северо-Казахстанская,99.5
2015,процент,,,,Восточно-Казахстанская,100.0
2015,процент,,,,г_Нур-Султан,99.7
2015,процент,,,,г_Алматы,100.0
