Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн.долл.США,Данные по Казахстану как получателю,459.119206
2011,млн.долл.США,Данные по Казахстану как получателю,140.796046
2012,млн.долл.США,Данные по Казахстану как получателю,64.973739
2013,млн.долл.США,Данные по Казахстану как получателю,67.695702
2013,млн.долл.США,Данные по Казахстану как донору,0.080092
2014,млн.долл.США,Данные по Казахстану как получателю,236.623382
2014,млн.долл.США,Данные по Казахстану как донору,9.33595
2015,млн.долл.США,Данные по Казахстану как получателю,477.362276
2015,млн.долл.США,Данные по Казахстану как донору,11.912603
2016,млн.долл.США,Данные по Казахстану как получателю,1025.859048
2016,млн.долл.США,Данные по Казахстану как донору,10.298983
2017,млн.долл.США,Данные по Казахстану как получателю,184.107148
2017,млн.долл.США,Данные по Казахстану как донору,9.761301
