Year,UNIT_MEASURE,SERIES,Регионы,Value
2012,тыс.единиц,,,1571.7
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,470.2
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,19.5
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,14.8
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Алматинская,70.1
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Атырауская,9.3
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Западно-Казахстанская,11.6
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Жымбылская,14.0
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Карагандинская,96.1
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Костанайская,17.0
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Кызылординская,13.5
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Мангистауская,17.9
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Южно-Казахстанская,31.8
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Павлодарская,26.8
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Северо-Казахстанская,26.6
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Восточно-Казахстанская,16.9
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,г_Нур-Султан,21.7
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,г_Алматы,62.7
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,,720.8
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Акмолинская,34.9
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Актюбинская,38.5
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Алматинская,4.5
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Атырауская,40.3
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Западно-Казахстанская,26.4
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Жымбылская,24.3
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Карагандинская,26.7
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Костанайская,51.3
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Кызылординская,15.6
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Мангистауская,18.1
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Южно-Казахстанская,24.9
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Павлодарская,45.1
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Северо-Казахстанская,27.4
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Восточно-Казахстанская,71.8
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,г_Нур-Султан,75.2
2012,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,г_Алматы,195.9
2012,тыс.единиц,выше 10 Мбит/сек,Акмолинская,6.3
2012,тыс.единиц,выше 10 Мбит/сек,Актюбинская,2.1
2012,тыс.единиц,выше 10 Мбит/сек,Алматинская,5.6
2012,тыс.единиц,выше 10 Мбит/сек,Атырауская,6.9
2012,тыс.единиц,выше 10 Мбит/сек,Западно-Казахстанская,2.0
2012,тыс.единиц,выше 10 Мбит/сек,Жымбылская,1.4
2012,тыс.единиц,выше 10 Мбит/сек,Карагандинская,16.4
2012,тыс.единиц,выше 10 Мбит/сек,Костанайская,10.9
2012,тыс.единиц,выше 10 Мбит/сек,Кызылординская,2.4
2012,тыс.единиц,выше 10 Мбит/сек,Мангистауская,2.5
2012,тыс.единиц,выше 10 Мбит/сек,Южно-Казахстанская,4.8
2012,тыс.единиц,выше 10 Мбит/сек,Павлодарская,9.6
2012,тыс.единиц,выше 10 Мбит/сек,Северо-Казахстанская,1.3
2012,тыс.единиц,выше 10 Мбит/сек,Восточно-Казахстанская,8.0
2012,тыс.единиц,выше 10 Мбит/сек,г_Нур-Султан,11.8
2012,тыс.единиц,выше 10 Мбит/сек,г_Алматы,243.6
2013,тыс.единиц,,,1958.8
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,294.0
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,20.9
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,15.8
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Алматинская,11.2
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Атырауская,10.2
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Западно-Казахстанская,10.1
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Жымбылская,13.1
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Карагандинская,23.2
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Костанайская,15.8
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Кызылординская,13.9
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Мангистауская,8.1
