Year,UNIT_MEASURE,Местность,Пол,Регионы,Value
2011,процент,,,,50.6
2011,процент,Город,,,60.4
2011,процент,сельское население,,,38.6
2011,процент,,,Акмолинская,53.03666306196898
2011,процент,,,Актюбинская,58.92850532674924
2011,процент,,,Алматинская,47.62188460809093
2011,процент,,,Атырауская,62.4203731258884
2011,процент,,,Западно-Казахстанская,59.9
2011,процент,,,Жымбылская,33.94220855041687
2011,процент,,,Карагандинская,56.25476449021433
2011,процент,,,Костанайская,48.97294426634738
2011,процент,,,Кызылординская,36.28273873157986
2011,процент,,,Мангистауская,50.73488145241394
2011,процент,,,Южно-Казахстанская,44.01688913992825
2011,процент,,,Павлодарская,60.81099609136436
2011,процент,,,Северо-Казахстанская,50.7838705654966
2011,процент,,,Восточно-Казахстанская,44.875610801261054
2011,процент,,,г_Нур-Султан,54.313469785419386
2011,процент,,,г_Алматы,63.683357235146765
2012,процент,,,,61.90662401932264
2012,процент,Город,,,73.9
2012,процент,сельское население,,,47.2
2012,процент,,,Акмолинская,70.25494713852555
2012,процент,,,Актюбинская,72.90223910400472
2012,процент,,,Алматинская,51.84361247256734
2012,процент,,,Атырауская,73.68455305533746
2012,процент,,,Западно-Казахстанская,66.55557347937993
2012,процент,,,Жымбылская,52.826835391720095
2012,процент,,,Карагандинская,64.93976060118634
2012,процент,,,Костанайская,75.62765366457826
2012,процент,,,Кызылординская,62.55566923996232
2012,процент,,,Мангистауская,55.18785900474189
2012,процент,,,Южно-Казахстанская,48.49678736871316
2012,процент,,,Павлодарская,65.24373555488417
2012,процент,,,Северо-Казахстанская,70.44639043135521
2012,процент,,,Восточно-Казахстанская,66.38400412010571
2012,процент,,,г_Нур-Султан,64.3023319712125
2012,процент,,,г_Алматы,68.24678063201104
2013,процент,,,,63.3
2013,процент,Город,,,73.2
2013,процент,сельское население,,,51.2
2013,процент,,,Акмолинская,71.3
2013,процент,,,Актюбинская,73.3
2013,процент,,,Алматинская,52.4
2013,процент,,,Атырауская,74.0
2013,процент,,,Западно-Казахстанская,67.2
2013,процент,,,Жымбылская,53.9
2013,процент,,,Карагандинская,65.1
2013,процент,,,Костанайская,76.5
2013,процент,,,Кызылординская,67.0
2013,процент,,,Мангистауская,70.0
2013,процент,,,Южно-Казахстанская,48.7
2013,процент,,,Павлодарская,68.6
2013,процент,,,Северо-Казахстанская,70.6
2013,процент,,,Восточно-Казахстанская,67.0
2013,процент,,,г_Нур-Султан,64.5
2013,процент,,,г_Алматы,71.0
2014,процент,,,,63.9
2014,процент,Город,,,72.6
2014,процент,сельское население,,,52.7
2014,процент,,,Акмолинская,72.0
2014,процент,,,Актюбинская,73.0
2014,процент,,,Алматинская,54.5
2014,процент,,,Атырауская,74.3
2014,процент,,,Западно-Казахстанская,66.3
2014,процент,,,Жымбылская,54.4
2014,процент,,,Карагандинская,66.0
2014,процент,,,Костанайская,77.0
2014,процент,,,Кызылординская,67.2
2014,процент,,,Мангистауская,70.3
2014,процент,,,Южно-Казахстанская,48.6
2014,процент,,,Павлодарская,69.3
2014,процент,,,Северо-Казахстанская,70.3
2014,процент,,,Восточно-Казахстанская,67.1
2014,процент,,,г_Нур-Султан,66.2
2014,процент,,,г_Алматы,71.0
2015,процент,,,,72.8660129673921
2015,процент,Город,,,76.4
2015,процент,сельское население,,,68.3
2015,процент,,мужчины,,73.0
2015,процент,,женщины,,72.7
2015,процент,,,Акмолинская,60.87720508246625
2015,процент,,,Актюбинская,66.44451330706717
2015,процент,,,Алматинская,81.16569074759364
2015,процент,,,Атырауская,67.18603978001076
2015,процент,,,Западно-Казахстанская,88.96409263894446
2015,процент,,,Жымбылская,61.63541033184858
2015,процент,,,Карагандинская,68.57217287058481
2015,процент,,,Костанайская,76.95433833512575
2015,процент,,,Кызылординская,70.15136835083149
2015,процент,,,Мангистауская,66.28088901165027
2015,процент,,,Южно-Казахстанская,68.3891287407668
2015,процент,,,Павлодарская,81.15185175517124
2015,процент,,,Северо-Казахстанская,67.76427730694405
2015,процент,,,Восточно-Казахстанская,68.09526354822975
2015,процент,,,г_Нур-Султан,86.85082232392773
2015,процент,,,г_Алматы,81.91506991196272
2016,процент,,,,76.8
2016,процент,Город,,,81.3
2016,процент,сельское население,,,70.9
2016,процент,,мужчины,,77.5
2016,процент,,женщины,,76.2
2016,процент,,,Акмолинская,70.0
2016,процент,,,Актюбинская,77.7
2016,процент,,,Алматинская,81.4
2016,процент,,,Атырауская,72.9
2016,процент,,,Западно-Казахстанская,67.4
2016,процент,,,Жымбылская,68.7
2016,процент,,,Карагандинская,72.5
2016,процент,,,Костанайская,83.7
2016,процент,,,Кызылординская,76.7
2016,процент,,,Мангистауская,72.5
2016,процент,,,Южно-Казахстанская,75.4
2016,процент,,,Павлодарская,80.3
2016,процент,,,Северо-Казахстанская,74.8
2016,процент,,,Восточно-Казахстанская,74.5
2016,процент,,,г_Нур-Султан,85.3
2016,процент,,,г_Алматы,84.3
2017,процент,,,,78.8
2017,процент,Город,,,82.5
2017,процент,сельское население,,,73.9
2017,процент,,мужчины,,79.0
2017,процент,,женщины,,78.7
2017,процент,,,Акмолинская,70.8
2017,процент,,,Актюбинская,80.8
2017,процент,,,Алматинская,84.5
2017,процент,,,Атырауская,75.1
2017,процент,,,Западно-Казахстанская,72.7
2017,процент,,,Жымбылская,70.1
2017,процент,,,Карагандинская,72.8
2017,процент,,,Костанайская,85.5
2017,процент,,,Кызылординская,76.2
2017,процент,,,Мангистауская,72.6
2017,процент,,,Южно-Казахстанская,79.0
2017,процент,,,Павлодарская,82.1
2017,процент,,,Северо-Казахстанская,75.7
2017,процент,,,Восточно-Казахстанская,77.4
2017,процент,,,г_Нур-Султан,88.0
2017,процент,,,г_Алматы,84.1
2018,процент,,,,81.3
2018,процент,Город,,,84.1
2018,процент,сельское население,,,77.5
2018,процент,,мужчины,,81.6
2018,процент,,женщины,,81.1
2018,процент,,,Акмолинская,73.8
2018,процент,,,Актюбинская,81.1
2018,процент,,,Алматинская,85.3
2018,процент,,,Атырауская,78.1
2018,процент,,,Западно-Казахстанская,76.9
2018,процент,,,Жымбылская,80.9
2018,процент,,,Карагандинская,73.9
2018,процент,,,Костанайская,85.7
2018,процент,,,Кызылординская,77.7
2018,процент,,,Мангистауская,78.9
2018,процент,,,Павлодарская,83.3
2018,процент,,,Северо-Казахстанская,77.0
2018,процент,,,Туркестанская,84.8
2018,процент,,,Восточно-Казахстанская,79.2
2018,процент,,,г_Нур-Султан,88.1
