Year,UNIT_MEASURE,Местность,Value
2011,процент,,3.0
2011,процент,Город,3.0
2011,процент,сельское население,3.0
2012,процент,,1.8
2012,процент,Город,2.8
2012,процент,сельское население,0.9
2013,процент,,1.2
2013,процент,Город,1.8
2013,процент,сельское население,0.8
2014,процент,,1.3
2014,процент,Город,1.8
2014,процент,сельское население,0.8
2015,процент,,3.1
2015,процент,Город,3.2
2015,процент,сельское население,2.5
2016,процент,,4.5
2016,процент,Город,4.6
2016,процент,сельское население,3.7
2017,процент,,3.6
2017,процент,Город,3.5
2017,процент,сельское население,3.0
2018,процент,,4.6
2018,процент,Город,4.5
2018,процент,сельское население,3.7
2019,процент,,4.1
2019,процент,Город,4.1
2019,процент,сельское население,3.1
