Year,UNIT_MEASURE,SERIES,Возраст,Местность,Пол,Регионы,Value
2010,процент,умеренная и сильная степень отклонения от нормы,,,,,4.05
2010,процент,умеренная и сильная степень отклонения от нормы,,,мужчины,,4.4
2010,процент,умеренная и сильная степень отклонения от нормы,,,женщины,,3.7
2010,процент,умеренная и сильная степень отклонения от нормы,,Город,,,4.9
2010,процент,умеренная и сильная степень отклонения от нормы,,сельское население,,,3.3
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Акмолинская,2.6
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Актюбинская,8.6
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Алматинская,3.7
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Атырауская,3.2
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Западно-Казахстанская,1.8
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Жымбылская,2.8
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Карагандинская,0.4
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Костанайская,0.4
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Кызылординская,1.3
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Мангистауская,4.5
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Южно-Казахстанская,5.8
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Павлодарская,2.7
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Северо-Казахстанская,1.7
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Восточно-Казахстанская,8.1
2010,процент,умеренная и сильная степень отклонения от нормы,,,,г_Нур-Султан,4.5
2010,процент,умеренная и сильная степень отклонения от нормы,,,,г_Алматы,7.8
2010,процент,умеренная и сильная степень отклонения от нормы,0-5 месяцев,,,,13.4
2010,процент,умеренная и сильная степень отклонения от нормы,6-11 месяцев,,,,4.4
2010,процент,умеренная и сильная степень отклонения от нормы,12-23 месяцев,,,,2.1
2010,процент,умеренная и сильная степень отклонения от нормы,24-35 месяцев,,,,2.5
2010,процент,умеренная и сильная степень отклонения от нормы,36-47 месяцев,,,,2.4
2010,процент,умеренная и сильная степень отклонения от нормы,48-59 месяцев,,,,4.5
2010,процент,сильная степень отклонения от нормы,,,,,1.6
2010,процент,сильная степень отклонения от нормы,,,мужчины,,1.9
2010,процент,сильная степень отклонения от нормы,,,женщины,,1.4
2010,процент,сильная степень отклонения от нормы,,Город,,,2.1
2010,процент,сильная степень отклонения от нормы,,сельское население,,,1.3
2010,процент,сильная степень отклонения от нормы,,,,Акмолинская,0.9
2010,процент,сильная степень отклонения от нормы,,,,Актюбинская,3.9
2010,процент,сильная степень отклонения от нормы,,,,Алматинская,2.0
2010,процент,сильная степень отклонения от нормы,,,,Атырауская,1.9
2010,процент,сильная степень отклонения от нормы,,,,Западно-Казахстанская,1.1
2010,процент,сильная степень отклонения от нормы,,,,Жымбылская,1.4
2010,процент,сильная степень отклонения от нормы,,,,Карагандинская,0.4
2010,процент,сильная степень отклонения от нормы,,,,Костанайская,0.0
2010,процент,сильная степень отклонения от нормы,,,,Кызылординская,0.2
2010,процент,сильная степень отклонения от нормы,,,,Мангистауская,1.7
2010,процент,сильная степень отклонения от нормы,,,,Южно-Казахстанская,2.0
2010,процент,сильная степень отклонения от нормы,,,,Павлодарская,1.5
2010,процент,сильная степень отклонения от нормы,,,,Северо-Казахстанская,0.4
2010,процент,сильная степень отклонения от нормы,,,,Восточно-Казахстанская,2.7
2010,процент,сильная степень отклонения от нормы,,,,г_Нур-Султан,2.8
2010,процент,сильная степень отклонения от нормы,,,,г_Алматы,3.0
2010,процент,сильная степень отклонения от нормы,0-5 месяцев,,,,7.4
2010,процент,сильная степень отклонения от нормы,6-11 месяцев,,,,1.0
2010,процент,сильная степень отклонения от нормы,12-23 месяцев,,,,0.6
2010,процент,сильная степень отклонения от нормы,24-35 месяцев,,,,1.2
2010,процент,сильная степень отклонения от нормы,36-47 месяцев,,,,0.7
2010,процент,сильная степень отклонения от нормы,48-59 месяцев,,,,1.8
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,,13.3
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,мужчины,,14.8
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,женщины,,11.8
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,Город,,,13.7
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,сельское население,,,13.0
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Акмолинская,13.6
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Актюбинская,33.5
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Алматинская,7.6
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Атырауская,16.2
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Западно-Казахстанская,6.6
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Жымбылская,21.3
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Карагандинская,6.1
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Костанайская,6.6
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Кызылординская,6.8
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Мангистауская,15.7
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Южно-Казахстанская,11.1
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Павлодарская,13.6
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Северо-Казахстанская,11.6
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Восточно-Казахстанская,20.2
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,г_Нур-Султан,22.1
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,г_Алматы,15.6
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,0-5 месяцев,,,,9.8
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,6-11 месяцев,,,,19.0
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,12-23 месяцев,,,,17.4
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,24-35 месяцев,,,,12.9
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,36-47 месяцев,,,,11.6
2010,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,48-59 месяцев,,,,9.7
2015,процент,умеренная и сильная степень отклонения от нормы,,,,,3.1
2015,процент,умеренная и сильная степень отклонения от нормы,,,мужчины,,2.9
2015,процент,умеренная и сильная степень отклонения от нормы,,,женщины,,3.3
2015,процент,умеренная и сильная степень отклонения от нормы,,Город,,,3.1
2015,процент,умеренная и сильная степень отклонения от нормы,,сельское население,,,3.1
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Акмолинская,1.4
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Актюбинская,6.3
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Алматинская,4.4
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Атырауская,5.9
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Западно-Казахстанская,1.5
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Жымбылская,3.2
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Карагандинская,1.6
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Костанайская,4.2
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Кызылординская,2.1
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Мангистауская,3.4
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Южно-Казахстанская,2.9
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Павлодарская,5.5
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Северо-Казахстанская,1.6
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Восточно-Казахстанская,1.9
2015,процент,умеренная и сильная степень отклонения от нормы,,,,г_Нур-Султан,1.3
2015,процент,умеренная и сильная степень отклонения от нормы,,,,г_Алматы,3.5
2015,процент,умеренная и сильная степень отклонения от нормы,0-5 месяцев,,,,13.7
2015,процент,умеренная и сильная степень отклонения от нормы,6-11 месяцев,,,,2.8
2015,процент,умеренная и сильная степень отклонения от нормы,12-17 месяцев,,,,1.7
2015,процент,умеренная и сильная степень отклонения от нормы,18-23 месяцев,,,,3.5
2015,процент,умеренная и сильная степень отклонения от нормы,24-35 месяцев,,,,1.8
2015,процент,умеренная и сильная степень отклонения от нормы,36-47 месяцев,,,,1.7
2015,процент,умеренная и сильная степень отклонения от нормы,48-59 месяцев,,,,1.9
2015,процент,сильная степень отклонения от нормы,,,,,1.1
2015,процент,сильная степень отклонения от нормы,,,мужчины,,1.1
2015,процент,сильная степень отклонения от нормы,,,женщины,,1.0
2015,процент,сильная степень отклонения от нормы,,Город,,,1.3
2015,процент,сильная степень отклонения от нормы,,сельское население,,,0.8
2015,процент,сильная степень отклонения от нормы,,,,Акмолинская,0.2
2015,процент,сильная степень отклонения от нормы,,,,Актюбинская,2.5
2015,процент,сильная степень отклонения от нормы,,,,Алматинская,1.2
2015,процент,сильная степень отклонения от нормы,,,,Атырауская,3.6
2015,процент,сильная степень отклонения от нормы,,,,Западно-Казахстанская,1.2
2015,процент,сильная степень отклонения от нормы,,,,Жымбылская,0.9
2015,процент,сильная степень отклонения от нормы,,,,Карагандинская,0.0
2015,процент,сильная степень отклонения от нормы,,,,Костанайская,1.1
2015,процент,сильная степень отклонения от нормы,,,,Кызылординская,0.7
2015,процент,сильная степень отклонения от нормы,,,,Мангистауская,1.0
2015,процент,сильная степень отклонения от нормы,,,,Южно-Казахстанская,0.9
2015,процент,сильная степень отклонения от нормы,,,,Павлодарская,2.4
2015,процент,сильная степень отклонения от нормы,,,,Северо-Казахстанская,0.0
2015,процент,сильная степень отклонения от нормы,,,,Восточно-Казахстанская,0.9
2015,процент,сильная степень отклонения от нормы,,,,г_Нур-Султан,0.3
2015,процент,сильная степень отклонения от нормы,,,,г_Алматы,1.4
2015,процент,сильная степень отклонения от нормы,0-5 месяцев,,,,4.9
