Year,UNIT_MEASURE,Пол,Местность,Регионы,Value
2010,на 1000 родившихся,мальчики и девочки,,,19.55
2010,на 1000 родившихся,мальчики и девочки,,Акмолинская,16.99
2010,на 1000 родившихся,мальчики и девочки,,Актюбинская,19.45
2010,на 1000 родившихся,мальчики и девочки,,Алматинская,16.06
2010,на 1000 родившихся,мальчики и девочки,,Атырауская,19.78
2010,на 1000 родившихся,мальчики и девочки,,Западно-Казахстанская,17.17
2010,на 1000 родившихся,мальчики и девочки,,Жымбылская,20.5
2010,на 1000 родившихся,мальчики и девочки,,Карагандинская,17.31
2010,на 1000 родившихся,мальчики и девочки,,Костанайская,16.51
2010,на 1000 родившихся,мальчики и девочки,,Кызылординская,26.47
2010,на 1000 родившихся,мальчики и девочки,,Мангистауская,21.64
2010,на 1000 родившихся,мальчики и девочки,,Южно-Казахстанская,23.0
2010,на 1000 родившихся,мальчики и девочки,,Павлодарская,15.03
2010,на 1000 родившихся,мальчики и девочки,,Северо-Казахстанская,16.4
2010,на 1000 родившихся,мальчики и девочки,,Восточно-Казахстанская,22.27
2010,на 1000 родившихся,мальчики и девочки,,г_Нур-Султан,12.68
2010,на 1000 родившихся,мальчики и девочки,,г_Алматы,18.84
2010,на 1000 родившихся,мальчики и девочки,Город,,19.09
2010,на 1000 родившихся,мальчики и девочки,Город,Акмолинская,16.63
2010,на 1000 родившихся,мальчики и девочки,Город,Актюбинская,19.15
2010,на 1000 родившихся,мальчики и девочки,Город,Алматинская,18.68
2010,на 1000 родившихся,мальчики и девочки,Город,Атырауская,17.69
2010,на 1000 родившихся,мальчики и девочки,Город,Западно-Казахстанская,15.04
2010,на 1000 родившихся,мальчики и девочки,Город,Жымбылская,21.62
2010,на 1000 родившихся,мальчики и девочки,Город,Карагандинская,17.1
2010,на 1000 родившихся,мальчики и девочки,Город,Костанайская,15.02
2010,на 1000 родившихся,мальчики и девочки,Город,Кызылординская,25.25
2010,на 1000 родившихся,мальчики и девочки,Город,Мангистауская,22.03
2010,на 1000 родившихся,мальчики и девочки,Город,Южно-Казахстанская,24.55
2010,на 1000 родившихся,мальчики и девочки,Город,Павлодарская,14.18
2010,на 1000 родившихся,мальчики и девочки,Город,Северо-Казахстанская,14.21
2010,на 1000 родившихся,мальчики и девочки,Город,Восточно-Казахстанская,21.29
2010,на 1000 родившихся,мальчики и девочки,Город,г_Нур-Султан,12.68
2010,на 1000 родившихся,мальчики и девочки,Город,г_Алматы,18.84
2010,на 1000 родившихся,мальчики и девочки,сельское население,,20.06
