Year,UNIT_MEASURE,Местность,Регионы,Возраст,образование матери,квинтиль индекса благосостояния,Value
2010,процент,,,,,,51.0
2010,процент,Город,,,,,53.9
2010,процент,сельское население,,,,,47.7
2010,процент,,Акмолинская,,,,45.5
2010,процент,,Актюбинская,,,,35.7
2010,процент,,Алматинская,,,,43.1
2010,процент,,Атырауская,,,,48.2
2010,процент,,Западно-Казахстанская,,,,61.9
2010,процент,,Жымбылская,,,,44.4
2010,процент,,Карагандинская,,,,54.6
2010,процент,,Костанайская,,,,63.1
2010,процент,,Кызылординская,,,,44.1
2010,процент,,Мангистауская,,,,57.1
2010,процент,,Южно-Казахстанская,,,,43.1
2010,процент,,Павлодарская,,,,58.3
2010,процент,,Северо-Казахстанская,,,,60.5
2010,процент,,Восточно-Казахстанская,,,,50.2
2010,процент,,г_Нур-Султан,,,,72.7
2010,процент,,г_Алматы,,,,62.6
2010,процент,,,15-19,,,19.2
2010,процент,,,20-24,,,35.3
2010,процент,,,25-29,,,52.9
2010,процент,,,30-34,,,56.8
2010,процент,,,35-39,,,61.0
2010,процент,,,40-44,,,57.0
2010,процент,,,45-49,,,39.1
2010,процент,,,,начальное образование,,46.0
2010,процент,,,,общее среднее образование,,49.1
2010,процент,,,,техническое и профессиональное,,51.5
2010,процент,,,,высшее,,52.9
2010,процент,,,,,беднейший,45.6
2010,процент,,,,,второй,46.1
2010,процент,,,,,средний,50.3
2010,процент,,,,,четвертый,55.7
2010,процент,,,,,богатейший,56.8
2015,процент,,,,,,55.7
2015,процент,Город,,,,,55.8
2015,процент,сельское население,,,,,55.6
2015,процент,,Акмолинская,,,,53.9
2015,процент,,Актюбинская,,,,52.0
2015,процент,,Алматинская,,,,62.4
2015,процент,,Атырауская,,,,48.4
2015,процент,,Западно-Казахстанская,,,,57.6
2015,процент,,Жымбылская,,,,50.6
2015,процент,,Карагандинская,,,,55.4
2015,процент,,Костанайская,,,,604.0
2015,процент,,Кызылординская,,,,54.9
2015,процент,,Мангистауская,,,,37.1
2015,процент,,Южно-Казахстанская,,,,60.4
2015,процент,,Павлодарская,,,,45.4
2015,процент,,Северо-Казахстанская,,,,625.0
2015,процент,,Восточно-Казахстанская,,,,57.8
2015,процент,,г_Нур-Султан,,,,48.8
2015,процент,,г_Алматы,,,,63.0
2015,процент,,,15-19,,,28.6
2015,процент,,,20-24,,,44.3
2015,процент,,,25-29,,,56.3
2015,процент,,,30-34,,,60.8
2015,процент,,,35-39,,,65.6
2015,процент,,,40-44,,,61.9
2015,процент,,,45-49,,,39.8
2015,процент,,,,основное среднее,,55.6
2015,процент,,,,общее среднее образование,,55.5
2015,процент,,,,техническое и профессиональное,,53.6
2015,процент,,,,высшее,,57.7
2015,процент,,,,,беднейший,54.8
2015,процент,,,,,второй,56.1
2015,процент,,,,,средний,55.4
2015,процент,,,,,четвертый,56.2
2015,процент,,,,,богатейший,56.2
