Year,Возраст,Местность,Регионы,Value
2010,10-14,,,0.0443645094571824
2010,10-14,,Акмолинская,0.1219586560156107
2010,10-14,,Актюбинская,0.0
2010,10-14,,Алматинская,0.04647056089967
2010,10-14,,Атырауская,0.0
2010,10-14,,Западно-Казахстанская,0.0
2010,10-14,,Жымбылская,0.0241837968561064
2010,10-14,,Карагандинская,0.0715751300281528
2010,10-14,,Костанайская,0.1171623284060065
2010,10-14,,Кызылординская,0.0325839035516454
2010,10-14,,Мангистауская,0.0
2010,10-14,,Южно-Казахстанская,0.0084840669223198
2010,10-14,,Павлодарская,0.09388349058818
2010,10-14,,Северо-Казахстанская,0.0575208513085993
2010,10-14,,Восточно-Казахстанская,0.0749185261028631
2010,10-14,,г_Нур-Султан,0.1196530062817828
2010,10-14,,г_Алматы,0.0591794765575298
2010,10-14,Город,,0.0607826526309391
2010,10-14,Город,Акмолинская,0.2980477869951815
2010,10-14,Город,Актюбинская,0.0
2010,10-14,Город,Алматинская,0.2098489087856743
2010,10-14,Город,Атырауская,0.0
2010,10-14,Город,Западно-Казахстанская,0.0
2010,10-14,Город,Жымбылская,0.0643045463314256
2010,10-14,Город,Карагандинская,0.0990769332386598
2010,10-14,Город,Костанайская,0.2787974536499233
2010,10-14,Город,Кызылординская,0.0859217253082441
2010,10-14,Город,Мангистауская,0.0
2010,10-14,Город,Южно-Казахстанская,0.0
2010,10-14,Город,Павлодарская,0.0
2010,10-14,Город,Северо-Казахстанская,0.0
2010,10-14,Город,Восточно-Казахстанская,0.1009107192411513
2010,10-14,Город,г_Нур-Султан,0.0
2010,10-14,Город,г_Алматы,0.0
2010,10-14,сельское население,,0.0299719762022508
2010,10-14,сельское население,Акмолинская,0.0
2010,10-14,сельское население,Актюбинская,0.0
2010,10-14,сельское население,Алматинская,0.0
2010,10-14,сельское население,Атырауская,0.0
2010,10-14,сельское население,Западно-Казахстанская,0.0
2010,10-14,сельское население,Жымбылская,0.0
2010,10-14,сельское население,Карагандинская,0.0
2010,10-14,сельское население,Костанайская,0.0
2010,10-14,сельское население,Кызылординская,0.0
2010,10-14,сельское население,Мангистауская,0.0
2010,10-14,сельское население,Южно-Казахстанская,0.0130032247997503
2010,10-14,сельское население,Павлодарская,0.2499843759765014
2010,10-14,сельское население,Северо-Казахстанская,0.082314689056262
2010,10-14,сельское население,Восточно-Казахстанская,0.0494462025316455
2010,15-19,,,28.26355987484842
2010,,,Акмолинская,33.42636895268474
2010,,,Актюбинская,21.83937167468964
