Year,UNIT_MEASURE,Регионы,Местность,Пол,Value
2010,на 100 000 населения,,,,0.78
2010,на 100 000 населения,Акмолинская,,,0.14
2010,на 100 000 населения,Актюбинская,,,0.39
2010,на 100 000 населения,Алматинская,,,0.97
2010,на 100 000 населения,Атырауская,,,0.19
2010,на 100 000 населения,Западно-Казахстанская,,,0.16
2010,на 100 000 населения,Жымбылская,,,0.48
2010,на 100 000 населения,Карагандинская,,,0.67
2010,на 100 000 населения,Костанайская,,,0.23
2010,на 100 000 населения,Кызылординская,,,2.45
2010,на 100 000 населения,Мангистауская,,,0.39
2010,на 100 000 населения,Южно-Казахстанская,,,1.97
2010,на 100 000 населения,Павлодарская,,,0.4
2010,на 100 000 населения,Северо-Казахстанская,,,0.17
2010,на 100 000 населения,Восточно-Казахстанская,,,0.57
2010,на 100 000 населения,г_Нур-Султан,,,0.45
2010,на 100 000 населения,г_Алматы,,,0.21
2010,на 100 000 населения,,Город,,0.63
2010,на 100 000 населения,Акмолинская,Город,,0.0
2010,на 100 000 населения,Актюбинская,Город,,0.42
2010,на 100 000 населения,Алматинская,Город,,0.23
2010,на 100 000 населения,Атырауская,Город,,0.4
2010,на 100 000 населения,Западно-Казахстанская,Город,,0.0
2010,на 100 000 населения,Жымбылская,Город,,0.47
2010,на 100 000 населения,Карагандинская,Город,,0.57
2010,на 100 000 населения,Костанайская,Город,,0.0
2010,на 100 000 населения,Кызылординская,Город,,1.02
2010,на 100 000 населения,Мангистауская,Город,,0.73
2010,на 100 000 населения,Южно-Казахстанская,Город,,2.5
2010,на 100 000 населения,Павлодарская,Город,,0.39
2010,на 100 000 населения,Северо-Казахстанская,Город,,0.0
2010,на 100 000 населения,Восточно-Казахстанская,Город,,0.74
2010,на 100 000 населения,г_Нур-Султан,Город,,0.45
2010,на 100 000 населения,г_Алматы,Город,,0.21
2010,на 100 000 населения,,сельское население,,0.96
2010,на 100 000 населения,Акмолинская,сельское население,,0.26
2010,на 100 000 населения,Актюбинская,сельское население,,0.33
2010,на 100 000 населения,Алматинская,сельское население,,1.2
2010,на 100 000 населения,Атырауская,сельское население,,0.0
2010,на 100 000 населения,Западно-Казахстанская,сельское население,,0.31
2010,на 100 000 населения,Жымбылская,сельское население,,0.48
2010,на 100 000 населения,Карагандинская,сельское население,,1.01
2010,на 100 000 населения,Костанайская,сельское население,,0.45
2010,на 100 000 населения,Кызылординская,сельское население,,3.49
2010,на 100 000 населения,Мангистауская,сельское население,,0.0
2010,на 100 000 населения,Южно-Казахстанская,сельское население,,1.62
2010,на 100 000 населения,Павлодарская,сельское население,,0.43
2010,на 100 000 населения,Северо-Казахстанская,сельское население,,0.28
2010,на 100 000 населения,Восточно-Казахстанская,сельское население,,0.34
2010,на 100 000 населения,,,мужчины,0.92
2010,на 100 000 населения,Акмолинская,,мужчины,0.28
2010,на 100 000 населения,Актюбинская,,мужчины,0.54
2010,на 100 000 населения,Алматинская,,мужчины,0.88
2010,на 100 000 населения,Атырауская,,мужчины,0.0
2010,на 100 000 населения,Западно-Казахстанская,,мужчины,0.0
2010,на 100 000 населения,Жымбылская,,мужчины,0.59
2010,на 100 000 населения,Карагандинская,,мужчины,1.1
2010,на 100 000 населения,Костанайская,,мужчины,0.24
2010,на 100 000 населения,Кызылординская,,мужчины,2.31
2010,на 100 000 населения,Мангистауская,,мужчины,0.39
2010,на 100 000 населения,Южно-Казахстанская,,мужчины,2.23
2010,на 100 000 населения,Павлодарская,,мужчины,0.57
2010,на 100 000 населения,Северо-Казахстанская,,мужчины,0.36
2010,на 100 000 населения,Восточно-Казахстанская,,мужчины,1.05
2010,на 100 000 населения,г_Нур-Султан,,мужчины,0.31
2010,на 100 000 населения,г_Алматы,,мужчины,0.31
2010,на 100 000 населения,,Город,мужчины,0.86
2010,на 100 000 населения,Акмолинская,Город,мужчины,0.0
2010,на 100 000 населения,Актюбинская,Город,мужчины,0.45
2010,на 100 000 населения,Алматинская,Город,мужчины,0.0
2010,на 100 000 населения,Атырауская,Город,мужчины,0.0
2010,на 100 000 населения,Западно-Казахстанская,Город,мужчины,0.0
2010,на 100 000 населения,Жымбылская,Город,мужчины,0.5
2010,на 100 000 населения,Карагандинская,Город,мужчины,1.23
2010,на 100 000 населения,Костанайская,Город,мужчины,0.0
2010,на 100 000 населения,Кызылординская,Город,мужчины,2.11
2010,на 100 000 населения,Мангистауская,Город,мужчины,0.76
2010,на 100 000 населения,Южно-Казахстанская,Город,мужчины,3.13
2010,на 100 000 населения,Павлодарская,Город,мужчины,0.43
2010,на 100 000 населения,Северо-Казахстанская,Город,мужчины,0.0
2010,на 100 000 населения,Восточно-Казахстанская,Город,мужчины,1.35
2010,на 100 000 населения,г_Нур-Султан,Город,мужчины,0.31
2010,на 100 000 населения,г_Алматы,Город,мужчины,0.31
2010,на 100 000 населения,,сельское население,мужчины,0.97
2010,на 100 000 населения,Акмолинская,сельское население,мужчины,0.52
2010,на 100 000 населения,Актюбинская,сельское население,мужчины,0.67
2010,на 100 000 населения,Алматинская,сельское население,мужчины,1.14
2010,на 100 000 населения,Атырауская,сельское население,мужчины,0.0
2010,на 100 000 населения,Западно-Казахстанская,сельское население,мужчины,0.0
2010,на 100 000 населения,Жымбылская,сельское население,мужчины,0.65
2010,на 100 000 населения,Карагандинская,сельское население,мужчины,0.67
2010,на 100 000 населения,Костанайская,сельское население,мужчины,0.47
2010,на 100 000 населения,Кызылординская,сельское население,мужчины,2.45
2010,на 100 000 населения,Мангистауская,сельское население,мужчины,0.0
2010,на 100 000 населения,Южно-Казахстанская,сельское население,мужчины,1.68
2010,на 100 000 населения,Павлодарская,сельское население,мужчины,0.86
2010,на 100 000 населения,Северо-Казахстанская,сельское население,мужчины,0.58
2010,на 100 000 населения,Восточно-Казахстанская,сельское население,мужчины,0.68
2010,на 100 000 населения,,,женщины,0.65
2010,на 100 000 населения,Акмолинская,,женщины,0.0
2010,на 100 000 населения,Актюбинская,,женщины,0.25
2010,на 100 000 населения,Алматинская,,женщины,1.06
2010,на 100 000 населения,Атырауская,,женщины,0.37
2010,на 100 000 населения,Западно-Казахстанская,,женщины,0.32
2010,на 100 000 населения,Жымбылская,,женщины,0.37
2010,на 100 000 населения,Карагандинская,,женщины,0.28
2010,на 100 000 населения,Костанайская,,женщины,0.21
2010,на 100 000 населения,Кызылординская,,женщины,2.58
2010,на 100 000 населения,Мангистауская,,женщины,0.39
2010,на 100 000 населения,Южно-Казахстанская,,женщины,1.71
2010,на 100 000 населения,Павлодарская,,женщины,0.25
2010,на 100 000 населения,Северо-Казахстанская,,женщины,0.0
2010,на 100 000 населения,Восточно-Казахстанская,,женщины,0.14
2010,на 100 000 населения,г_Нур-Султан,,женщины,0.58
2010,на 100 000 населения,г_Алматы,,женщины,0.13
2010,на 100 000 населения,,Город,женщины,0.42
2010,на 100 000 населения,Акмолинская,Город,женщины,0.0
2010,на 100 000 населения,Актюбинская,Город,женщины,0.4
2010,на 100 000 населения,Алматинская,Город,женщины,0.44
2010,на 100 000 населения,Атырауская,Город,женщины,0.76
2010,на 100 000 населения,Западно-Казахстанская,Город,женщины,0.0
2010,на 100 000 населения,Жымбылская,Город,женщины,0.45
2010,на 100 000 населения,Карагандинская,Город,женщины,0.0
2010,на 100 000 населения,Костанайская,Город,женщины,0.0
2010,на 100 000 населения,Кызылординская,Город,женщины,0.0
2010,на 100 000 населения,Мангистауская,Город,женщины,0.71
2010,на 100 000 населения,Южно-Казахстанская,Город,женщины,1.93
2010,на 100 000 населения,Павлодарская,Город,женщины,0.36
2010,на 100 000 населения,Северо-Казахстанская,Город,женщины,0.0
2010,на 100 000 населения,Восточно-Казахстанская,Город,женщины,0.23
2010,на 100 000 населения,г_Нур-Султан,Город,женщины,0.58
2010,на 100 000 населения,г_Алматы,Город,женщины,0.13
2010,на 100 000 населения,,сельское население,женщины,0.94
2010,на 100 000 населения,Акмолинская,сельское население,женщины,0.0
2010,на 100 000 населения,Актюбинская,сельское население,женщины,0.0
2010,на 100 000 населения,Алматинская,сельское население,женщины,1.26
2010,на 100 000 населения,Атырауская,сельское население,женщины,0.0
2010,на 100 000 населения,Западно-Казахстанская,сельское население,женщины,0.63
2010,на 100 000 населения,Жымбылская,сельское население,женщины,0.32
2010,на 100 000 населения,Карагандинская,сельское население,женщины,1.35
2010,на 100 000 населения,Костанайская,сельское население,женщины,0.44
2010,на 100 000 населения,Кызылординская,сельское население,женщины,4.55
2010,на 100 000 населения,Мангистауская,сельское население,женщины,0.0
2010,на 100 000 населения,Южно-Казахстанская,сельское население,женщины,1.57
2010,на 100 000 населения,Павлодарская,сельское население,женщины,0.0
2010,на 100 000 населения,Северо-Казахстанская,сельское население,женщины,0.0
2010,на 100 000 населения,Восточно-Казахстанская,сельское население,женщины,0.0
2011,на 100 000 населения,,,,1.08
2011,на 100 000 населения,Акмолинская,,,0.27
2011,на 100 000 населения,Актюбинская,,,0.38
2011,на 100 000 населения,Алматинская,,,2.49
2011,на 100 000 населения,Атырауская,,,0.37
2011,на 100 000 населения,Западно-Казахстанская,,,0.16
2011,на 100 000 населения,Жымбылская,,,1.43
2011,на 100 000 населения,Карагандинская,,,0.89
2011,на 100 000 населения,Костанайская,,,0.0
2011,на 100 000 населения,Кызылординская,,,1.84
2011,на 100 000 населения,Мангистауская,,,0.75
2011,на 100 000 населения,Южно-Казахстанская,,,1.31
2011,на 100 000 населения,Павлодарская,,,0.27
2011,на 100 000 населения,Северо-Казахстанская,,,0.34
2011,на 100 000 населения,Восточно-Казахстанская,,,2.72
2011,на 100 000 населения,г_Нур-Султан,,,0.14
2011,на 100 000 населения,г_Алматы,,,0.14
2011,на 100 000 населения,,Город,,1.07
2011,на 100 000 населения,Акмолинская,Город,,0.29
2011,на 100 000 населения,Актюбинская,Город,,0.62
2011,на 100 000 населения,Алматинская,Город,,5.21
2011,на 100 000 населения,Атырауская,Город,,0.39
2011,на 100 000 населения,Западно-Казахстанская,Город,,0.0
2011,на 100 000 населения,Жымбылская,Город,,1.66
2011,на 100 000 населения,Карагандинская,Город,,0.57
2011,на 100 000 населения,Костанайская,Город,,0.0
2011,на 100 000 населения,Кызылординская,Город,,1.0
2011,на 100 000 населения,Мангистауская,Город,,0.36
2011,на 100 000 населения,Южно-Казахстанская,Город,,2.66
2011,на 100 000 населения,Павлодарская,Город,,0.39
2011,на 100 000 населения,Северо-Казахстанская,Город,,0.0
2011,на 100 000 населения,Восточно-Казахстанская,Город,,2.47
2011,на 100 000 населения,г_Нур-Султан,Город,,0.14
2011,на 100 000 населения,г_Алматы,Город,,0.14
2011,на 100 000 населения,,сельское население,,1.08
2011,на 100 000 населения,Акмолинская,сельское население,,0.26
2011,на 100 000 населения,Актюбинская,сельское население,,0.0
2011,на 100 000 населения,Алматинская,сельское население,,1.66
2011,на 100 000 населения,Атырауская,сельское население,,0.36
2011,на 100 000 населения,Западно-Казахстанская,сельское население,,0.32
2011,на 100 000 населения,Жымбылская,сельское население,,1.27
2011,на 100 000 населения,Карагандинская,сельское население,,2.03
2011,на 100 000 населения,Костанайская,сельское население,,0.0
2011,на 100 000 населения,Кызылординская,сельское население,,2.45
2011,на 100 000 населения,Мангистауская,сельское население,,1.17
2011,на 100 000 населения,Южно-Казахстанская,сельское население,,0.44
2011,на 100 000 населения,Павлодарская,сельское население,,0.0
2011,на 100 000 населения,Северо-Казахстанская,сельское население,,0.57
2011,на 100 000 населения,Восточно-Казахстанская,сельское население,,3.07
2011,на 100 000 населения,,,мужчины,1.05
2011,на 100 000 населения,Акмолинская,,мужчины,0.57
2011,на 100 000 населения,Актюбинская,,мужчины,0.53
2011,на 100 000 населения,Алматинская,,мужчины,2.26
2011,на 100 000 населения,Атырауская,,мужчины,0.38
2011,на 100 000 населения,Западно-Казахстанская,,мужчины,0.0
2011,на 100 000 населения,Жымбылская,,мужчины,1.36
2011,на 100 000 населения,Карагандинская,,мужчины,0.63
2011,на 100 000 населения,Костанайская,,мужчины,0.0
2011,на 100 000 населения,Кызылординская,,мужчины,2.27
2011,на 100 000 населения,Мангистауская,,мужчины,1.13
2011,на 100 000 населения,Южно-Казахстанская,,мужчины,1.79
2011,на 100 000 населения,Павлодарская,,мужчины,0.28
2011,на 100 000 населения,Северо-Казахстанская,,мужчины,0.36
2011,на 100 000 населения,Восточно-Казахстанская,,мужчины,1.51
2011,на 100 000 населения,г_Нур-Султан,,мужчины,0.0
2011,на 100 000 населения,г_Алматы,,мужчины,0.15
2011,на 100 000 населения,,Город,мужчины,1.13
2011,на 100 000 населения,Акмолинская,Город,мужчины,0.63
2011,на 100 000 населения,Актюбинская,Город,мужчины,0.88
2011,на 100 000 населения,Алматинская,Город,мужчины,4.77
2011,на 100 000 населения,Атырауская,Город,мужчины,0.0
2011,на 100 000 населения,Западно-Казахстанская,Город,мужчины,0.0
2011,на 100 000 населения,Жымбылская,Город,мужчины,2.01
2011,на 100 000 населения,Карагандинская,Город,мужчины,0.41
2011,на 100 000 населения,Костанайская,Город,мужчины,0.0
2011,на 100 000 населения,Кызылординская,Город,мужчины,0.69
2011,на 100 000 населения,Мангистауская,Город,мужчины,0.0
2011,на 100 000 населения,Южно-Казахстанская,Город,мужчины,3.88
2011,на 100 000 населения,Павлодарская,Город,мужчины,0.42
2011,на 100 000 населения,Северо-Казахстанская,Город,мужчины,0.0
2011,на 100 000 населения,Восточно-Казахстанская,Город,мужчины,1.88
2011,на 100 000 населения,г_Нур-Султан,Город,мужчины,0.0
2011,на 100 000 населения,г_Алматы,Город,мужчины,0.15
2011,на 100 000 населения,,сельское население,мужчины,0.96
2011,на 100 000 населения,Акмолинская,сельское население,мужчины,0.52
2011,на 100 000 населения,Актюбинская,сельское население,мужчины,0.0
2011,на 100 000 населения,Алматинская,сельское население,мужчины,1.53
2011,на 100 000 населения,Атырауская,сельское население,мужчины,0.71
2011,на 100 000 населения,Западно-Казахстанская,сельское население,мужчины,0.0
2011,на 100 000 населения,Жымбылская,сельское население,мужчины,0.95
2011,на 100 000 населения,Карагандинская,сельское население,мужчины,1.35
2011,на 100 000 населения,Костанайская,сельское население,мужчины,0.0
2011,на 100 000 населения,Кызылординская,сельское население,мужчины,3.38
2011,на 100 000 населения,Мангистауская,сельское население,мужчины,2.31
2011,на 100 000 населения,Южно-Казахстанская,сельское население,мужчины,0.5
2011,на 100 000 населения,Павлодарская,сельское население,мужчины,0.0
2011,на 100 000 населения,Северо-Казахстанская,сельское население,мужчины,0.58
2011,на 100 000 населения,Восточно-Казахстанская,сельское население,мужчины,1.03
2011,на 100 000 населения,,,женщины,1.1
2011,на 100 000 населения,Акмолинская,,женщины,0.0
2011,на 100 000 населения,Актюбинская,,женщины,0.25
2011,на 100 000 населения,Алматинская,,женщины,2.7
2011,на 100 000 населения,Атырауская,,женщины,0.36
2011,на 100 000 населения,Западно-Казахстанская,,женщины,0.32
2011,на 100 000 населения,Жымбылская,,женщины,1.49
2011,на 100 000 населения,Карагандинская,,женщины,1.12
2011,на 100 000 населения,Костанайская,,женщины,0.0
2011,на 100 000 населения,Кызылординская,,женщины,1.41
2011,на 100 000 населения,Мангистауская,,женщины,0.37
2011,на 100 000 населения,Южно-Казахстанская,,женщины,0.84
2011,на 100 000 населения,Павлодарская,,женщины,0.25
2011,на 100 000 населения,Северо-Казахстанская,,женщины,0.33
2011,на 100 000 населения,Восточно-Казахстанская,,женщины,3.82
2011,на 100 000 населения,г_Нур-Султан,,женщины,0.27
2011,на 100 000 населения,г_Алматы,,женщины,0.13
2011,на 100 000 населения,,Город,женщины,1.02
2011,на 100 000 населения,Акмолинская,Город,женщины,0.0
2011,на 100 000 населения,Актюбинская,Город,женщины,0.39
2011,на 100 000 населения,Алматинская,Город,женщины,5.61
2011,на 100 000 населения,Атырауская,Город,женщины,0.74
2011,на 100 000 населения,Западно-Казахстанская,Город,женщины,0.0
2011,на 100 000 населения,Жымбылская,Город,женщины,1.34
2011,на 100 000 населения,Карагандинская,Город,женщины,0.7
2011,на 100 000 населения,Костанайская,Город,женщины,0.0
2011,на 100 000 населения,Кызылординская,Город,женщины,1.3
2011,на 100 000 населения,Мангистауская,Город,женщины,0.7
2011,на 100 000 населения,Южно-Казахстанская,Город,женщины,1.52
2011,на 100 000 населения,Павлодарская,Город,женщины,0.36
2011,на 100 000 населения,Северо-Казахстанская,Город,женщины,0.0
2011,на 100 000 населения,Восточно-Казахстанская,Город,женщины,2.97
2011,на 100 000 населения,г_Нур-Султан,Город,женщины,0.27
2011,на 100 000 населения,г_Алматы,Город,женщины,0.13
2011,на 100 000 населения,,сельское население,женщины,1.2
2011,на 100 000 населения,Акмолинская,сельское население,женщины,0.0
2011,на 100 000 населения,Актюбинская,сельское население,женщины,0.0
2011,на 100 000 населения,Алматинская,сельское население,женщины,1.78
2011,на 100 000 населения,Атырауская,сельское население,женщины,0.0
2011,на 100 000 населения,Западно-Казахстанская,сельское население,женщины,0.63
2011,на 100 000 населения,Жымбылская,сельское население,женщины,1.59
2011,на 100 000 населения,Карагандинская,сельское население,женщины,2.72
2011,на 100 000 населения,Костанайская,сельское население,женщины,0.0
2011,на 100 000 населения,Кызылординская,сельское население,женщины,1.49
2011,на 100 000 населения,Мангистауская,сельское население,женщины,0.0
2011,на 100 000 населения,Южно-Казахстанская,сельское население,женщины,0.38
2011,на 100 000 населения,Павлодарская,сельское население,женщины,0.0
2011,на 100 000 населения,Северо-Казахстанская,сельское население,женщины,0.57
2011,на 100 000 населения,Восточно-Казахстанская,сельское население,женщины,5.08
2012,на 100 000 населения,,,,0.58
2012,на 100 000 населения,Акмолинская,,,0.55
2012,на 100 000 населения,Актюбинская,,,0.13
2012,на 100 000 населения,Алматинская,,,0.21
2012,на 100 000 населения,Атырауская,,,0.91
2012,на 100 000 населения,Западно-Казахстанская,,,0.65
2012,на 100 000 населения,Жымбылская,,,0.66
2012,на 100 000 населения,Карагандинская,,,1.4
2012,на 100 000 населения,Костанайская,,,0.34
2012,на 100 000 населения,Кызылординская,,,0.28
2012,на 100 000 населения,Мангистауская,,,0.54
2012,на 100 000 населения,Южно-Казахстанская,,,1.13
2012,на 100 000 населения,Павлодарская,,,0.13
2012,на 100 000 населения,Северо-Казахстанская,,,0.0
2012,на 100 000 населения,Восточно-Казахстанская,,,0.57
2012,на 100 000 населения,г_Нур-Султан,,,0.26
2012,на 100 000 населения,г_Алматы,,,0.27
2012,на 100 000 населения,,Город,,0.52
2012,на 100 000 населения,Акмолинская,Город,,0.29
2012,на 100 000 населения,Актюбинская,Город,,0.0
2012,на 100 000 населения,Алматинская,Город,,0.0
2012,на 100 000 населения,Атырауская,Город,,1.51
2012,на 100 000 населения,Западно-Казахстанская,Город,,0.0
2012,на 100 000 населения,Жымбылская,Город,,0.47
2012,на 100 000 населения,Карагандинская,Город,,0.75
2012,на 100 000 населения,Костанайская,Город,,0.22
2012,на 100 000 населения,Кызылординская,Город,,0.33
2012,на 100 000 населения,Мангистауская,Город,,0.35
2012,на 100 000 населения,Южно-Казахстанская,Город,,1.93
2012,на 100 000 населения,Павлодарская,Город,,0.19
2012,на 100 000 населения,Северо-Казахстанская,Город,,0.0
2012,на 100 000 населения,Восточно-Казахстанская,Город,,0.37
2012,на 100 000 населения,г_Нур-Султан,Город,,0.26
2012,на 100 000 населения,г_Алматы,Город,,0.27
2012,на 100 000 населения,,сельское население,,0.65
2012,на 100 000 населения,Акмолинская,сельское население,,0.77
2012,на 100 000 населения,Актюбинская,сельское население,,0.33
2012,на 100 000 населения,Алматинская,сельское население,,0.27
2012,на 100 000 населения,Атырауская,сельское население,,0.35
2012,на 100 000 населения,Западно-Казахстанская,сельское население,,1.27
2012,на 100 000 населения,Жымбылская,сельское население,,0.78
2012,на 100 000 населения,Карагандинская,сельское население,,3.73
2012,на 100 000 населения,Костанайская,сельское население,,0.46
2012,на 100 000 населения,Кызылординская,сельское население,,0.24
2012,на 100 000 населения,Мангистауская,сельское население,,0.74
2012,на 100 000 населения,Южно-Казахстанская,сельское население,,0.62
2012,на 100 000 населения,Павлодарская,сельское население,,0.0
2012,на 100 000 населения,Северо-Казахстанская,сельское население,,0.0
2012,на 100 000 населения,Восточно-Казахстанская,сельское население,,0.86
2012,на 100 000 населения,,,мужчины,0.59
2012,на 100 000 населения,Акмолинская,,мужчины,0.57
2012,на 100 000 населения,Актюбинская,,мужчины,0.26
2012,на 100 000 населения,Алматинская,,мужчины,0.11
2012,на 100 000 населения,Атырауская,,мужчины,0.0
2012,на 100 000 населения,Западно-Казахстанская,,мужчины,1.35
2012,на 100 000 населения,Жымбылская,,мужчины,0.58
2012,на 100 000 населения,Карагандинская,,мужчины,1.25
2012,на 100 000 населения,Костанайская,,мужчины,0.0
2012,на 100 000 населения,Кызылординская,,мужчины,0.28
2012,на 100 000 населения,Мангистауская,,мужчины,0.72
2012,на 100 000 населения,Южно-Казахстанская,,мужчины,1.22
2012,на 100 000 населения,Павлодарская,,мужчины,0.0
2012,на 100 000 населения,Северо-Казахстанская,,мужчины,0.0
2012,на 100 000 населения,Восточно-Казахстанская,,мужчины,0.75
2012,на 100 000 населения,г_Нур-Султан,,мужчины,0.54
2012,на 100 000 населения,г_Алматы,,мужчины,0.45
