Year,UNIT_MEASURE,SERIES,Value
2010,процент,,98.1
2010,процент,Охват АКДС (3 дозы),98.9
2010,процент,Охват вакциной против кори (2 дозы),99.6
2011,процент,,97.1
2011,процент,Охват АКДС (3 дозы),98.6
2011,процент,Охват вакциной против кори (2 дозы),100.0
2012,процент,,97.2
2012,процент,Охват АКДС (3 дозы),98.1
2012,процент,Охват вакциной против кори (2 дозы),97.0
2012,процент,Охват Пневмококковой конъюгированной вакциной (3 дозы),38.5
2013,процент,,97.9
2013,процент,Охват АКДС (3 дозы),98.1
2013,процент,Охват вакциной против кори (2 дозы),99.3
2013,процент,Охват Пневмококковой конъюгированной вакциной (3 дозы),51.8
2014,процент,,98.4
2014,процент,Охват АКДС (3 дозы),98.5
2014,процент,Охват вакциной против кори (2 дозы),99.2
2014,процент,Охват Пневмококковой конъюгированной вакциной (3 дозы),58.5
2015,процент,,98.2
2015,процент,Охват АКДС (3 дозы),97.9
2015,процент,Охват вакциной против кори (2 дозы),98.4
2015,процент,Охват Пневмококковой конъюгированной вакциной (3 дозы),73.7
2016,процент,,95.0
2016,процент,Охват АКДС (3 дозы),82.5
2016,процент,Охват вакциной против кори (2 дозы),99.3
2016,процент,Охват Пневмококковой конъюгированной вакциной (3 дозы),97.3
2017,процент,,96.9
2017,процент,Охват АКДС (3 дозы),100.0
2017,процент,Охват вакциной против кори (2 дозы),98.7
2017,процент,Охват Пневмококковой конъюгированной вакциной (3 дозы),98.3
2018,процент,,97.8
2018,процент,Охват АКДС (3 дозы),98.3
2018,процент,Охват вакциной против кори (2 дозы),98.4
2018,процент,Охват Пневмококковой конъюгированной вакциной (3 дозы),95.5
2019,процент,,96.7
2019,процент,Охват АКДС (3 дозы),97.4
2019,процент,Охват вакциной против кори (2 дозы),97.8
2019,процент,Охват Пневмококковой конъюгированной вакциной (3 дозы),89.4
