Year,UNIT_MEASURE,SERIES,Пол,Регионы,Value
2015,процент,i) грамотности в разбивке по полу,,,58.7
2015,процент,i) грамотности в разбивке по полу,мужчины,,54.7
2015,процент,i) грамотности в разбивке по полу,женщины,,63.0
2015,процент,i) грамотности в разбивке по полу,мужчины,Акмолинская,57.0
2015,процент,i) грамотности в разбивке по полу,женщины,Акмолинская,60.0
2015,процент,i) грамотности в разбивке по полу,мужчины,Актюбинская,39.0
2015,процент,i) грамотности в разбивке по полу,женщины,Актюбинская,62.0
2015,процент,i) грамотности в разбивке по полу,мужчины,Алматинская,51.0
2015,процент,i) грамотности в разбивке по полу,женщины,Алматинская,58.0
2015,процент,i) грамотности в разбивке по полу,мужчины,Атырауская,33.0
2015,процент,i) грамотности в разбивке по полу,женщины,Атырауская,51.0
2015,процент,i) грамотности в разбивке по полу,мужчины,Западно-Казахстанская,59.0
2015,процент,i) грамотности в разбивке по полу,женщины,Западно-Казахстанская,66.0
2015,процент,i) грамотности в разбивке по полу,мужчины,Жымбылская,58.0
2015,процент,i) грамотности в разбивке по полу,женщины,Жымбылская,63.0
2015,процент,i) грамотности в разбивке по полу,мужчины,Карагандинская,71.0
2015,процент,i) грамотности в разбивке по полу,женщины,Карагандинская,74.0
2015,процент,i) грамотности в разбивке по полу,мужчины,Костанайская,57.0
2015,процент,i) грамотности в разбивке по полу,женщины,Костанайская,63.0
2015,процент,i) грамотности в разбивке по полу,мужчины,Кызылординская,59.0
2015,процент,i) грамотности в разбивке по полу,женщины,Кызылординская,65.0
2015,процент,i) грамотности в разбивке по полу,мужчины,Мангистауская,45.0
2015,процент,i) грамотности в разбивке по полу,женщины,Мангистауская,45.0
2015,процент,i) грамотности в разбивке по полу,мужчины,Южно-Казахстанская,42.0
2015,процент,i) грамотности в разбивке по полу,женщины,Южно-Казахстанская,48.0
2015,процент,i) грамотности в разбивке по полу,мужчины,Павлодарская,70.0
2015,процент,i) грамотности в разбивке по полу,женщины,Павлодарская,79.0
