Year,UNIT_MEASURE,Пол,Регионы,Value
2015,процент,,,99.81213409838932
2015,процент,мужчины,,100.0
2015,процент,женщины,,95.54547647768396
2015,процент,,Акмолинская,100.0
2015,процент,,Актюбинская,100.0
2015,процент,,Алматинская,97.8
2015,процент,,Атырауская,100.0
2015,процент,,Западно-Казахстанская,100.0
2015,процент,,Жымбылская,100.0
2015,процент,,Карагандинская,100.0
2015,процент,,Костанайская,100.0
2015,процент,,Кызылординская,100.0
2015,процент,,Мангистауская,100.0
2015,процент,,Южно-Казахстанская,99.5
2015,процент,,Павлодарская,100.0
2015,процент,,Северо-Казахстанская,100.0
2015,процент,,Восточно-Казахстанская,100.0
2015,процент,,г_Нур-Султан,99.7
2015,процент,,г_Алматы,99.8
2015,процент,мужчины,Акмолинская,100.0
2015,процент,женщины,Акмолинская,100.0
2015,процент,мужчины,Актюбинская,100.0
2015,процент,женщины,Актюбинская,100.0
2015,процент,мужчины,Алматинская,97.94669047315394
2015,процент,женщины,Алматинская,97.69844146429864
2015,процент,мужчины,Атырауская,100.0
2015,процент,женщины,Атырауская,100.0
2015,процент,мужчины,Западно-Казахстанская,100.0
2015,процент,женщины,Западно-Казахстанская,100.0
2015,процент,мужчины,Жымбылская,100.0
2015,процент,женщины,Жымбылская,100.0
2015,процент,мужчины,Карагандинская,100.0
2015,процент,женщины,Карагандинская,100.0
2015,процент,мужчины,Костанайская,100.0
2015,процент,женщины,Костанайская,100.0
2015,процент,мужчины,Кызылординская,100.0
2015,процент,женщины,Кызылординская,100.0
2015,процент,мужчины,Мангистауская,100.0
2015,процент,женщины,Мангистауская,100.0
2015,процент,мужчины,Южно-Казахстанская,99.03708400854882
2015,процент,женщины,Южно-Казахстанская,100.0
2015,процент,мужчины,Павлодарская,100.0
2015,процент,женщины,Павлодарская,100.0
2015,процент,мужчины,Северо-Казахстанская,100.0
2015,процент,женщины,Северо-Казахстанская,100.0
2015,процент,мужчины,Восточно-Казахстанская,100.0
2015,процент,женщины,Восточно-Казахстанская,100.0
2015,процент,мужчины,г_Нур-Султан,100.0
2015,процент,женщины,г_Нур-Султан,82.83477036776351
2015,процент,мужчины,г_Алматы,100.0
2015,процент,женщины,г_Алматы,93.84175167952226
2016,процент,,,95.85777639042873
2016,процент,мужчины,,98.77800407331976
2016,процент,женщины,,92.88182559087204
2016,процент,,Акмолинская,100.0
2016,процент,,Актюбинская,100.0
2016,процент,,Алматинская,100.0
2016,процент,,Атырауская,100.0
2016,процент,,Западно-Казахстанская,100.0
2016,процент,,Жымбылская,100.0
2016,процент,,Карагандинская,96.8
2016,процент,,Костанайская,100.0
2016,процент,,Кызылординская,100.0
2016,процент,,Мангистауская,100.0
2016,процент,,Южно-Казахстанская,88.1
2016,процент,,Павлодарская,100.0
2016,процент,,Северо-Казахстанская,100.0
2016,процент,,Восточно-Казахстанская,100.0
2016,процент,,г_Нур-Султан,84.9
2016,процент,,г_Алматы,89.5
2016,процент,мужчины,Акмолинская,100.0
2016,процент,женщины,Акмолинская,100.0
2016,процент,мужчины,Актюбинская,100.0
2016,процент,женщины,Актюбинская,100.0
2016,процент,мужчины,Алматинская,100.0
2016,процент,женщины,Алматинская,100.0
2016,процент,мужчины,Атырауская,100.0
2016,процент,женщины,Атырауская,100.0
2016,процент,мужчины,Западно-Казахстанская,100.0
2016,процент,женщины,Западно-Казахстанская,100.0
2016,процент,мужчины,Жымбылская,100.0
2016,процент,женщины,Жымбылская,100.0
2016,процент,мужчины,Карагандинская,97.24794020215748
2016,процент,женщины,Карагандинская,96.27645560727144
2016,процент,мужчины,Костанайская,100.0
2016,процент,женщины,Костанайская,100.0
2016,процент,мужчины,Кызылординская,100.0
2016,процент,женщины,Кызылординская,100.0
2016,процент,мужчины,Мангистауская,100.0
2016,процент,женщины,Мангистауская,100.0
2016,процент,мужчины,Южно-Казахстанская,85.98361780991168
2016,процент,женщины,Южно-Казахстанская,90.45462462985545
2016,процент,мужчины,Павлодарская,100.0
2016,процент,женщины,Павлодарская,100.0
2016,процент,мужчины,Северо-Казахстанская,100.0
2016,процент,женщины,Северо-Казахстанская,100.0
2016,процент,мужчины,Восточно-Казахстанская,100.0
2016,процент,женщины,Восточно-Казахстанская,100.0
2016,процент,мужчины,г_Нур-Султан,92.793014389374
2016,процент,женщины,г_Нур-Султан,77.94717629375134
2016,процент,мужчины,г_Алматы,97.80531260123097
2016,процент,женщины,г_Алматы,81.96733372572102
2017,процент,,,99.19755003760682
2017,процент,мужчины,,99.77661051741832
2017,процент,женщины,,98.59434698979564
2017,процент,,Акмолинская,100.0
2017,процент,,Актюбинская,100.0
2017,процент,,Алматинская,100.0
2017,процент,,Атырауская,100.0
2017,процент,,Западно-Казахстанская,100.0
2017,процент,,Жымбылская,100.0
2017,процент,,Карагандинская,100.0
2017,процент,,Костанайская,100.0
2017,процент,,Кызылординская,100.0
2017,процент,,Мангистауская,100.0
2017,процент,,Южно-Казахстанская,100.0
2017,процент,,Павлодарская,100.0
2017,процент,,Северо-Казахстанская,96.1
2017,процент,,Восточно-Казахстанская,100.0
2017,процент,,г_Нур-Султан,89.3
2017,процент,,г_Алматы,95.4
2017,процент,мужчины,Акмолинская,100.0
