Year,UNIT_MEASURE,Местность,Пол,Регионы,Value
2010,процент,,,,30.9
2011,процент,,,,33.8
2012,процент,,,,37.6
2013,процент,,,,37.6
2014,процент,,,,41.6
2015,процент,,,,43.4
2016,процент,,,,42.9
2017,процент,,,,44.5
2018,процент,,,,44.8
2010,процент,,,Акмолинская,27.1
2011,процент,,,Акмолинская,24.2
2012,процент,,,Акмолинская,24.0
2013,процент,,,Акмолинская,26.6
2014,процент,,,Акмолинская,33.8
2015,процент,,,Акмолинская,32.1
2016,процент,,,Акмолинская,36.2
2017,процент,,,Акмолинская,34.1
2018,процент,,,Акмолинская,38.7
2010,процент,,,Актюбинская,30.3
2011,процент,,,Актюбинская,40.8
2012,процент,,,Актюбинская,38.3
2013,процент,,,Актюбинская,47.4
2014,процент,,,Актюбинская,34.2
2015,процент,,,Актюбинская,35.8
2016,процент,,,Актюбинская,37.5
2017,процент,,,Актюбинская,44.3
2018,процент,,,Актюбинская,36.4
2010,процент,,,Алматинская,28.2
2011,процент,,,Алматинская,27.0
2012,процент,,,Алматинская,26.7
2013,процент,,,Алматинская,25.4
2014,процент,,,Алматинская,28.9
2015,процент,,,Алматинская,29.9
2016,процент,,,Алматинская,29.6
2017,процент,,,Алматинская,35.3
2018,процент,,,Алматинская,34.9
2010,процент,,,Атырауская,24.5
2011,процент,,,Атырауская,29.2
2012,процент,,,Атырауская,44.7
2013,процент,,,Атырауская,41.1
2014,процент,,,Атырауская,47.2
2015,процент,,,Атырауская,36.9
2016,процент,,,Атырауская,48.6
2017,процент,,,Атырауская,41.4
2018,процент,,,Атырауская,52.8
2010,процент,,,Западно-Казахстанская,33.3
2011,процент,,,Западно-Казахстанская,33.2
2012,процент,,,Западно-Казахстанская,33.0
2013,процент,,,Западно-Казахстанская,33.8
2014,процент,,,Западно-Казахстанская,40.6
2015,процент,,,Западно-Казахстанская,38.1
2016,процент,,,Западно-Казахстанская,35.9
2017,процент,,,Западно-Казахстанская,34.4
2018,процент,,,Западно-Казахстанская,33.8
2010,процент,,,Жымбылская,17.9
2011,процент,,,Жымбылская,23.0
2012,процент,,,Жымбылская,28.8
2013,процент,,,Жымбылская,23.0
2014,процент,,,Жымбылская,30.0
2015,процент,,,Жымбылская,32.1
2016,процент,,,Жымбылская,29.5
2017,процент,,,Жымбылская,35.4
2018,процент,,,Жымбылская,36.1
2010,процент,,,Карагандинская,32.2
2011,процент,,,Карагандинская,35.2
2012,процент,,,Карагандинская,40.3
2013,процент,,,Карагандинская,39.7
2014,процент,,,Карагандинская,40.2
2015,процент,,,Карагандинская,43.0
2016,процент,,,Карагандинская,41.1
2017,процент,,,Карагандинская,41.1
2018,процент,,,Карагандинская,40.9
2010,процент,,,Костанайская,32.6
2011,процент,,,Костанайская,26.6
2012,процент,,,Костанайская,29.1
2013,процент,,,Костанайская,28.2
2014,процент,,,Костанайская,37.7
2015,процент,,,Костанайская,33.1
2016,процент,,,Костанайская,35.2
2017,процент,,,Костанайская,36.6
2018,процент,,,Костанайская,32.5
2010,процент,,,Кызылординская,32.0
2011,процент,,,Кызылординская,36.0
2012,процент,,,Кызылординская,37.4
2013,процент,,,Кызылординская,35.7
2014,процент,,,Кызылординская,34.2
2015,процент,,,Кызылординская,38.0
2016,процент,,,Кызылординская,40.6
2017,процент,,,Кызылординская,39.4
2018,процент,,,Кызылординская,37.8
2010,процент,,,Мангистауская,24.4
2011,процент,,,Мангистауская,33.3
2012,процент,,,Мангистауская,42.3
2013,процент,,,Мангистауская,31.6
2014,процент,,,Мангистауская,42.7
2015,процент,,,Мангистауская,31.0
2016,процент,,,Мангистауская,36.5
2017,процент,,,Мангистауская,31.1
2018,процент,,,Мангистауская,32.5
2010,процент,,,Южно-Казахстанская,22.6
2011,процент,,,Южно-Казахстанская,26.7
2012,процент,,,Южно-Казахстанская,29.2
2013,процент,,,Южно-Казахстанская,29.9
2014,процент,,,Южно-Казахстанская,42.1
2015,процент,,,Южно-Казахстанская,40.5
2016,процент,,,Южно-Казахстанская,45.6
2017,процент,,,Южно-Казахстанская,48.0
2010,процент,,,Павлодарская,25.2
2011,процент,,,Павлодарская,26.5
2012,процент,,,Павлодарская,30.1
2013,процент,,,Павлодарская,26.0
2014,процент,,,Павлодарская,37.9
2015,процент,,,Павлодарская,33.4
2016,процент,,,Павлодарская,33.6
2017,процент,,,Павлодарская,38.4
2018,процент,,,Павлодарская,35.5
2010,процент,,,Северо-Казахстанская,18.5
2011,процент,,,Северо-Казахстанская,25.7
2012,процент,,,Северо-Казахстанская,28.2
2013,процент,,,Северо-Казахстанская,25.4
2014,процент,,,Северо-Казахстанская,31.6
2015,процент,,,Северо-Казахстанская,35.3
2016,процент,,,Северо-Казахстанская,37.3
2017,процент,,,Северо-Казахстанская,34.2
2018,процент,,,Северо-Казахстанская,28.0
2018,процент,,,Туркестанская,40.9
2010,процент,,,Восточно-Казахстанская,27.1
2011,процент,,,Восточно-Казахстанская,29.6
2012,процент,,,Восточно-Казахстанская,34.5
2013,процент,,,Восточно-Казахстанская,30.4
2014,процент,,,Восточно-Казахстанская,38.6
2015,процент,,,Восточно-Казахстанская,37.4
2016,процент,,,Восточно-Казахстанская,38.6
2017,процент,,,Восточно-Казахстанская,40.0
2018,процент,,,Восточно-Казахстанская,39.2
2010,процент,,,г_Нур-Султан,61.4
2011,процент,,,г_Нур-Султан,68.3
2012,процент,,,г_Нур-Султан,60.4
2013,процент,,,г_Нур-Султан,38.8
2014,процент,,,г_Нур-Султан,40.5
2015,процент,,,г_Нур-Султан,43.2
2016,процент,,,г_Нур-Султан,44.0
2017,процент,,,г_Нур-Султан,45.6
2018,процент,,,г_Нур-Султан,48.4
2010,процент,,,г_Алматы,61.1
2011,процент,,,г_Алматы,60.0
2012,процент,,,г_Алматы,71.4
2013,процент,,,г_Алматы,64.1
2014,процент,,,г_Алматы,69.2
2015,процент,,,г_Алматы,76.7
2016,процент,,,г_Алматы,66.2
2017,процент,,,г_Алматы,65.0
2018,процент,,,г_Алматы,66.0
2018,процент,,,г_Шымкент,58.4
2010,процент,,мужчины,,26.0
2011,процент,,мужчины,,28.3
2012,процент,,мужчины,,33.3
2013,процент,,мужчины,,32.7
2014,процент,,мужчины,,36.8
2015,процент,,мужчины,,37.2
2016,процент,,мужчины,,37.3
2017,процент,,мужчины,,39.1
2018,процент,,мужчины,,39.7
2010,процент,,мужчины,Акмолинская,27.5
2011,процент,,мужчины,Акмолинская,23.2
2012,процент,,мужчины,Акмолинская,15.7
2013,процент,,мужчины,Акмолинская,22.3
2014,процент,,мужчины,Акмолинская,28.5
