Year,UNIT_MEASURE,Регионы,Value
2017,процент,,77.06127316295265
2017,процент,Акмолинская,67.35791369461487
2017,процент,Актюбинская,78.00102486518142
2017,процент,Алматинская,84.60085608628734
2017,процент,Атырауская,79.84683794466403
2017,процент,Западно-Казахстанская,75.67719205604007
2017,процент,Жымбылская,61.02215710933348
2017,процент,Карагандинская,70.48965127330781
2017,процент,Костанайская,80.36524211274465
2017,процент,Кызылординская,71.75320443859377
2017,процент,Мангистауская,77.98712864411583
2017,процент,Павлодарская,79.59902244192281
2017,процент,Северо-Казахстанская,74.61223646134766
2017,процент,Туркестанская,76.8
2017,процент,Восточно-Казахстанская,77.39405779255048
2017,процент,г_Нур-Султан,83.76383499663521
2017,процент,г_Алматы,81.56051138775554
2017,процент,г_Шымкент,80.1
2018,процент,,79.6
2018,процент,Акмолинская,68.9
2018,процент,Актюбинская,78.0
2018,процент,Алматинская,86.7
2018,процент,Атырауская,81.2
2018,процент,Западно-Казахстанская,76.4
2018,процент,Жымбылская,78.2
2018,процент,Карагандинская,70.6
2018,процент,Костанайская,80.8
2018,процент,Кызылординская,78.6
2018,процент,Мангистауская,78.1
2018,процент,Павлодарская,79.6
2018,процент,Северо-Казахстанская,74.8
2018,процент,Туркестанская,76.9
2018,процент,Восточно-Казахстанская,77.8
2018,процент,г_Нур-Султан,85.4
2018,процент,г_Алматы,87.2
2018,процент,г_Шымкент,80.8
2019,процент,,82.1
2019,процент,Акмолинская,74.7
2019,процент,Актюбинская,80.0
2019,процент,Алматинская,87.9
2019,процент,Атырауская,82.6
2019,процент,Западно-Казахстанская,78.4
2019,процент,Жымбылская,79.8
2019,процент,Карагандинская,78.5
2019,процент,Костанайская,82.9
2019,процент,Кызылординская,80.1
2019,процент,Мангистауская,78.7
2019,процент,Павлодарская,82.4
2019,процент,Северо-Казахстанская,77.1
2019,процент,Туркестанская,77.7
2019,процент,Восточно-Казахстанская,82.5
2019,процент,г_Нур-Султан,88.7
2019,процент,г_Алматы,89.0
2019,процент,г_Шымкент,81.5
