Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Возраст,Регионы,Value
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,,13.22816217108324
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,,19.461043106059417
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,,45.17932106932099
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,,37.20976806718313
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,,13.228123878752696
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,,14.749631340587689
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,,19.964893591357267
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,,19.546090372197625
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,,3.4932178538757004
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,Акмолинская,21.673480244505537
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,Акмолинская,20.51214460553568
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,Акмолинская,46.05064959517981
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,Акмолинская,50.31444172472227
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,Акмолинская,30.390698550178875
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,Акмолинская,21.9742044812653
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,Акмолинская,32.21238938053098
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,Акмолинская,34.94916211636227
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,Акмолинская,3.7318772359254377
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,Актюбинская,14.568321881318427
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,Актюбинская,16.91179805003401
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,Актюбинская,50.20784521200211
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,Актюбинская,36.38349331116318
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,Актюбинская,13.967954047313128
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,Актюбинская,16.35250547955559
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,Актюбинская,18.750661325674557
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,Актюбинская,20.984808404504573
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,Актюбинская,1.4670092963494823
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,Алматинская,10.10353472487036
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,Алматинская,20.424349216152883
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,Алматинская,40.324074915075656
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,Алматинская,31.40184199531327
