Year,UNIT_MEASURE,образование матери,Местность,Регионы,Value
2010,,начальное образование,,,1.0
2010,,среднее образование,,,1.0
2010,процент,начальное образование,,,1.0
2010,процент,начальное образование,Город,,0.99
2010,процент,начальное образование,сельское население,,1.0
2010,процент,начальное образование,,Акмолинская,0.99
2010,процент,начальное образование,,Актюбинская,1.01
2010,процент,начальное образование,,Алматинская,1.01
2010,процент,начальное образование,,Атырауская,1.0
2010,процент,начальное образование,,Западно-Казахстанская,0.99
2010,процент,начальное образование,,Жымбылская,0.99
2010,процент,начальное образование,,Карагандинская,1.0
2010,процент,начальное образование,,Костанайская,0.99
2010,процент,начальное образование,,Кызылординская,1.01
2010,процент,начальное образование,,Мангистауская,1.0
2010,процент,начальное образование,,Южно-Казахстанская,1.0
2010,процент,начальное образование,,Павлодарская,1.0
2010,процент,начальное образование,,Северо-Казахстанская,1.01
2010,процент,начальное образование,,Восточно-Казахстанская,1.0
2010,процент,начальное образование,,г_Нур-Султан,1.0
2010,процент,начальное образование,,г_Алматы,1.0
2010,процент,среднее образование,,,1.0
2010,процент,среднее образование,Город,,0.99
2010,процент,среднее образование,сельское население,,1.01
2010,процент,среднее образование,,Акмолинская,1.02
2010,процент,среднее образование,,Актюбинская,1.0
2010,процент,среднее образование,,Алматинская,1.03
2010,процент,среднее образование,,Атырауская,1.01
2010,процент,среднее образование,,Западно-Казахстанская,1.01
2010,процент,среднее образование,,Жымбылская,1.0
2010,процент,среднее образование,,Карагандинская,1.0
2010,процент,среднее образование,,Костанайская,1.0
2010,процент,среднее образование,,Кызылординская,1.01
2010,процент,среднее образование,,Мангистауская,0.99
2010,процент,среднее образование,,Южно-Казахстанская,0.99
2010,процент,среднее образование,,Павлодарская,1.0
2010,процент,среднее образование,,Северо-Казахстанская,0.98
2010,процент,среднее образование,,Восточно-Казахстанская,0.97
2010,процент,среднее образование,,г_Нур-Султан,1.01
2010,процент,среднее образование,,г_Алматы,0.99
2015,,начальное образование,,,1.0
2015,,среднее образование,,,1.0
2015,,основное среднее образование,,,1.0
2015,,общее среднее образование,,,1.01
2015,процент,начальное образование,,,1.0
2015,процент,начальное образование,Город,,0.99
2015,процент,начальное образование,сельское население,,1.0
2015,процент,начальное образование,,Акмолинская,0.99
2015,процент,начальное образование,,Актюбинская,1.01
2015,процент,начальное образование,,Алматинская,1.0
2015,процент,начальное образование,,Атырауская,0.94
2015,процент,начальное образование,,Западно-Казахстанская,0.99
2015,процент,начальное образование,,Жымбылская,1.0
2015,процент,начальное образование,,Карагандинская,1.01
2015,процент,начальное образование,,Костанайская,1.01
2015,процент,начальное образование,,Кызылординская,0.99
2015,процент,начальное образование,,Мангистауская,1.01
2015,процент,начальное образование,,Южно-Казахстанская,1.0
2015,процент,начальное образование,,Павлодарская,1.01
2015,процент,начальное образование,,Северо-Казахстанская,1.01
2015,процент,начальное образование,,Восточно-Казахстанская,1.0
2015,процент,начальное образование,,г_Нур-Султан,1.02
2015,процент,начальное образование,,г_Алматы,0.98
2015,процент,основное среднее образование,,,1.0
2015,процент,основное среднее образование,Город,,1.0
2015,процент,основное среднее образование,сельское население,,1.0
2015,процент,основное среднее образование,,Акмолинская,1.0
2015,процент,основное среднее образование,,Актюбинская,1.0
2015,процент,основное среднее образование,,Алматинская,1.02
2015,процент,основное среднее образование,,Атырауская,1.0
2015,процент,основное среднее образование,,Западно-Казахстанская,1.01
2015,процент,основное среднее образование,,Жымбылская,0.99
2015,процент,основное среднее образование,,Карагандинская,1.01
2015,процент,основное среднее образование,,Костанайская,1.0
2015,процент,основное среднее образование,,Кызылординская,1.0
2015,процент,основное среднее образование,,Мангистауская,1.0
2015,процент,основное среднее образование,,Южно-Казахстанская,0.99
2015,процент,основное среднее образование,,Павлодарская,0.99
2015,процент,основное среднее образование,,Северо-Казахстанская,1.01
2015,процент,основное среднее образование,,Восточно-Казахстанская,1.0
2015,процент,основное среднее образование,,г_Нур-Султан,1.01
2015,процент,основное среднее образование,,г_Алматы,1.02
2015,процент,среднее образование,,,1.01
2015,процент,среднее образование,Город,,1.03
2015,процент,среднее образование,сельское население,,0.98
2015,процент,среднее образование,,Акмолинская,1.12
2015,процент,среднее образование,,Актюбинская,1.02
2015,процент,среднее образование,,Алматинская,1.01
2015,процент,среднее образование,,Атырауская,0.98
2015,процент,среднее образование,,Жымбылская,0.94
2015,процент,среднее образование,,Костанайская,1.0
2015,процент,среднее образование,,Кызылординская,0.99
2015,процент,среднее образование,,Мангистауская,1.03
2015,процент,среднее образование,,Южно-Казахстанская,0.98
2015,процент,среднее образование,,Северо-Казахстанская,1.0
2015,процент,среднее образование,,г_Нур-Султан,1.18
2015,процент,среднее образование,,г_Алматы,1.0
