Year,UNIT_MEASURE,SERIES,Местность,Регионы,Value
2015,процент,базовыми источниками питьевой воды,,,100.0
2016,процент,базовыми источниками питьевой воды,,,100.0
2017,процент,базовыми источниками питьевой воды,,,100.0
2018,процент,базовыми источниками питьевой воды,,,100.0
2019,процент,доступом к Интернету для учебных целей,,,94.06596377399296
2019,процент,доступом к Интернету для учебных целей,,Акмолинская,100.0
2019,процент,доступом к Интернету для учебных целей,,Актюбинская,97.1291866028708
2019,процент,доступом к Интернету для учебных целей,,Алматинская,91.78255372945638
2019,процент,доступом к Интернету для учебных целей,,Атырауская,93.71980676328504
2019,процент,доступом к Интернету для учебных целей,,Западно-Казахстанская,86.92307692307692
2019,процент,доступом к Интернету для учебных целей,,Жымбылская,99.78308026030368
2019,процент,доступом к Интернету для учебных целей,,Карагандинская,97.39292364990688
2019,процент,доступом к Интернету для учебных целей,,Костанайская,91.47286821705426
2019,процент,доступом к Интернету для учебных целей,,Кызылординская,98.08917197452227
2019,процент,доступом к Интернету для учебных целей,,Мангистауская,100.0
2019,процент,доступом к Интернету для учебных целей,,Павлодарская,99.45652173913044
2019,процент,доступом к Интернету для учебных целей,,Северо-Казахстанская,90.74074074074076
2019,процент,доступом к Интернету для учебных целей,,Туркестанская,83.04347826086956
2019,процент,доступом к Интернету для учебных целей,,Восточно-Казахстанская,99.11634756995582
2019,процент,доступом к Интернету для учебных целей,,г_Нур-Султан,94.91525423728814
2019,процент,доступом к Интернету для учебных целей,,г_Алматы,98.6206896551724
2019,процент,доступом к Интернету для учебных целей,,г_Шымкент,91.90751445086704
2019,процент,доступом к Интернету для учебных целей,Город,,96.68717463322292
2019,процент,доступом к Интернету для учебных целей,Город,Акмолинская,100.0
2019,процент,доступом к Интернету для учебных целей,Город,Актюбинская,97.77777777777776
2019,процент,доступом к Интернету для учебных целей,Город,Алматинская,96.3963963963964
2019,процент,доступом к Интернету для учебных целей,Город,Атырауская,96.05263157894736
2019,процент,доступом к Интернету для учебных целей,Город,Западно-Казахстанская,93.24324324324324
2019,процент,доступом к Интернету для учебных целей,Город,Жымбылская,99.05660377358492
2019,процент,доступом к Интернету для учебных целей,Город,Карагандинская,97.8813559322034
2019,процент,доступом к Интернету для учебных целей,Город,Костанайская,97.97979797979798
2019,процент,доступом к Интернету для учебных целей,Город,Кызылординская,93.67088607594935
2019,процент,доступом к Интернету для учебных целей,Город,Мангистауская,100.0
2019,процент,доступом к Интернету для учебных целей,Город,Павлодарская,97.87234042553192
2019,процент,доступом к Интернету для учебных целей,Город,Северо-Казахстанская,98.4375
2019,процент,доступом к Интернету для учебных целей,Город,Туркестанская,90.2439024390244
2019,процент,доступом к Интернету для учебных целей,Город,Восточно-Казахстанская,98.34254143646407
2019,процент,доступом к Интернету для учебных целей,Город,г_Нур-Султан,94.91525423728814
2019,процент,доступом к Интернету для учебных целей,Город,г_Алматы,98.6206896551724
2019,процент,доступом к Интернету для учебных целей,Город,г_Шымкент,91.90751445086704
2019,процент,доступом к Интернету для учебных целей,сельское население,,93.01797540208136
2019,процент,доступом к Интернету для учебных целей,сельское население,Акмолинская,100.0
2019,процент,доступом к Интернету для учебных целей,сельское население,Актюбинская,96.81978798586572
2019,процент,доступом к Интернету для учебных целей,сельское население,Алматинская,91.02941176470588
2019,процент,доступом к Интернету для учебных целей,сельское население,Атырауская,92.36641221374046
2019,процент,доступом к Интернету для учебных целей,сельское население,Западно-Казахстанская,85.44303797468355
2019,процент,доступом к Интернету для учебных целей,сельское население,Жымбылская,100.0
2019,процент,доступом к Интернету для учебных целей,сельское население,Карагандинская,97.00996677740864
2019,процент,доступом к Интернету для учебных целей,сельское население,Костанайская,89.92805755395683
2019,процент,доступом к Интернету для учебных целей,сельское население,Кызылординская,99.5744680851064
2019,процент,доступом к Интернету для учебных целей,сельское население,Мангистауская,100.0
2019,процент,доступом к Интернету для учебных целей,сельское население,Павлодарская,100.0
2019,процент,доступом к Интернету для учебных целей,сельское население,Северо-Казахстанская,89.57345971563981
2019,процент,доступом к Интернету для учебных целей,сельское население,Туркестанская,81.93224592220828
2019,процент,доступом к Интернету для учебных целей,сельское население,Восточно-Казахстанская,99.3975903614458
2019,процент,базовыми источниками питьевой воды,,,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Акмолинская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Актюбинская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Алматинская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Атырауская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Западно-Казахстанская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Жымбылская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Карагандинская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Костанайская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Кызылординская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Мангистауская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Павлодарская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Северо-Казахстанская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Туркестанская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,Восточно-Казахстанская,100.0
2019,процент,раздельными минимально оборудованными туалетами,,г_Нур-Султан,100.0
2019,процент,раздельными минимально оборудованными туалетами,,г_Алматы,100.0
2019,процент,раздельными минимально оборудованными туалетами,,г_Шымкент,100.0
2019,процент,наличие теплых и надворных туалетов,,,41.57880508245472
2019,процент,наличие теплых и надворных туалетов,,Акмолинская,75.13043478260869
2019,процент,наличие теплых и надворных туалетов,,Актюбинская,39.71291866028708
2019,процент,наличие теплых и надворных туалетов,,Алматинская,37.67383059418458
2019,процент,наличие теплых и надворных туалетов,,Атырауская,46.85990338164252
2019,процент,наличие теплых и надворных туалетов,,Западно-Казахстанская,30.76923076923077
2019,процент,наличие теплых и надворных туалетов,,Жымбылская,28.41648590021692
2019,процент,наличие теплых и надворных туалетов,,Карагандинская,19.36685288640596
2019,процент,наличие теплых и надворных туалетов,,Костанайская,66.08527131782945
2019,процент,наличие теплых и надворных туалетов,,Кызылординская,44.90445859872612
2019,процент,наличие теплых и надворных туалетов,,Мангистауская,28.387096774193548
2019,процент,наличие теплых и надворных туалетов,,Павлодарская,72.01086956521739
2019,процент,наличие теплых и надворных туалетов,,Северо-Казахстанская,62.96296296296296
2019,процент,наличие теплых и надворных туалетов,,Туркестанская,34.891304347826086
2019,процент,наличие теплых и надворных туалетов,,Восточно-Казахстанская,32.40058910162003
2019,процент,наличие теплых и надворных туалетов,,г_Нур-Султан,0.847457627118644
2019,процент,наличие теплых и надворных туалетов,,г_Алматы,3.103448275862069
2019,процент,наличие теплых и надворных туалетов,,г_Шымкент,46.24277456647399
2019,процент,наличие только надворных туалетов,,,31.346309813463098
2019,процент,наличие только надворных туалетов,,Акмолинская,0.0
2019,процент,наличие только надворных туалетов,,Актюбинская,33.014354066985646
2019,процент,наличие только надворных туалетов,,Алматинская,52.591656131479134
2019,процент,наличие только надворных туалетов,,Атырауская,18.357487922705317
2019,процент,наличие только надворных туалетов,,Западно-Казахстанская,51.02564102564102
2019,процент,наличие только надворных туалетов,,Жымбылская,58.13449023861171
2019,процент,наличие только надворных туалетов,,Карагандинская,22.90502793296089
2019,процент,наличие только надворных туалетов,,Костанайская,9.30232558139535
2019,процент,наличие только надворных туалетов,,Кызылординская,40.76433121019109
2019,процент,наличие только надворных туалетов,,Мангистауская,25.161290322580644
2019,процент,наличие только надворных туалетов,,Павлодарская,0.5434782608695652
2019,процент,наличие только надворных туалетов,,Северо-Казахстанская,13.580246913580249
2019,процент,наличие только надворных туалетов,,Туркестанская,59.130434782608695
2019,процент,наличие только надворных туалетов,,Восточно-Казахстанская,40.50073637702504
2019,процент,наличие только надворных туалетов,,г_Нур-Султан,0.0
2019,процент,наличие только надворных туалетов,,г_Алматы,1.0344827586206895
2019,процент,наличие только надворных туалетов,,г_Шымкент,18.497109826589597
2019,процент,наличие только теплых туалетов,,,27.074885104082185
2019,процент,наличие только теплых туалетов,,Акмолинская,24.869565217391305
2019,процент,наличие только теплых туалетов,,Актюбинская,27.27272727272727
2019,процент,наличие только теплых туалетов,,Алматинская,9.734513274336283
2019,процент,наличие только теплых туалетов,,Атырауская,34.78260869565217
2019,процент,наличие только теплых туалетов,,Западно-Казахстанская,18.205128205128204
2019,процент,наличие только теплых туалетов,,Жымбылская,13.449023861171366
2019,процент,наличие только теплых туалетов,,Карагандинская,57.72811918063314
2019,процент,наличие только теплых туалетов,,Костанайская,24.612403100775197
2019,процент,наличие только теплых туалетов,,Кызылординская,14.331210191082802
2019,процент,наличие только теплых туалетов,,Мангистауская,46.45161290322581
2019,процент,наличие только теплых туалетов,,Павлодарская,27.445652173913043
2019,процент,наличие только теплых туалетов,,Северо-Казахстанская,23.456790123456788
2019,процент,наличие только теплых туалетов,,Туркестанская,5.978260869565218
2019,процент,наличие только теплых туалетов,,Восточно-Казахстанская,27.098674521354933
2019,процент,наличие только теплых туалетов,,г_Нур-Султан,99.15254237288136
