Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн.долл.США,Данные по Казахстану как донору,3.184537
2011,млн.долл.США,Данные по Казахстану как донору,3.719071
2012,млн.долл.США,Данные по Казахстану как донору,3.063886
2013,млн.долл.США,Данные по Казахстану как донору,3.576984
2014,млн.долл.США,Данные по Казахстану как донору,2.545952
2015,млн.долл.США,Данные по Казахстану как донору,2.946629
2016,млн.долл.США,Данные по Казахстану как донору,3.563592
2016,млн.долл.США,Данные по Казахстану как получателю,1.91
2017,млн.долл.США,Данные по Казахстану как донору,4.701934
2017,млн.долл.США,Данные по Казахстану как получателю,0.049169
