Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,SERIES,Возраст,Value
2015,процент,физическое насилие,в течение жизни,,16.2
2015,процент,сексуальное насилие,в течение жизни,,3.6
2015,процент,физическое насилие и/или сексуальное насилие,в течение жизни,,16.5
2015,процент,физическое насилие,в последние 12 месяцев,,4.5
2015,процент,сексуальное насилие,в последние 12 месяцев,,1.0
2015,процент,физическое насилие и/или сексуальное насилие,в последние 12 месяцев,,4.7
2015,процент,физическое насилие,в течение жизни,Женщины в возрасте 18-49 лет,16.0
2015,процент,сексуальное насилие,в течение жизни,Женщины в возрасте 18-49 лет,3.9
2015,процент,физическое насилие и/или сексуальное насилие,в течение жизни,Женщины в возрасте 18-49 лет,16.4
2015,процент,физическое насилие,в последние 12 месяцев,Женщины в возрасте 18-49 лет,5.3
2015,процент,сексуальное насилие,в последние 12 месяцев,Женщины в возрасте 18-49 лет,1.2
2015,процент,физическое насилие и/или сексуальное насилие,в последние 12 месяцев,Женщины в возрасте 18-49 лет,5.6
