Year,UNIT_MEASURE,Регионы,Местность,Возраст,Value
2010,процент,,,,37.2
2010,процент,Акмолинская,,,39.9
2010,процент,Актюбинская,,,41.7
2010,процент,Алматинская,,,31.5
2010,процент,Атырауская,,,18.9
2010,процент,Западно-Казахстанская,,,21.2
2010,процент,Жымбылская,,,22.3
2010,процент,Карагандинская,,,41.0
2010,процент,Костанайская,,,39.6
2010,процент,Кызылординская,,,38.1
2010,процент,Мангистауская,,,30.4
2010,процент,Южно-Казахстанская,,,18.4
2010,процент,Павлодарская,,,41.7
2010,процент,Северо-Казахстанская,,,32.7
2010,процент,Восточно-Казахстанская,,,35.7
2010,процент,г_Нур-Султан,,,40.4
2010,процент,г_Алматы,,,39.2
2010,процент,,Город,,38.0
2010,процент,Акмолинская,Город,,40.5
2010,процент,Актюбинская,Город,,36.1
2010,процент,Алматинская,Город,,29.7
2010,процент,Атырауская,Город,,16.1
2010,процент,Западно-Казахстанская,Город,,23.4
2010,процент,Жымбылская,Город,,28.0
2010,процент,Карагандинская,Город,,41.7
2010,процент,Костанайская,Город,,35.3
2010,процент,Кызылординская,Город,,38.5
2010,процент,Мангистауская,Город,,30.5
2010,процент,Южно-Казахстанская,Город,,24.8
2010,процент,Павлодарская,Город,,41.4
2010,процент,Северо-Казахстанская,Город,,36.6
2010,процент,Восточно-Казахстанская,Город,,39.5
2010,процент,г_Нур-Султан,Город,,40.4
2010,процент,г_Алматы,Город,,39.2
2010,процент,,сельское население,,33.4
2010,процент,Акмолинская,сельское население,,37.5
2010,процент,Актюбинская,сельское население,,55.8
2010,процент,Алматинская,сельское население,,32.7
2010,процент,Атырауская,сельское население,,26.8
2010,процент,Западно-Казахстанская,сельское население,,8.6
2010,процент,Жымбылская,сельское население,,19.1
2010,процент,Карагандинская,сельское население,,31.5
2010,процент,Костанайская,сельское население,,46.9
2010,процент,Кызылординская,сельское население,,37.3
2010,процент,Мангистауская,сельское население,,29.6
2010,процент,Южно-Казахстанская,сельское население,,4.2
2010,процент,Павлодарская,сельское население,,43.3
2010,процент,Северо-Казахстанская,сельское население,,27.3
2010,процент,Восточно-Казахстанская,сельское население,,28.8
2010,процент,,,16-24,41.5
2010,процент,,,25-28,43.5
2010,процент,,,29-34,32.8
2010,процент,,,35-44,40.6
2010,процент,,,45-54,35.8
2010,процент,,,55-64,30.9
2010,процент,,,65 и старше,51.0
2010,процент,Акмолинская,,16-24,44.0
2010,процент,Акмолинская,,25-28,22.2
2010,процент,Акмолинская,,29-34,45.3
2010,процент,Акмолинская,,35-44,46.2
2010,процент,Акмолинская,,45-54,44.3
2010,процент,Акмолинская,,55-64,24.6
2010,процент,Актюбинская,,16-24,100.0
2010,процент,Актюбинская,,25-28,56.3
2010,процент,Актюбинская,,29-34,25.8
2010,процент,Актюбинская,,35-44,47.6
2010,процент,Актюбинская,,45-54,24.1
2010,процент,Актюбинская,,55-64,51.9
2010,процент,Алматинская,,16-24,29.8
2010,процент,Алматинская,,25-28,25.2
2010,процент,Алматинская,,29-34,0.0
2010,процент,Алматинская,,35-44,40.4
2010,процент,Алматинская,,45-54,36.6
2010,процент,Алматинская,,55-64,46.9
2010,процент,Атырауская,,29-34,33.4
2010,процент,Атырауская,,35-44,0.0
2010,процент,Атырауская,,45-54,32.6
2010,процент,Атырауская,,55-64,15.6
2010,процент,Западно-Казахстанская,,16-24,7.0
2010,процент,Западно-Казахстанская,,25-28,13.2
2010,процент,Западно-Казахстанская,,29-34,31.4
2010,процент,Западно-Казахстанская,,35-44,14.9
2010,процент,Западно-Казахстанская,,45-54,19.3
2010,процент,Западно-Казахстанская,,55-64,32.5
2010,процент,Жымбылская,,25-28,100.0
2010,процент,Жымбылская,,29-34,0.0
2010,процент,Жымбылская,,35-44,30.2
2010,процент,Жымбылская,,45-54,39.8
2010,процент,Жымбылская,,55-64,6.5
2010,процент,Карагандинская,,16-24,32.9
2010,процент,Карагандинская,,25-28,33.8
2010,процент,Карагандинская,,29-34,36.0
2010,процент,Карагандинская,,35-44,41.8
2010,процент,Карагандинская,,45-54,46.6
2010,процент,Карагандинская,,55-64,44.6
2010,процент,Карагандинская,,65 и старше,0.0
2010,процент,Костанайская,,16-24,13.4
2010,процент,Костанайская,,25-28,40.4
2010,процент,Костанайская,,29-34,49.1
2010,процент,Костанайская,,35-44,33.0
2010,процент,Костанайская,,45-54,40.5
2010,процент,Костанайская,,55-64,36.1
2010,процент,Костанайская,,65 и старше,83.9
2010,процент,Кызылординская,,16-24,100.0
2010,процент,Кызылординская,,25-28,89.4
2010,процент,Кызылординская,,29-34,58.7
2010,процент,Кызылординская,,35-44,34.6
2010,процент,Кызылординская,,45-54,33.4
2010,процент,Кызылординская,,55-64,23.6
2010,процент,Кызылординская,,65 и старше,0.0
2010,процент,Мангистауская,,16-24,25.8
2010,процент,Мангистауская,,25-28,22.7
2010,процент,Мангистауская,,29-34,30.0
2010,процент,Мангистауская,,35-44,35.3
2010,процент,Мангистауская,,45-54,34.2
2010,процент,Мангистауская,,55-64,15.4
2010,процент,Мангистауская,,65 и старше,0.0
2010,процент,Южно-Казахстанская,,16-24,0.0
2010,процент,Южно-Казахстанская,,25-28,100.0
2010,процент,Южно-Казахстанская,,29-34,34.8
2010,процент,Южно-Казахстанская,,35-44,14.3
2010,процент,Южно-Казахстанская,,45-54,14.7
2010,процент,Южно-Казахстанская,,55-64,23.3
2010,процент,Павлодарская,,16-24,77.4
2010,процент,Павлодарская,,25-28,35.0
2010,процент,Павлодарская,,29-34,47.4
2010,процент,Павлодарская,,35-44,35.2
2010,процент,Павлодарская,,45-54,44.7
2010,процент,Павлодарская,,55-64,34.2
2010,процент,Северо-Казахстанская,,16-24,43.8
2010,процент,Северо-Казахстанская,,25-28,35.2
2010,процент,Северо-Казахстанская,,29-34,50.8
2010,процент,Северо-Казахстанская,,35-44,40.3
2010,процент,Северо-Казахстанская,,45-54,19.6
2010,процент,Северо-Казахстанская,,55-64,25.3
2010,процент,Восточно-Казахстанская,,16-24,53.9
2010,процент,Восточно-Казахстанская,,25-28,47.9
2010,процент,Восточно-Казахстанская,,29-34,23.1
2010,процент,Восточно-Казахстанская,,35-44,35.7
2010,процент,Восточно-Казахстанская,,45-54,39.1
2010,процент,Восточно-Казахстанская,,55-64,25.4
2010,процент,г_Нур-Султан,,16-24,44.0
2010,процент,г_Нур-Султан,,25-28,54.0
2010,процент,г_Нур-Султан,,29-34,28.9
2010,процент,г_Нур-Султан,,35-44,48.5
2010,процент,г_Нур-Султан,,45-54,34.6
2010,процент,г_Нур-Султан,,55-64,35.8
2010,процент,г_Нур-Султан,,65 и старше,25.6
2010,процент,г_Алматы,,16-24,23.7
2010,процент,г_Алматы,,25-28,42.7
2010,процент,г_Алматы,,29-34,43.5
2010,процент,г_Алматы,,35-44,46.4
2010,процент,г_Алматы,,45-54,31.7
2010,процент,г_Алматы,,55-64,26.8
2011,процент,,,,38.5
2011,процент,Акмолинская,,,43.1
2011,процент,Актюбинская,,,41.6
2011,процент,Алматинская,,,24.4
2011,процент,Атырауская,,,26.7
2011,процент,Западно-Казахстанская,,,24.7
2011,процент,Жымбылская,,,30.1
2011,процент,Карагандинская,,,40.0
2011,процент,Костанайская,,,43.9
2011,процент,Кызылординская,,,40.8
2011,процент,Мангистауская,,,32.9
2011,процент,Южно-Казахстанская,,,28.1
2011,процент,Павлодарская,,,41.9
2011,процент,Северо-Казахстанская,,,35.0
2011,процент,Восточно-Казахстанская,,,37.6
2011,процент,г_Нур-Султан,,,41.4
2011,процент,г_Алматы,,,40.3
2011,процент,,Город,,39.5
2011,процент,Акмолинская,Город,,46.1
2011,процент,Актюбинская,Город,,40.4
2011,процент,Алматинская,Город,,26.2
2011,процент,Атырауская,Город,,27.8
2011,процент,Западно-Казахстанская,Город,,27.5
2011,процент,Жымбылская,Город,,35.3
2011,процент,Карагандинская,Город,,40.0
2011,процент,Костанайская,Город,,42.6
2011,процент,Кызылординская,Город,,40.2
2011,процент,Мангистауская,Город,,34.7
2011,процент,Южно-Казахстанская,Город,,31.5
2011,процент,Павлодарская,Город,,39.0
2011,процент,Северо-Казахстанская,Город,,35.1
2011,процент,Восточно-Казахстанская,Город,,40.1
2011,процент,г_Нур-Султан,Город,,41.4
2011,процент,г_Алматы,Город,,40.3
2011,процент,,сельское население,,34.3
2011,процент,Акмолинская,сельское население,,30.0
2011,процент,Актюбинская,сельское население,,48.8
2011,процент,Алматинская,сельское население,,23.3
2011,процент,Атырауская,сельское население,,23.6
2011,процент,Западно-Казахстанская,сельское население,,11.0
2011,процент,Жымбылская,сельское население,,25.0
2011,процент,Карагандинская,сельское население,,39.8
2011,процент,Костанайская,сельское население,,46.7
2011,процент,Кызылординская,сельское население,,41.9
2011,процент,Мангистауская,сельское население,,20.5
2011,процент,Южно-Казахстанская,сельское население,,21.4
2011,процент,Павлодарская,сельское население,,51.8
2011,процент,Северо-Казахстанская,сельское население,,34.7
2011,процент,Восточно-Казахстанская,сельское население,,32.9
2011,процент,,,16-24,49.8
2011,процент,,,25-28,44.1
2011,процент,,,29-34,36.3
2011,процент,,,35-44,39.3
2011,процент,,,45-54,38.2
2011,процент,,,55-64,29.4
2011,процент,,,65 и старше,13.6
2011,процент,Акмолинская,,16-24,53.2
2011,процент,Акмолинская,,25-28,40.9
2011,процент,Акмолинская,,29-34,51.6
2011,процент,Акмолинская,,35-44,44.1
2011,процент,Акмолинская,,45-54,42.5
2011,процент,Акмолинская,,55-64,26.9
