Year,UNIT_MEASURE,Местность,Регионы,Value
2012,процент,,,3.5065578554111165
2012,процент,,Акмолинская,4.946407458376136
2012,процент,,Актюбинская,1.8657933972667384
2012,процент,,Алматинская,6.187236471032998
2012,процент,,Атырауская,1.539979523524076
2012,процент,,Западно-Казахстанская,6.377347835797938
2012,процент,,Жымбылская,1.925666819695505
2012,процент,,Карагандинская,4.316336769132537
2012,процент,,Костанайская,12.094940365224588
2012,процент,,Кызылординская,0.2020558103942668
2012,процент,,Мангистауская,0.0327168925495456
2012,процент,,Туркестанская,0.8531819147217448
2012,процент,,Павлодарская,5.652412751552785
2012,процент,,Северо-Казахстанская,5.535838041035764
2012,процент,,Восточно-Казахстанская,4.6222234756215785
2012,процент,Город,,4.140620987731073
2012,процент,Город,Акмолинская,8.473930069232386
2012,процент,Город,Актюбинская,2.86737060829403
2012,процент,Город,Алматинская,5.685611830881335
2012,процент,Город,Атырауская,1.720930476295283
2012,процент,Город,Западно-Казахстанская,9.820837685481235
2012,процент,Город,Жымбылская,2.0829414933804284
2012,процент,Город,Карагандинская,4.629695249601499
2012,процент,Город,Костанайская,17.41053437575562
2012,процент,Город,Кызылординская,0.2030960224645178
2012,процент,Город,Мангистауская,0.003003258535511
2012,процент,Город,Туркестанская,0.2645555268235434
2012,процент,Город,Павлодарская,7.407324034972403
2012,процент,Город,Северо-Казахстанская,11.502025364728423
2012,процент,Город,Восточно-Казахстанская,6.716925719119896
2012,процент,сельское население,,2.5920112532057056
2012,процент,сельское население,Акмолинская,1.4954300494293662
2012,процент,сельское население,Актюбинская,0.0
2012,процент,сельское население,Алматинская,6.35071226575891
2012,процент,сельское население,Атырауская,1.3545230435413098
2012,процент,сельское население,Западно-Казахстанская,2.5170724730952125
2012,процент,сельское население,Жымбылская,1.804540075520616
2012,процент,сельское население,Карагандинская,2.972851748069624
2012,процент,сельское население,Костанайская,5.798623438539544
2012,процент,сельское население,Кызылординская,0.2012017301783023
2012,процент,сельское население,Мангистауская,0.0682634730538922
2012,процент,сельское население,Туркестанская,1.289819406312084
2012,процент,сельское население,Павлодарская,1.1429827453566326
2012,процент,сельское население,Северо-Казахстанская,0.62340367685633
2012,процент,сельское население,Восточно-Казахстанская,1.1612333195425188
2013,процент,,,3.685402162446737
2013,процент,,Акмолинская,4.932856776352089
2013,процент,,Актюбинская,5.940240052837447
2013,процент,,Алматинская,6.181900564672289
2013,процент,,Атырауская,1.6330128330503857
2013,процент,,Западно-Казахстанская,6.180782882442212
2013,процент,,Жымбылская,1.6275990645223826
2013,процент,,Карагандинская,4.306760447256608
2013,процент,,Костанайская,12.088929175005257
2013,процент,,Кызылординская,0.198342782749242
2013,процент,,Мангистауская,0.0269422168689974
2013,процент,,Туркестанская,0.8652873366676641
2013,процент,,Павлодарская,5.941565220769257
2013,процент,,Северо-Казахстанская,5.606523955147808
2013,процент,,Восточно-Казахстанская,4.753230599617664
2013,процент,Город,,4.445585222468425
2013,процент,Город,Акмолинская,8.446452291147242
2013,процент,Город,Актюбинская,8.688692681604673
2013,процент,Город,Алматинская,5.520671796822425
2013,процент,Город,Атырауская,1.7920040194482678
2013,процент,Город,Западно-Казахстанская,10.132132534728656
2013,процент,Город,Жымбылская,1.7937701396348014
2013,процент,Город,Карагандинская,4.614037624843473
2013,процент,Город,Костанайская,17.305227318245546
2013,процент,Город,Кызылординская,0.1995250741193497
2013,процент,Город,Мангистауская,0.0
2013,процент,Город,Туркестанская,0.2333424840189811
2013,процент,Город,Павлодарская,7.76534077318078
2013,процент,Город,Северо-Казахстанская,11.525011826470887
2013,процент,Город,Восточно-Казахстанская,6.943106473019434
2013,процент,сельское население,,2.589585617738482
2013,процент,сельское население,Акмолинская,1.4920701168614356
2013,процент,сельское население,Актюбинская,0.8946928659275046
2013,процент,сельское население,Алматинская,6.394720287491194
2013,процент,сельское население,Атырауская,1.4751133103247538
2013,процент,сельское население,Западно-Казахстанская,1.722596173096002
2013,процент,сельское население,Жымбылская,1.499553298652106
2013,процент,сельское население,Карагандинская,2.9817267717296723
2013,процент,сельское население,Костанайская,5.833718605335367
2013,процент,сельское население,Кызылординская,0.1973734736195376
2013,процент,сельское население,Мангистауская,0.0578473963000351
2013,процент,сельское население,Туркестанская,1.3302773094347866
2013,процент,сельское население,Павлодарская,1.1566253753753757
2013,процент,сельское население,Северо-Казахстанская,0.645351911174696
2013,процент,сельское население,Восточно-Казахстанская,1.0970818377771594
2014,процент,,,3.433270472821785
2014,процент,,Акмолинская,4.923791368458343
2014,процент,,Актюбинская,5.874888869605367
2014,процент,,Алматинская,6.3766849427446815
2014,процент,,Атырауская,1.6079952956764905
2014,процент,,Западно-Казахстанская,6.160982797714675
2014,процент,,Жымбылская,1.4958423778292935
2014,процент,,Карагандинская,4.144392914881816
2014,процент,,Костанайская,12.0955669438465
2014,процент,,Кызылординская,0.1952200171129036
2014,процент,,Мангистауская,0.013912111523608
2014,процент,,Туркестанская,1.1634771874030996
2014,процент,,Павлодарская,0.226485909340926
2014,процент,,Северо-Казахстанская,5.65215073823357
2014,процент,,Восточно-Казахстанская,5.069475579435725
2014,процент,Город,,3.872201601900956
2014,процент,Город,Акмолинская,8.444712733470634
2014,процент,Город,Актюбинская,8.60534199776636
2014,процент,Город,Алматинская,5.451794961307965
2014,процент,Город,Атырауская,1.789260257937752
2014,процент,Город,Западно-Казахстанская,10.069418614211829
2014,процент,Город,Жымбылская,1.127731224058266
2014,процент,Город,Карагандинская,4.402963425791623
2014,процент,Город,Костанайская,17.20615323343456
2014,процент,Город,Кызылординская,0.1963712800088505
2014,процент,Город,Мангистауская,0.0
2014,процент,Город,Туркестанская,0.2547238155082921
2014,процент,Город,Павлодарская,0.0479607787409407
2014,процент,Город,Северо-Казахстанская,11.490479317137227
2014,процент,Город,Восточно-Казахстанская,7.103182613138954
2014,процент,сельское население,,2.783737366296944
2014,процент,сельское население,Акмолинская,1.487918888669432
2014,процент,сельское население,Актюбинская,0.8809715699080121
2014,процент,сельское население,Алматинская,6.6827977126395055
2014,процент,сельское население,Атырауская,1.4328629490318834
2014,процент,сельское население,Западно-Казахстанская,1.739091915836102
2014,процент,сельское население,Жымбылская,1.7805060028488096
2014,процент,сельское население,Карагандинская,3.015975809867899
2014,процент,сельское население,Костанайская,5.881427135921742
2014,процент,сельское население,Кызылординская,0.1942760382806948
2014,процент,сельское население,Мангистауская,0.0275649435173888
2014,процент,сельское население,Туркестанская,1.906375138371929
2014,процент,сельское население,Павлодарская,0.7057196671673461
2014,процент,сельское население,Северо-Казахстанская,0.6567520840009653
2014,процент,сельское население,Восточно-Казахстанская,1.6403470147921602
2015,процент,,,3.4012183873910518
2015,процент,,Акмолинская,4.904479848802701
2015,процент,,Актюбинская,5.827469106228451
2015,процент,,Алматинская,6.517071583834859
2015,процент,,Атырауская,1.8187710130838093
2015,процент,,Западно-Казахстанская,6.146280737090474
2015,процент,,Жымбылская,1.6089690422589304
2015,процент,,Карагандинская,4.146979485435793
2015,процент,,Костанайская,12.101909086683964
2015,процент,,Кызылординская,0.1927671311534241
2015,процент,,Мангистауская,0.0216621411263305
2015,процент,,Туркестанская,0.8777980027416062
2015,процент,,Павлодарская,0.2449368380468555
2015,процент,,Северо-Казахстанская,5.927788523533204
2015,процент,,Восточно-Казахстанская,5.177975097812227
2015,процент,Город,,3.8022343269907135
2015,процент,Город,Акмолинская,8.437282699703408
2015,процент,Город,Актюбинская,8.516055948332252
2015,процент,Город,Алматинская,5.439152026330836
2015,процент,Город,Атырауская,0.3052387366394035
2015,процент,Город,Западно-Казахстанская,9.98082997663896
2015,процент,Город,Жымбылская,1.7715411096788691
2015,процент,Город,Карагандинская,4.389870112249086
2015,процент,Город,Костанайская,17.074833628939427
2015,процент,Город,Кызылординская,0.1930965709493914
