Year,UNIT_MEASURE,Местность,Пол,Регионы,Value
2016,процент,,,,85.3927648942144
2016,процент,,мужчины,,86.01883910688599
2016,процент,,женщины,,84.81702054951408
2016,процент,Город,,,88.46515284697419
2016,процент,Город,мужчины,,88.9582758150109
2016,процент,Город,женщины,,88.03823423621554
2016,процент,сельское население,,,81.2621850007659
2016,процент,сельское население,мужчины,,82.34612496929724
2016,процент,сельское население,женщины,,80.18135904222228
2016,процент,,,Акмолинская,85.94736921294555
2016,процент,,мужчины,Акмолинская,87.64054450419283
2016,процент,,женщины,Акмолинская,84.3835560932408
2016,процент,Город,,Акмолинская,90.17833600226378
2016,процент,Город,мужчины,Акмолинская,91.56818686196183
2016,процент,Город,женщины,Акмолинская,88.97682170821493
2016,процент,сельское население,,Акмолинская,82.22591080295439
2016,процент,сельское население,мужчины,Акмолинская,84.40236902883538
2016,процент,сельское население,женщины,Акмолинская,80.09568039391226
2016,процент,,,Актюбинская,85.0465751621079
2016,процент,,мужчины,Актюбинская,85.27780963302753
2016,процент,,женщины,Актюбинская,84.83451822560629
2016,процент,Город,,Актюбинская,90.1578746909544
2016,процент,Город,мужчины,Актюбинская,91.15139850078074
2016,процент,Город,женщины,Актюбинская,89.28848598933307
2016,процент,сельское население,,Актюбинская,76.60144840555355
2016,процент,сельское население,мужчины,Актюбинская,76.17725090079884
2016,процент,сельское население,женщины,Актюбинская,77.02172338884866
2016,процент,,,Алматинская,87.91319666880206
2016,процент,,мужчины,Алматинская,87.63731735458661
2016,процент,,женщины,Алматинская,88.177638060187
2016,процент,Город,,Алматинская,88.35053545327088
2016,процент,Город,мужчины,Алматинская,89.00408701384312
2016,процент,Город,женщины,Алматинская,87.76775091581982
2016,процент,сельское население,,Алматинская,87.7760586598359
2016,процент,сельское население,мужчины,Алматинская,87.22947231266258
2016,процент,сельское население,женщины,Алматинская,88.31196683396772
2016,процент,,,Атырауская,85.1310652097063
2016,процент,,мужчины,Атырауская,86.1014931175663
2016,процент,,женщины,Атырауская,84.2073410480383
2016,процент,Город,,Атырауская,90.16725058391724
2016,процент,Город,мужчины,Атырауская,92.89981556816475
2016,процент,Город,женщины,Атырауская,87.7181882172431
2016,процент,сельское население,,Атырауская,80.60174574535525
