Year,UNIT_MEASURE,Вид экономической деятельности,Регионы,Value
2010,процент,без учета больших ГЭС,,0.0
2011,процент,с учетом больших ГЭС,,9.104880831682053
2011,процент,с учетом больших ГЭС,Алматинская,34.51437542944687
2011,процент,с учетом больших ГЭС,Восточно-Казахстанская,74.77996517456992
2011,процент,с учетом больших ГЭС,Жымбылская,1.5471146227196866
2011,процент,с учетом больших ГЭС,Северо-Казахстанская,0.5594642216101879
2011,процент,с учетом больших ГЭС,Южно-Казахстанская,37.002353872525326
2011,процент,без учета больших ГЭС,,0.0
2012,процент,с учетом больших ГЭС,,8.376536157036131
2012,процент,с учетом больших ГЭС,Алматинская,33.87562905855201
2012,процент,с учетом больших ГЭС,Восточно-Казахстанская,74.196245532065
2012,процент,с учетом больших ГЭС,Жымбылская,1.1654489035584796
2012,процент,с учетом больших ГЭС,Северо-Казахстанская,0.6565455952920362
2012,процент,с учетом больших ГЭС,Южно-Казахстанская,29.09221043661668
2012,процент,с учетом больших ГЭС,г_Алматы,0.0603899491600893
2012,процент,без учета больших ГЭС,,0.0
2013,процент,с учетом больших ГЭС,,8.11190474163471
2013,процент,с учетом больших ГЭС,Алматинская,26.913021259058368
2013,процент,с учетом больших ГЭС,Восточно-Казахстанская,73.49094972414917
2013,процент,с учетом больших ГЭС,Жымбылская,1.5038326784100975
2013,процент,с учетом больших ГЭС,Северо-Казахстанская,0.7042039690296581
2013,процент,с учетом больших ГЭС,Южно-Казахстанская,27.470372101640912
2013,процент,с учетом больших ГЭС,г_Алматы,0.0669056902222847
2013,процент,без учета больших ГЭС,,0.0
2014,процент,с учетом больших ГЭС,,8.693493734842917
2014,процент,с учетом больших ГЭС,Акмолинская,0.2093964510346464
2014,процент,с учетом больших ГЭС,Алматинская,55.57700621908855
2014,процент,с учетом больших ГЭС,Восточно-Казахстанская,75.26710775171071
2014,процент,с учетом больших ГЭС,Жымбылская,1.5870957110640762
2014,процент,с учетом больших ГЭС,Северо-Казахстанская,0.6866570833653451
2014,процент,с учетом больших ГЭС,Южно-Казахстанская,29.59463560308556
2014,процент,с учетом больших ГЭС,г_Алматы,5.008976207132633
2014,процент,без учета больших ГЭС,,0.62
2015,процент,с учетом больших ГЭС,,10.3083328825092
2015,процент,с учетом больших ГЭС,Акмолинская,9.661538830685435
2015,процент,с учетом больших ГЭС,Алматинская,58.70559496355752
2015,процент,с учетом больших ГЭС,Восточно-Казахстанская,75.88120353747678
2015,процент,с учетом больших ГЭС,Жымбылская,4.44367003522054
2015,процент,с учетом больших ГЭС,Кызылординская,0.0563355921666289
2015,процент,с учетом больших ГЭС,Северо-Казахстанская,0.745414869996707
2015,процент,с учетом больших ГЭС,Южно-Казахстанская,51.67138798558237
2015,процент,с учетом больших ГЭС,г_Алматы,5.841369233662536
2015,процент,без учета больших ГЭС,,0.77
2016,процент,с учетом больших ГЭС,,12.7
2016,процент,с учетом больших ГЭС,Акмолинская,17.317364266420984
2016,процент,с учетом больших ГЭС,Алматинская,72.17020323633585
2016,процент,с учетом больших ГЭС,Восточно-Казахстанская,79.34596121007488
2016,процент,с учетом больших ГЭС,Жымбылская,9.186065264509818
2016,процент,с учетом больших ГЭС,Кызылординская,0.0896267032807803
2016,процент,с учетом больших ГЭС,Северо-Казахстанская,0.6617198833222652
2016,процент,с учетом больших ГЭС,Южно-Казахстанская,35.373144711564045
2016,процент,с учетом больших ГЭС,г_Алматы,6.5780426904686085
2016,процент,без учета больших ГЭС,,0.98
2017,процент,с учетом больших ГЭС,,11.3
2017,процент,с учетом больших ГЭС,Акмолинская,19.3
2017,процент,с учетом больших ГЭС,Алматинская,71.1
2017,процент,с учетом больших ГЭС,Восточно-Казахстанская,75.7
2017,процент,с учетом больших ГЭС,Жымбылская,10.1
2017,процент,с учетом больших ГЭС,Кызылординская,0.1
2017,процент,с учетом больших ГЭС,Северо-Казахстанская,0.6
2017,процент,с учетом больших ГЭС,Южно-Казахстанская,62.5
2017,процент,с учетом больших ГЭС,г_Алматы,6.2
2017,процент,без учета больших ГЭС,,1.3
2018,процент,с учетом больших ГЭС,,10.2
2018,процент,с учетом больших ГЭС,Акмолинская,15.7
2018,процент,с учетом больших ГЭС,Алматинская,64.9
2018,процент,с учетом больших ГЭС,Восточно-Казахстанская,74.3
2018,процент,с учетом больших ГЭС,Жымбылская,19.0
2018,процент,с учетом больших ГЭС,Кызылординская,0.1
2018,процент,с учетом больших ГЭС,Северо-Казахстанская,0.7
2018,процент,с учетом больших ГЭС,Туркестанская,95.8
2018,процент,с учетом больших ГЭС,г_Алматы,6.0
2018,процент,без учета больших ГЭС,,1.3
2019,процент,с учетом больших ГЭС,,10.4
2019,процент,с учетом больших ГЭС,Акмолинская,21.4
2019,процент,с учетом больших ГЭС,Алматинская,65.9
2019,процент,с учетом больших ГЭС,Атырауская,3.4
2019,процент,с учетом больших ГЭС,Восточно-Казахстанская,70.6
2019,процент,с учетом больших ГЭС,Жымбылская,17.0
2019,процент,с учетом больших ГЭС,Карагандинская,1.1
2019,процент,с учетом больших ГЭС,Кызылординская,0.2
2019,процент,с учетом больших ГЭС,Мангистауская,0.8
2019,процент,с учетом больших ГЭС,Павлодарская,0.0
2019,процент,с учетом больших ГЭС,Северо-Казахстанская,0.6
2019,процент,с учетом больших ГЭС,Туркестанская,96.6
2019,процент,с учетом больших ГЭС,г_Нур-Султан,0.0
2019,процент,с учетом больших ГЭС,г_Алматы,5.9
2019,процент,с учетом больших ГЭС,г_Шымкент,0.6
2019,процент,без учета больших ГЭС,,1.6
