Year,UNIT_MEASURE,Value
2010,число филиалов коммерческих банков на 100 000 взрослых,3.251092147469366
2010,число банкоматов на 100 000 взрослых,66.1084379184613
2011,число филиалов коммерческих банков на 100 000 взрослых,3.129183139172521
2011,число банкоматов на 100 000 взрослых,69.52787742106614
2012,число филиалов коммерческих банков на 100 000 взрослых,3.2006036778831173
2012,число банкоматов на 100 000 взрослых,73.2582619604358
2013,число филиалов коммерческих банков на 100 000 взрослых,3.156029890198204
2013,число банкоматов на 100 000 взрослых,75.04988850298912
2014,число филиалов коммерческих банков на 100 000 взрослых,3.348735721714094
2014,число банкоматов на 100 000 взрослых,76.30807191608898
2015,число филиалов коммерческих банков на 100 000 взрослых,3.3705674161164425
2015,число банкоматов на 100 000 взрослых,75.18831606780726
2016,число филиалов коммерческих банков на 100 000 взрослых,2.9465215721088307
2016,число банкоматов на 100 000 взрослых,78.03793005798485
2017,число филиалов коммерческих банков на 100 000 взрослых,2.8297588303577013
2017,число банкоматов на 100 000 взрослых,78.63324107968191
2018,число филиалов коммерческих банков на 100 000 взрослых,2.699051416365501
2018,число банкоматов на 100 000 взрослых,88.76253568387678
2019,число филиалов коммерческих банков на 100 000 взрослых,2.3329917037729904
2019,число банкоматов на 100 000 взрослых,87.1
