Year,UNIT_MEASURE,Регионы,Пол,Местность,Возраст,Value
2013,процент,,,,,11.8
2013,процент,Акмолинская,,,,9.7
2013,процент,Актюбинская,,,,13.9
2013,процент,Алматинская,,,,14.6
2013,процент,Атырауская,,,,1.7
2013,процент,Западно-Казахстанская,,,,10.8
2013,процент,Жымбылская,,,,20.2
2013,процент,Карагандинская,,,,8.0
2013,процент,Костанайская,,,,19.8
2013,процент,Кызылординская,,,,12.7
2013,процент,Мангистауская,,,,3.5
2013,процент,Южно-Казахстанская,,,,14.2
2013,процент,Павлодарская,,,,14.6
2013,процент,Северо-Казахстанская,,,,24.8
2013,процент,Восточно-Казахстанская,,,,12.5
2013,процент,г_Нур-Султан,,,,0.2
2013,процент,г_Алматы,,,,1.2
2013,процент,,мужчины,,,10.9
2013,процент,Акмолинская,мужчины,,,9.1
2013,процент,Актюбинская,мужчины,,,15.2
2013,процент,Алматинская,мужчины,,,14.4
2013,процент,Атырауская,мужчины,,,1.9
2013,процент,Западно-Казахстанская,мужчины,,,13.1
2013,процент,Жымбылская,мужчины,,,19.8
2013,процент,Карагандинская,мужчины,,,6.8
2013,процент,Костанайская,мужчины,,,17.0
2013,процент,Кызылординская,мужчины,,,11.3
2013,процент,Мангистауская,мужчины,,,2.6
2013,процент,Южно-Казахстанская,мужчины,,,12.2
2013,процент,Павлодарская,мужчины,,,12.6
2013,процент,Северо-Казахстанская,мужчины,,,20.2
2013,процент,Восточно-Казахстанская,мужчины,,,11.7
2013,процент,г_Нур-Султан,мужчины,,,0.0
2013,процент,г_Алматы,мужчины,,,1.5
2013,процент,,женщины,,,12.7
2013,процент,Акмолинская,женщины,,,10.2
2013,процент,Актюбинская,женщины,,,12.6
2013,процент,Алматинская,женщины,,,14.8
2013,процент,Атырауская,женщины,,,1.5
2013,процент,Западно-Казахстанская,женщины,,,8.4
2013,процент,Жымбылская,женщины,,,20.6
2013,процент,Карагандинская,женщины,,,9.2
2013,процент,Костанайская,женщины,,,22.4
2013,процент,Кызылординская,женщины,,,14.4
2013,процент,Мангистауская,женщины,,,4.7
2013,процент,Южно-Казахстанская,женщины,,,16.7
2013,процент,Павлодарская,женщины,,,16.6
2013,процент,Северо-Казахстанская,женщины,,,29.4
