Year,UNIT_MEASURE,Регионы,Пол,Местность,Возраст,Value
2012,процент,,,,,26.0
2012,процент,Акмолинская,,,,20.5
2012,процент,Актюбинская,,,,24.7
2012,процент,Алматинская,,,,28.2
2012,процент,Атырауская,,,,8.2
2012,процент,Западно-Казахстанская,,,,28.4
2012,процент,Жымбылская,,,,31.3
2012,процент,Карагандинская,,,,25.8
2012,процент,Костанайская,,,,38.3
2012,процент,Кызылординская,,,,17.1
2012,процент,Мангистауская,,,,2.4
2012,процент,Южно-Казахстанская,,,,37.2
2012,процент,Павлодарская,,,,29.4
2012,процент,Северо-Казахстанская,,,,40.0
2012,процент,Восточно-Казахстанская,,,,29.8
2012,процент,г_Нур-Султан,,,,13.3
2012,процент,г_Алматы,,,,9.8
2012,процент,,мужчины,,,24.7
2012,процент,Акмолинская,мужчины,,,21.6
2012,процент,Актюбинская,мужчины,,,21.8
2012,процент,Алматинская,мужчины,,,28.7
2012,процент,Атырауская,мужчины,,,7.5
2012,процент,Западно-Казахстанская,мужчины,,,30.9
2012,процент,Жымбылская,мужчины,,,28.0
2012,процент,Карагандинская,мужчины,,,23.0
2012,процент,Костанайская,мужчины,,,35.9
2012,процент,Кызылординская,мужчины,,,15.8
2012,процент,Мангистауская,мужчины,,,2.3
2012,процент,Южно-Казахстанская,мужчины,,,35.4
2012,процент,Павлодарская,мужчины,,,27.1
2012,процент,Северо-Казахстанская,мужчины,,,35.2
2012,процент,Восточно-Казахстанская,мужчины,,,27.3
2012,процент,г_Нур-Султан,мужчины,,,12.4
2012,процент,г_Алматы,мужчины,,,10.5
2012,процент,,женщины,,,27.5
2012,процент,Акмолинская,женщины,,,19.3
2012,процент,Актюбинская,женщины,,,27.7
2012,процент,Алматинская,женщины,,,27.6
2012,процент,Атырауская,женщины,,,8.9
2012,процент,Западно-Казахстанская,женщины,,,25.7
2012,процент,Жымбылская,женщины,,,34.7
2012,процент,Карагандинская,женщины,,,28.9
2012,процент,Костанайская,женщины,,,40.7
2012,процент,Кызылординская,женщины,,,18.6
2012,процент,Мангистауская,женщины,,,2.6
2012,процент,Южно-Казахстанская,женщины,,,39.2
2012,процент,Павлодарская,женщины,,,31.8
2012,процент,Северо-Казахстанская,женщины,,,44.6
2012,процент,Восточно-Казахстанская,женщины,,,32.5
2012,процент,г_Нур-Султан,женщины,,,14.3
2012,процент,г_Алматы,женщины,,,9.1
2012,процент,,,Город,,16.0
2012,процент,Акмолинская,,Город,,14.9
2012,процент,Актюбинская,,Город,,16.8
2012,процент,Алматинская,,Город,,21.4
2012,процент,Атырауская,,Город,,3.1
2012,процент,Западно-Казахстанская,,Город,,5.6
2012,процент,Жымбылская,,Город,,14.6
2012,процент,Карагандинская,,Город,,23.5
2012,процент,Костанайская,,Город,,18.2
2012,процент,Кызылординская,,Город,,11.5
2012,процент,Мангистауская,,Город,,2.1
2012,процент,Южно-Казахстанская,,Город,,23.9
2012,процент,Павлодарская,,Город,,17.9
2012,процент,Северо-Казахстанская,,Город,,24.9
2012,процент,Восточно-Казахстанская,,Город,,18.0
2012,процент,г_Нур-Султан,,Город,,13.3
2012,процент,г_Алматы,,Город,,9.8
2012,процент,,,сельское население,,37.9
2012,процент,Акмолинская,,сельское население,,25.2
2012,процент,Актюбинская,,сельское население,,37.9
2012,процент,Алматинская,,сельское население,,30.2
2012,процент,Атырауская,,сельское население,,13.2
2012,процент,Западно-Казахстанская,,сельское население,,47.0
2012,процент,Жымбылская,,сельское население,,40.7
2012,процент,Карагандинская,,сельское население,,33.6
2012,процент,Костанайская,,сельское население,,56.8
2012,процент,Кызылординская,,сельское население,,21.5
2012,процент,Мангистауская,,сельское население,,2.8
2012,процент,Южно-Казахстанская,,сельское население,,45.3
2012,процент,Павлодарская,,сельское население,,50.9
2012,процент,Северо-Казахстанская,,сельское население,,49.3
2012,процент,Восточно-Казахстанская,,сельское население,,46.2
2012,процент,,,,15,99.3
2012,процент,,,,16-24,33.1
2012,процент,,,,25-28,22.9
2012,процент,,,,29-34,24.4
2012,процент,,,,35-44,24.2
2012,процент,,,,45-54,23.5
2012,процент,,,,55-64,30.4
2012,процент,,,,65 и старше,62.6
2012,процент,Акмолинская,,,15,73.9
2012,процент,Акмолинская,,,16-24,18.5
2012,процент,Акмолинская,,,25-28,14.8
2012,процент,Акмолинская,,,29-34,17.7
2012,процент,Акмолинская,,,35-44,22.5
2012,процент,Акмолинская,,,45-54,22.6
2012,процент,Акмолинская,,,55-64,18.2
2012,процент,Акмолинская,,,65 и старше,77.0
2012,процент,Актюбинская,,,16-24,38.8
2012,процент,Актюбинская,,,25-28,25.8
2012,процент,Актюбинская,,,29-34,22.4
2012,процент,Актюбинская,,,35-44,19.4
2012,процент,Актюбинская,,,45-54,22.3
2012,процент,Актюбинская,,,55-64,37.6
2012,процент,Актюбинская,,,65 и старше,100.0
2012,процент,Алматинская,,,16-24,27.0
2012,процент,Алматинская,,,25-28,25.7
2012,процент,Алматинская,,,29-34,28.4
2012,процент,Алматинская,,,35-44,29.2
2012,процент,Алматинская,,,45-54,29.2
2012,процент,Алматинская,,,55-64,28.3
2012,процент,Алматинская,,,65 и старше,36.0
2012,процент,Атырауская,,,16-24,11.3
2012,процент,Атырауская,,,25-28,5.8
2012,процент,Атырауская,,,29-34,8.2
2012,процент,Атырауская,,,35-44,9.7
2012,процент,Атырауская,,,45-54,5.9
2012,процент,Атырауская,,,55-64,7.3
2012,процент,Западно-Казахстанская,,,16-24,28.2
2012,процент,Западно-Казахстанская,,,25-28,31.4
2012,процент,Западно-Казахстанская,,,29-34,24.2
2012,процент,Западно-Казахстанская,,,35-44,27.5
2012,процент,Западно-Казахстанская,,,45-54,25.6
2012,процент,Западно-Казахстанская,,,55-64,42.1
2012,процент,Западно-Казахстанская,,,65 и старше,81.5
2012,процент,Жымбылская,,,15,100.0
2012,процент,Жымбылская,,,16-24,39.4
2012,процент,Жымбылская,,,25-28,33.1
2012,процент,Жымбылская,,,29-34,30.0
2012,процент,Жымбылская,,,35-44,29.5
2012,процент,Жымбылская,,,45-54,25.1
2012,процент,Жымбылская,,,55-64,32.6
2012,процент,Жымбылская,,,65 и старше,36.3
2012,процент,Карагандинская,,,16-24,40.0
2012,процент,Карагандинская,,,25-28,22.3
2012,процент,Карагандинская,,,29-34,23.3
2012,процент,Карагандинская,,,35-44,20.6
2012,процент,Карагандинская,,,45-54,19.7
2012,процент,Карагандинская,,,55-64,33.0
2012,процент,Карагандинская,,,65 и старше,76.2
2012,процент,Костанайская,,,15,100.0
2012,процент,Костанайская,,,16-24,57.5
2012,процент,Костанайская,,,25-28,32.8
2012,процент,Костанайская,,,29-34,31.7
2012,процент,Костанайская,,,35-44,33.0
2012,процент,Костанайская,,,45-54,34.1
2012,процент,Костанайская,,,55-64,40.1
2012,процент,Костанайская,,,65 и старше,90.3
