Year,UNIT_MEASURE,Вид экономической деятельности,Регионы,Пол,Возраст,Value
2014,процент,,,,,837.0
2015,процент,,,,,880.0
2016,процент,,,,,950.0
2017,процент,,,,,927.0
2018,процент,,,,,959.0
2018,процент,,Акмолинская,,,706.0
2018,процент,,Актюбинская,,,750.0
2018,процент,,Алматинская,,,713.0
2018,процент,,Атырауская,,,1718.0
2018,процент,,Западно-Казахстанская,,,1202.0
2018,процент,,Жымбылская,,,613.0
2018,процент,,Карагандинская,,,808.0
2018,процент,,Костанайская,,,685.0
2018,процент,,Кызылординская,,,720.0
2018,процент,,Мангистауская,,,1411.0
2018,процент,,Южно-Казахстанская,,,630.0
2018,процент,,Павлодарская,,,774.0
2018,процент,,Северо-Казахстанская,,,636.0
2018,процент,,Восточно-Казахстанская,,,741.0
2018,процент,,г_Нур-Султан,,,1422.0
2018,процент,,г_Алматы,,,1335.0
2018,процент,,,мужчины,,1122.0
2018,процент,,Акмолинская,мужчины,,792.0
2018,процент,,Актюбинская,мужчины,,850.0
2018,процент,,Алматинская,мужчины,,813.0
2018,процент,,Атырауская,мужчины,,2105.0
2018,процент,,Западно-Казахстанская,мужчины,,1588.0
2018,процент,,Жымбылская,мужчины,,690.0
2018,процент,,Карагандинская,мужчины,,913.0
2018,процент,,Костанайская,мужчины,,752.0
2018,процент,,Кызылординская,мужчины,,811.0
2018,процент,,Мангистауская,мужчины,,1827.0
2018,процент,,Южно-Казахстанская,мужчины,,686.0
2018,процент,,Павлодарская,мужчины,,873.0
2018,процент,,Северо-Казахстанская,мужчины,,682.0
2018,процент,,Восточно-Казахстанская,мужчины,,828.0
2018,процент,,г_Нур-Султан,мужчины,,1637.0
2018,процент,,г_Алматы,мужчины,,1438.0
2018,процент,,,женщины,,785.0
2018,процент,,Акмолинская,женщины,,602.0
2018,процент,,Актюбинская,женщины,,639.0
2018,процент,,Алматинская,женщины,,630.0
2018,процент,,Атырауская,женщины,,1146.0
2018,процент,,Западно-Казахстанская,женщины,,743.0
2018,процент,,Жымбылская,женщины,,543.0
2018,процент,,Карагандинская,женщины,,682.0
2018,процент,,Костанайская,женщины,,604.0
2018,процент,,Кызылординская,женщины,,609.0
2018,процент,,Мангистауская,женщины,,899.0
2018,процент,,Южно-Казахстанская,женщины,,588.0
2018,процент,,Павлодарская,женщины,,667.0
2018,процент,,Северо-Казахстанская,женщины,,590.0
2018,процент,,Восточно-Казахстанская,женщины,,644.0
2018,процент,,г_Нур-Султан,женщины,,1179.0
2018,процент,,г_Алматы,женщины,,1217.0
2018,процент,,,,16-24,577.0
2018,процент,,,,25-28,764.0
2018,процент,,,,29-34,961.0
2018,процент,,,,35-44,1102.0
2018,процент,,,,45-54,977.0
2018,процент,,,,55-64,951.0
2018,процент,,,,65 и старше,1159.0
2018,процент,,Акмолинская,,16-24,485.0
2018,процент,,Акмолинская,,25-28,598.0
2018,процент,,Акмолинская,,29-34,739.0
2018,процент,,Акмолинская,,35-44,792.0
2018,процент,,Акмолинская,,45-54,716.0
2018,процент,,Акмолинская,,55-64,670.0
2018,процент,,Акмолинская,,65 и старше,674.0
2018,процент,,Актюбинская,,16-24,478.0
2018,процент,,Актюбинская,,25-28,622.0
2018,процент,,Актюбинская,,29-34,747.0
2018,процент,,Актюбинская,,35-44,819.0
2018,процент,,Актюбинская,,45-54,773.0
2018,процент,,Актюбинская,,55-64,796.0
2018,процент,,Актюбинская,,65 и старше,798.0
2018,процент,,Алматинская,,16-24,497.0
2018,процент,,Алматинская,,25-28,608.0
