Year,UNIT_MEASURE,Регионы,Местность,Пол,Возраст,Value
2010,процент,,,,,5.8
2010,процент,Акмолинская,,,,5.8
2010,процент,Актюбинская,,,,5.3
2010,процент,Алматинская,,,,5.6
2010,процент,Атырауская,,,,5.4
2010,процент,Западно-Казахстанская,,,,5.6
2010,процент,Жымбылская,,,,5.7
2010,процент,Карагандинская,,,,5.5
2010,процент,Костанайская,,,,5.7
2010,процент,Кызылординская,,,,5.9
2010,процент,Мангистауская,,,,6.4
2010,процент,Южно-Казахстанская,,,,5.9
2010,процент,Павлодарская,,,,5.6
2010,процент,Северо-Казахстанская,,,,5.8
2010,процент,Восточно-Казахстанская,,,,5.7
2010,процент,г_Нур-Султан,,,,6.2
2010,процент,г_Алматы,,,,6.3
2010,процент,,,мужчины,,4.9
2010,процент,Акмолинская,,мужчины,,6.1
2010,процент,Актюбинская,,мужчины,,2.9
2010,процент,Алматинская,,мужчины,,5.3
2010,процент,Атырауская,,мужчины,,3.9
2010,процент,Западно-Казахстанская,,мужчины,,4.7
2010,процент,Жымбылская,,мужчины,,5.5
2010,процент,Карагандинская,,мужчины,,4.5
2010,процент,Костанайская,,мужчины,,5.2
2010,процент,Кызылординская,,мужчины,,5.7
2010,процент,Мангистауская,,мужчины,,5.9
2010,процент,Южно-Казахстанская,,мужчины,,4.8
2010,процент,Павлодарская,,мужчины,,4.6
2010,процент,Северо-Казахстанская,,мужчины,,6.1
2010,процент,Восточно-Казахстанская,,мужчины,,4.9
2010,процент,г_Нур-Султан,,мужчины,,2.9
2010,процент,г_Алматы,,мужчины,,5.5
2010,процент,,,женщины,,6.6
2010,процент,Акмолинская,,женщины,,5.5
2010,процент,Актюбинская,,женщины,,7.7
2010,процент,Алматинская,,женщины,,6.0
2010,процент,Атырауская,,женщины,,7.0
2010,процент,Западно-Казахстанская,,женщины,,6.6
2010,процент,Жымбылская,,женщины,,5.9
2010,процент,Карагандинская,,женщины,,6.4
2010,процент,Костанайская,,женщины,,6.1
2010,процент,Кызылординская,,женщины,,6.1
2010,процент,Мангистауская,,женщины,,7.1
2010,процент,Южно-Казахстанская,,женщины,,7.2
2010,процент,Павлодарская,,женщины,,6.7
2010,процент,Северо-Казахстанская,,женщины,,5.5
2010,процент,Восточно-Казахстанская,,женщины,,6.5
2010,процент,г_Нур-Султан,,женщины,,9.7
2010,процент,г_Алматы,,женщины,,7.0
2010,процент,,Город,,,6.2
2010,процент,Акмолинская,Город,,,5.7
2010,процент,Актюбинская,Город,,,5.4
2010,процент,Алматинская,Город,,,5.6
2010,процент,Атырауская,Город,,,6.1
2010,процент,Западно-Казахстанская,Город,,,4.8
2010,процент,Жымбылская,Город,,,7.0
2010,процент,Карагандинская,Город,,,5.5
2010,процент,Костанайская,Город,,,7.6
2010,процент,Кызылординская,Город,,,5.4
2010,процент,Мангистауская,Город,,,5.8
2010,процент,Южно-Казахстанская,Город,,,7.2
2010,процент,Павлодарская,Город,,,6.3
2010,процент,Северо-Казахстанская,Город,,,6.5
2010,процент,Восточно-Казахстанская,Город,,,6.6
2010,процент,г_Нур-Султан,Город,,,6.2
2010,процент,г_Алматы,Город,,,6.3
2010,процент,,сельское население,,,5.2
2010,процент,Акмолинская,сельское население,,,5.9
2010,процент,Актюбинская,сельское население,,,5.3
2010,процент,Алматинская,сельское население,,,5.6
2010,процент,Атырауская,сельское население,,,4.9
2010,процент,Западно-Казахстанская,сельское население,,,6.1
2010,процент,Жымбылская,сельское население,,,4.9
2010,процент,Карагандинская,сельское население,,,5.3
2010,процент,Костанайская,сельское население,,,3.9
2010,процент,Кызылординская,сельское население,,,6.2
2010,процент,Мангистауская,сельское население,,,7.3
2010,процент,Южно-Казахстанская,сельское население,,,5.1
2010,процент,Павлодарская,сельское население,,,4.5
2010,процент,Северо-Казахстанская,сельское население,,,5.4
2010,процент,Восточно-Казахстанская,сельское население,,,4.7
2010,процент,,,,15,6.8
2010,процент,,,,16-24,5.2
2010,процент,,,,25-28,8.4
2010,процент,,,,29-34,5.8
2010,процент,,,,35-44,5.3
2010,процент,,,,45-54,5.2
2010,процент,,,,55-64,6.0
2010,процент,Акмолинская,,,16-24,6.0
2010,процент,Акмолинская,,,25-28,5.2
2010,процент,Акмолинская,,,29-34,4.9
2010,процент,Акмолинская,,,35-44,6.4
2010,процент,Акмолинская,,,45-54,6.1
2010,процент,Акмолинская,,,55-64,6.3
2010,процент,Актюбинская,,,16-24,2.2
2010,процент,Актюбинская,,,25-28,7.6
2010,процент,Актюбинская,,,29-34,7.5
2010,процент,Актюбинская,,,35-44,6.8
2010,процент,Актюбинская,,,45-54,4.2
2010,процент,Актюбинская,,,55-64,1.2
2010,процент,Алматинская,,,15,53.1
2010,процент,Алматинская,,,16-24,3.3
2010,процент,Алматинская,,,25-28,5.0
