Year,UNIT_MEASURE,SERIES,Value
2010,на 1000 работников,Уровень производственного травматизма,0.48
2010,на 1000 работников,Уровень производственного травматизма со смертельным исходом,0.08
2011,на 1000 работников,Уровень производственного травматизма,0.47
2011,на 1000 работников,Уровень производственного травматизма со смертельным исходом,0.07
2012,на 1000 работников,Уровень производственного травматизма,0.45
2012,на 1000 работников,Уровень производственного травматизма со смертельным исходом,0.06
2013,на 1000 работников,Уровень производственного травматизма,0.42
2013,на 1000 работников,Уровень производственного травматизма со смертельным исходом,0.06
2014,на 1000 работников,Уровень производственного травматизма,0.39
2014,на 1000 работников,Уровень производственного травматизма со смертельным исходом,0.06
2015,на 1000 работников,Уровень производственного травматизма,0.33
2015,на 1000 работников,Уровень производственного травматизма со смертельным исходом,0.05
2016,на 1000 работников,Уровень производственного травматизма,0.32
2016,на 1000 работников,Уровень производственного травматизма со смертельным исходом,0.05
2017,на 1000 работников,Уровень производственного травматизма,0.29
2017,на 1000 работников,Уровень производственного травматизма со смертельным исходом,0.04
2018,на 1000 работников,Уровень производственного травматизма,0.25
2018,на 1000 работников,Уровень производственного травматизма со смертельным исходом,0.03
2019,на 1000 работников,Уровень производственного травматизма,0.21
2019,на 1000 работников,Уровень производственного травматизма со смертельным исходом,0.029
