Year,UNIT_MEASURE,SERIES,Регионы,GeoCode,Value
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,,,13186.5
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,,,16647.2
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,,,18484.6
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,,,20004.3
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,,,21281.2
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,,,21839.1
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,,,22332.8
2017,млн.человек,Перевезено пассажиров всеми видами транспорта,,,22744.7
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,,,23021.6
2010,млн.человек,Железнодорожным транспортом,,,19.6
2011,млн.человек,Железнодорожным транспортом,,,20.5
2012,млн.человек,Железнодорожным транспортом,,,24.4
2013,млн.человек,Железнодорожным транспортом,,,28.6
2014,млн.человек,Железнодорожным транспортом,,,23.2
2015,млн.человек,Железнодорожным транспортом,,,22.5
2016,млн.человек,Железнодорожным транспортом,,,23.1
2017,млн.человек,Железнодорожным транспортом,,,22.9
2018,млн.человек,Железнодорожным транспортом,,,23.1
2010,млн.человек,Автомобильный,,,13083.9
2011,млн.человек,Автомобильный,,,16544.7
2012,млн.человек,Автомобильный,,,18380.2
2013,млн.человек,Автомобильный,,,19905.3
2014,млн.человек,Автомобильный,,,21189.9
2015,млн.человек,Автомобильный,,,21744.7
2016,млн.человек,Автомобильный,,,22239.4
2017,млн.человек,Автомобильный,,,22643.6
2018,млн.человек,Автомобильный,,,22911.5
2010,млн.человек,Внутренним водным,,,0.1
2011,млн.человек,Внутренним водным,,,0.1
2012,млн.человек,Внутренним водным,,,0.1
2013,млн.человек,Внутренним водным,,,0.09
2014,млн.человек,Внутренним водным,,,0.0672
2015,млн.человек,Внутренним водным,,,0.04
2016,млн.человек,Внутренним водным,,,0.0904
2017,млн.человек,Внутренним водным,,,0.0587
2018,млн.человек,Внутренним водным,,,0.0814
2018,млн.человек,Морским,,,0.05752
2010,млн.человек,Воздушным,,,3.4
2011,млн.человек,Воздушным,,,4.1
2012,млн.человек,Воздушным,,,4.5
2013,млн.человек,Воздушным,,,5.0
2014,млн.человек,Воздушным,,,5.4
2015,млн.человек,Воздушным,,,5.9
2016,млн.человек,Воздушным,,,6.0
2017,млн.человек,Воздушным,,,7.4
2018,млн.человек,Воздушным,,,7.6
2010,млн.человек,Городской электрический,,,79.5
2011,млн.человек,Городской электрический,,,77.0
2012,млн.человек,Городской электрический,,,69.6
2013,млн.человек,Городской электрический,,,58.7
2014,млн.человек,Городской электрический,,,55.6
2015,млн.человек,Городской электрический,,,55.9
2016,млн.человек,Городской электрический,,,51.5
2017,млн.человек,Городской электрический,,,56.8
2018,млн.человек,Городской электрический,,,54.9
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,Акмолинская,,1057.9
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,Акмолинская,,1385.8
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,Акмолинская,,1482.1
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,Акмолинская,,1604.5
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,Акмолинская,,1723.9
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,Акмолинская,,1729.5
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,Акмолинская,,1700.1
2017,млн.человек,Перевезено пассажиров всеми видами транспорта,Акмолинская,,1643.9
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,Акмолинская,,1652.2
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,Актюбинская,,163.5
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,Актюбинская,,199.3
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,Актюбинская,,220.1
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,Актюбинская,,238.4
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,Актюбинская,,251.0
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,Актюбинская,,264.7
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,Актюбинская,,278.4
