Year,Регионы,Value
2010,,666.0
2010,Акмолинская,403.0
2010,Актюбинская,151.0
2010,Алматинская,216.0
2010,Атырауская,741.0
2010,Западно-Казахстанская,488.0
2010,Жымбылская,183.0
2010,Карагандинская,482.0
2010,Костанайская,231.0
2010,Кызылординская,78.0
2010,Мангистауская,728.0
2010,Южно-Казахстанская,113.0
2010,Павлодарская,169.0
2010,Северо-Казахстанская,123.0
2010,Восточно-Казахстанская,525.0
2010,г_Нур-Султан,1647.0
2010,г_Алматы,3973.0
2011,,694.0
2011,Акмолинская,679.0
2011,Актюбинская,146.0
2011,Алматинская,257.0
2011,Атырауская,785.0
2011,Западно-Казахстанская,469.0
2011,Жымбылская,88.0
2011,Карагандинская,409.0
2011,Костанайская,152.0
2011,Кызылординская,79.0
2011,Мангистауская,768.0
2011,Южно-Казахстанская,177.0
2011,Павлодарская,260.0
2011,Северо-Казахстанская,85.0
2011,Восточно-Казахстанская,521.0
2011,г_Нур-Султан,1714.0
2011,г_Алматы,4031.0
2012,,611.0
2012,Акмолинская,722.0
2012,Актюбинская,115.0
2012,Алматинская,109.0
2012,Атырауская,739.0
2012,Западно-Казахстанская,179.0
2012,Жымбылская,156.0
2012,Карагандинская,604.0
2012,Костанайская,124.0
2012,Кызылординская,76.0
2012,Мангистауская,665.0
2012,Южно-Казахстанская,166.0
2012,Павлодарская,231.0
2012,Северо-Казахстанская,206.0
2012,Восточно-Казахстанская,489.0
2012,г_Нур-Султан,3111.0
2012,г_Алматы,2472.0
2013,,737.0
2013,Акмолинская,698.0
2013,Актюбинская,162.0
2013,Алматинская,211.0
2013,Атырауская,531.0
2013,Западно-Казахстанская,391.0
2013,Жымбылская,142.0
2013,Карагандинская,398.0
2013,Костанайская,187.0
2013,Кызылординская,135.0
2013,Мангистауская,786.0
2013,Южно-Казахстанская,286.0
2013,Павлодарская,439.0
2013,Северо-Казахстанская,226.0
2013,Восточно-Казахстанская,604.0
2013,г_Нур-Султан,2044.0
2013,г_Алматы,3703.0
2014,,799.0
2014,Акмолинская,462.0
2014,Актюбинская,200.0
2014,Алматинская,213.0
2014,Атырауская,484.0
2014,Западно-Казахстанская,159.0
2014,Жымбылская,161.0
2014,Карагандинская,569.0
2014,Костанайская,200.0
2014,Кызылординская,171.0
2014,Мангистауская,782.0
2014,Южно-Казахстанская,245.0
2014,Павлодарская,388.0
2014,Северо-Казахстанская,214.0
2014,Восточно-Казахстанская,560.0
2014,г_Нур-Султан,2557.0
2014,г_Алматы,4556.0
2015,,778.0
2015,Акмолинская,522.0
2015,Актюбинская,213.0
2015,Алматинская,333.0
2015,Атырауская,530.0
2015,Западно-Казахстанская,370.0
2015,Жымбылская,195.0
2015,Карагандинская,616.0
2015,Костанайская,225.0
2015,Кызылординская,111.0
2015,Мангистауская,850.0
2015,Южно-Казахстанская,232.0
2015,Павлодарская,337.0
2015,Северо-Казахстанская,158.0
2015,Восточно-Казахстанская,612.0
2015,г_Нур-Султан,2475.0
2015,г_Алматы,3823.0
2016,,695.0
2016,Акмолинская,514.0
2016,Актюбинская,200.0
2016,Алматинская,261.0
2016,Атырауская,442.0
2016,Западно-Казахстанская,614.0
2016,Жымбылская,180.0
2016,Карагандинская,386.0
2016,Костанайская,205.0
2016,Кызылординская,118.0
2016,Мангистауская,892.0
2016,Южно-Казахстанская,185.0
2016,Павлодарская,421.0
2016,Северо-Казахстанская,116.0
2016,Восточно-Казахстанская,604.0
2016,г_Нур-Султан,2191.0
2016,г_Алматы,3275.0
2017,,668.0
2017,Акмолинская,562.0
2017,Актюбинская,201.0
2017,Алматинская,220.0
2017,Атырауская,504.0
2017,Западно-Казахстанская,324.0
2017,Жымбылская,181.0
2017,Карагандинская,490.0
2017,Костанайская,197.0
2017,Кызылординская,114.0
2017,Мангистауская,880.0
2017,Южно-Казахстанская,178.0
2017,Павлодарская,337.0
2017,Северо-Казахстанская,76.0
2017,Восточно-Казахстанская,604.0
2017,г_Нур-Султан,2007.0
2017,г_Алматы,3099.0
2018,,668.0
2018,Акмолинская,507.0
2018,Актюбинская,191.0
2018,Алматинская,254.0
2018,Атырауская,605.0
2018,Западно-Казахстанская,429.0
2018,Жымбылская,191.0
2018,Карагандинская,475.0
2018,Костанайская,214.0
2018,Кызылординская,101.0
2018,Мангистауская,854.0
2018,Павлодарская,330.0
2018,Северо-Казахстанская,70.0
2018,Туркестанская,42.0
2018,Восточно-Казахстанская,642.0
2018,г_Нур-Султан,1777.0
2018,г_Алматы,3235.0
2018,г_Шымкент,229.0
2019,,638.0
2019,Акмолинская,537.0
2019,Актюбинская,222.0
2019,Алматинская,229.0
2019,Атырауская,594.0
2019,Западно-Казахстанская,388.0
2019,Жымбылская,220.0
2019,Карагандинская,487.0
2019,Костанайская,205.0
2019,Кызылординская,76.0
2019,Мангистауская,857.0
2019,Павлодарская,458.0
2019,Северо-Казахстанская,71.0
2019,Туркестанская,38.0
2019,Восточно-Казахстанская,581.0
2019,г_Нур-Султан,1688.0
2019,г_Алматы,2843.0
2019,г_Шымкент,236.0
