Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн.долл.США,Данные по Казахстану как получателю,1160.0
2011,млн.долл.США,Данные по Казахстану как получателю,1102.9
2012,млн.долл.США,Данные по Казахстану как получателю,831.7
2013,млн.долл.США,Данные по Казахстану как получателю,905.9
2013,млн.долл.США,Данные по Казахстану как донору,0.07
2014,млн.долл.США,Данные по Казахстану как получателю,1208.4
2014,млн.долл.США,Данные по Казахстану как донору,0.17
2015,млн.долл.США,Данные по Казахстану как получателю,619.4
2015,млн.долл.США,Данные по Казахстану как донору,0.69
2016,млн.долл.США,Данные по Казахстану как получателю,1465.6
2016,млн.долл.США,Данные по Казахстану как донору,1.84
2017,млн.долл.США,Данные по Казахстану как получателю,409.1
2017,млн.долл.США,Данные по Казахстану как донору,0.11
2018,млн.долл.США,Данные по Казахстану как получателю,299.5
2018,млн.долл.США,Данные по Казахстану как донору,3.53
