Year,UNIT_MEASURE,SERIES,Value
2012,процент,Стандарт GSM  (процент охвата населения сетью сотовой связи),42.1
2013,процент,Стандарт GSM  (процент охвата населения сетью сотовой связи),85.9
2014,процент,Стандарт GSM  (процент охвата населения сетью сотовой связи),91.6
2014,процент,Стандарт UMTS (процент охвата населения сетью сотовой связи 3G),85.0
2015,процент,Стандарт GSM  (процент охвата населения сетью сотовой связи),96.6
2015,процент,Стандарт UMTS (процент охвата населения сетью сотовой связи 3G),72.7
2016,процент,Стандарт GSM  (процент охвата населения сетью сотовой связи),96.1
2016,процент,Стандарт UMTS (процент охвата населения сетью сотовой связи 3G),86.8
2017,процент,Стандарт GSM  (процент охвата населения сетью сотовой связи),96.6
2017,процент,Стандарт UMTS (процент охвата населения сетью сотовой связи 3G),87.5
2018,процент,Стандарт GSM  (процент охвата населения сетью сотовой связи),96.6
2018,процент,Стандарт UMTS (процент охвата населения сетью сотовой связи 3G),87.9
2019,процент,Стандарт GSM  (процент охвата населения сетью сотовой связи),98.0
2019,процент,Стандарт UMTS (процент охвата населения сетью сотовой связи 3G),88.8
