Year,Value,SERIES,UNIT_MEASURE
2010,148.0,пострадало,человек
2010,0.906,пострадало на 100 000 человек,человек
2010,54.0,в т.ч. погибло,человек
2010,0.33,погибло на 100 000 человек,человек
2011,12.0,пострадало,человек
2011,0.07,пострадало на 100 000 человек,человек
2011,5.0,в т.ч. погибло,человек
2011,0.03,погибло на 100 000 человек,человек
2012,20.0,пострадало,человек
2012,0.119,пострадало на 100 000 человек,человек
2012,15.0,в т.ч. погибло,человек
2012,0.089,погибло на 100 000 человек,человек
2013,12.0,пострадало,человек
2013,0.07,пострадало на 100 000 человек,человек
2013,3.0,в т.ч. погибло,человек
2013,0.0176,погибло на 100 000 человек,человек
2014,19.0,пострадало,человек
2014,0.109,пострадало на 100 000 человек,человек
2014,9.0,в т.ч. погибло,человек
2014,0.52,погибло на 100 000 человек,человек
2015,8.0,пострадало,человек
2015,0.045,пострадало на 100 000 человек,человек
2015,0.0,в т.ч. погибло,человек
2015,0.0,погибло на 100 000 человек,человек
2016,8.0,пострадало,человек
2016,0.045,пострадало на 100 000 человек,человек
2016,1.0,в т.ч. погибло,человек
2016,0.005,погибло на 100 000 человек,человек
2017,35.0,пострадало,человек
2017,0.194,пострадало на 100 000 человек,человек
2017,11.0,в т.ч. погибло,человек
2017,0.061,погибло на 100 000 человек,человек
2018,8.0,пострадало,человек
2018,0.044,пострадало на 100 000 человек,человек
2018,1.0,в т.ч. погибло,человек
2018,0.005,погибло на 100 000 человек,человек
2019,9.0,пострадало,человек
2019,0.048,пострадало на 100 000 человек,человек
2019,2.0,в т.ч. погибло,человек
2019,0.011,погибло на 100 000 человек,человек
