Year,Value,SERIES,UNIT_MEASURE
2010,12.879391290466549,,процент
2010,15.032089223853678,Образование,процент
2010,10.660044936937348,Здравоохранение,процент
2010,17.38849914962006,Социальная помощь и социальное обеспечение,процент
2010,4.674086755666627,"Культура, спорт, туризм и информационное пространство",процент
2011,10.970942137064547,,процент
2011,16.23256845259948,Образование,процент
2011,9.975881694668445,Здравоохранение,процент
2011,18.064847120379625,Социальная помощь и социальное обеспечение,процент
2011,3.8300772837431136,"Культура, спорт, туризм и информационное пространство",процент
2012,11.271790081687811,,процент
2012,17.07888868536047,Образование,процент
2012,10.319878786139665,Здравоохранение,процент
2012,17.48680903801979,Социальная помощь и социальное обеспечение,процент
2012,3.3915565940129597,"Культура, спорт, туризм и информационное пространство",процент
2013,10.43330055387468,,процент
2013,16.568206430718003,Образование,процент
2013,10.647535033998697,Здравоохранение,процент
2013,18.48133051393149,Социальная помощь и социальное обеспечение,процент
2013,3.463042162946373,"Культура, спорт, туризм и информационное пространство",процент
2014,10.152958581524668,,процент
2014,15.424364985315778,Образование,процент
2014,9.748240132586089,Здравоохранение,процент
2014,17.79149989467833,Социальная помощь и социальное обеспечение,процент
2014,3.37623205254963,"Культура, спорт, туризм и информационное пространство",процент
2015,10.386638926724082,,процент
2015,15.258626583138971,Образование,процент
2015,9.65698792538526,Здравоохранение,процент
2015,19.26925098648875,Социальная помощь и социальное обеспечение,процент
2015,3.283921876906349,"Культура, спорт, туризм и информационное пространство",процент
2016,10.747463290098189,,процент
2016,15.931042556063163,Образование,процент
2016,9.895937099282245,Здравоохранение,процент
2016,19.113938565429027,Социальная помощь и социальное обеспечение,процент
2016,3.1091632412556818,"Культура, спорт, туризм и информационное пространство",процент
2017,10.697367054408646,,процент
2017,13.635310645432458,Образование,процент
2017,8.343091441308449,Здравоохранение,процент
2017,17.07748057738184,Социальная помощь и социальное обеспечение,процент
2017,2.946921260688909,"Культура, спорт, туризм и информационное пространство",процент
2018,10.760017273646314,,процент
2018,15.860502347640647,Образование,процент
2018,9.549610680038718,Здравоохранение,процент
2018,22.41523862222382,Социальная помощь и социальное обеспечение,процент
2018,3.656790741491672,"Культура, спорт, туризм и информационное пространство",процент
2019,11.155350942031436,,процент
2019,15.593223681390448,Образование,процент
2019,8.637585927722132,Здравоохранение,процент
2019,23.19304499666612,Социальная помощь и социальное обеспечение,процент
2019,3.0504011577207844,"Культура, спорт, туризм и информационное пространство",процент
